Dia,Muertes_Totales,Tasa_Mortalidad
2021-04-05,269,13.98
2021-04-06,272,14.14
2021-04-07,273,14.19
2021-04-08,276,14.35
2021-04-09,282,14.66
2021-04-10,282,14.66
2021-04-11,288,14.97
2021-04-12,291,15.13
2021-04-13,292,15.18
2021-04-14,296,15.39
2021-04-15,296,15.39
2021-04-16,299,15.54
2021-04-17,301,15.65
2021-04-18,302,15.7
2021-04-19,304,15.8
2021-04-20,306,15.91
2021-04-21,308,16.01
2021-04-22,309,16.06
2021-04-23,311,16.17
2021-04-24,313,16.27
2021-04-25,319,16.58
2021-04-26,320,16.64
2021-04-27,326,16.95
2021-04-28,328,17.05
2021-04-29,332,17.26
2021-04-30,333,17.31
2021-05-01,333,17.31
2021-05-02,333,17.31
2021-05-03,339,17.62
2021-05-04,344,17.88
2021-05-05,344,17.88
2021-05-06,348,18.09
2021-05-07,350,18.2
2021-05-08,351,18.25
2021-05-09,355,18.46
2021-05-10,357,18.56
2021-05-11,357,18.56
2021-05-12,362,18.82
2021-05-13,363,18.87
2021-05-14,363,18.87
2021-05-15,365,18.98
2021-05-16,369,19.18
2021-05-17,369,19.18
2021-05-18,369,19.18
2021-05-19,369,19.18
2021-05-20,369,19.18
2021-05-21,370,19.24
2021-05-22,370,19.24
2021-05-23,375,19.5
2021-05-24,376,19.55
2021-05-25,379,19.7
2021-05-26,380,19.76
2021-05-27,382,19.86
2021-05-28,382,19.86
2021-05-29,383,19.91
2021-05-30,383,19.91
2021-05-31,1035,53.81
2021-06-01,1039,54.02
2021-06-02,1041,54.12
2021-06-03,1043,54.22
2021-06-04,1043,54.22
2021-06-05,1043,54.22
2021-06-06,1045,54.33
2021-06-07,1045,54.33
2021-06-08,1047,54.43
2021-06-09,1049,54.54
2021-06-10,1049,54.54
2021-06-11,1052,54.69
2021-06-12,1055,54.85
2021-06-13,1053,54.74
2021-06-14,1055,54.85
2021-06-15,1056,54.9
2021-06-16,1056,54.9
2021-06-17,1058,55
2021-06-18,1058,55
2021-06-19,1058,55
2021-06-20,1059,55.06
2021-06-21,1062,55.21
2021-06-22,1064,55.32
2021-06-23,1065,55.37
2021-06-24,1065,55.37
2021-06-25,1065,55.37
2021-06-26,1066,55.42
2021-06-27,1068,55.52
2021-06-28,1069,55.58
2021-06-29,1068,55.52
2021-06-30,1069,55.58
2021-07-01,1068,55.52
2021-07-02,1068,55.52
2021-07-03,1068,55.52
2021-07-04,1070,55.63
2021-07-05,1069,55.58
2021-07-06,1068,55.52
2021-07-07,1070,55.63
2021-07-08,1072,55.73
2021-07-09,1073,55.78
2021-07-10,1073,55.78
2021-07-11,1074,55.84
2021-07-12,1074,55.84
2021-07-13,1075,55.89
2021-07-14,1076,55.94
2021-07-15,1077,55.99
2021-07-16,1076,55.94
2021-07-17,1075,55.89
2021-07-18,1076,55.94
2021-07-19,1074,55.84
2021-07-20,1073,55.78
2021-07-21,1073,55.78
2021-07-22,1073,55.78
2021-07-23,1074,55.84
2021-07-24,1074,55.84
2021-07-25,1074,55.84
2021-07-26,1075,55.89
2021-07-27,1076,55.94
2021-07-28,1075,55.89
2021-07-29,1076,55.94
2021-07-30,1079,56.1
2021-07-31,1079,56.1
2021-08-01,1080,56.15
2021-08-02,1081,56.2
2021-08-03,1077,55.99
2021-08-04,1075,55.89
2021-08-05,1075,55.89
2021-08-06,1075,55.89
2021-08-07,1076,55.94
2021-08-08,1078,56.04
2021-08-09,1077,55.99
2021-08-10,1079,56.1
2021-08-11,1077,55.99
2021-08-12,1075,55.89
2021-08-13,1078,56.04
2021-08-14,1078,56.04
2021-08-15,1079,56.1
2021-08-16,1081,56.2
2021-08-17,1081,56.2
2021-08-18,1081,56.2
2021-08-19,1083,56.3
2021-08-20,1083,56.3
2021-08-21,1084,56.36
2021-08-22,1084,56.36
2021-08-23,1084,56.36
2021-08-24,1082,56.25
2021-08-25,1083,56.3
2021-08-26,1083,56.3
2021-08-27,1086,56.46
2021-08-28,1086,56.46
2021-08-29,1086,56.46
2021-08-30,1084,56.36
2021-08-31,1085,56.41
2021-09-01,1085,56.41
2021-09-02,1085,56.41
2021-09-03,1084,56.36
2021-09-04,1084,56.36
2021-09-05,1085,56.41
2021-09-06,1087,56.51
2021-09-07,1087,56.51
2021-09-08,1085,56.41
2021-09-09,1086,56.46
2021-09-10,1087,56.51
2021-09-11,1086,56.46
2021-09-12,1087,56.51
2021-09-13,1087,5.65
2021-09-14,1087,5.65
2021-09-15,1087,5.65
2021-09-16,1087,5.65
2021-09-17,1086,5.65
2021-09-18,1086,5.65
2021-09-19,1086,5.65
2021-09-20,1088,5.66
2021-09-21,1089,5.66
2021-09-22,1089,5.66
2021-09-23,1087,5.65
2021-09-24,1087,5.65
2021-09-25,1087,5.65
2021-09-26,1088,5.66
2021-09-27,1087,5.65
2021-09-28,1087,5.65
2021-09-29,1088,5.66
2021-09-30,1088,5.66
2021-10-01,1088,5.66
2021-10-02,1088,5.66
2021-10-03,1090,5.67
2021-10-04,1088,5.66
2021-10-05,1090,5.67
2021-10-06,1090,5.67
2021-10-07,1090,5.67
2021-10-08,1090,5.67
2021-10-09,1090,5.67
2021-10-10,1088,5.66
2021-10-11,1088,5.66
2021-10-12,1089,5.66
2021-10-13,1088,5.66
2021-10-14,1089,5.66
2021-10-15,1088,5.66
2021-10-16,1090,5.67
2021-10-17,1090,5.67
2021-10-18,1089,5.66
2021-10-19,1091,5.67
2021-10-20,1092,5.68
2021-10-21,1092,5.68
2021-10-22,1090,5.67
2021-10-23,1090,5.67
2021-10-24,1092,5.68
2021-10-25,1092,5.68
2021-10-26,1092,5.68
2021-10-27,1094,5.69
2021-10-28,1094,5.69
2021-10-29,1094,5.69
2021-10-30,1093,5.68
2021-10-31,1095,5.69
2021-11-01,1096,5.7
2021-11-02,1097,5.7
2021-11-03,1095,5.69
2021-11-04,1095,5.69
