Dia,Muertes_Totales,Tasa_Mortalidad
2021-04-26,179,19.31
2021-04-27,180,19.42
2021-04-28,180,19.42
2021-04-29,181,19.52
2021-04-30,181,19.52
2021-05-01,182,19.63
2021-05-02,184,19.85
2021-05-03,184,19.85
2021-05-04,188,20.28
2021-05-05,188,20.28
2021-05-06,194,20.93
2021-05-07,197,21.25
2021-05-08,197,21.25
2021-05-09,199,21.47
2021-05-10,200,21.57
2021-05-11,200,21.57
2021-05-12,200,21.57
2021-05-13,200,21.57
2021-05-14,200,21.57
2021-05-15,201,21.68
2021-05-16,201,21.68
2021-05-17,201,21.68
2021-05-18,201,21.68
2021-05-19,203,21.9
2021-05-20,203,21.9
2021-05-21,203,21.9
2021-05-22,203,21.9
2021-05-23,205,22.11
2021-05-24,205,22.11
2021-05-25,207,22.33
2021-05-26,208,22.44
2021-05-27,209,22.54
2021-05-28,209,22.54
2021-05-29,209,22.54
2021-05-30,209,22.54
2021-05-31,523,56.41
2021-06-01,524,56.52
2021-06-02,523,56.41
2021-06-03,525,56.63
2021-06-04,527,56.85
2021-06-05,526,56.74
2021-06-06,525,56.63
2021-06-07,526,56.74
2021-06-08,527,56.85
2021-06-09,529,57.06
2021-06-10,529,57.06
2021-06-11,529,57.06
2021-06-12,530,57.17
2021-06-13,530,57.17
2021-06-14,531,57.28
2021-06-15,531,57.28
2021-06-16,530,57.17
2021-06-17,530,57.17
2021-06-18,530,57.17
2021-06-19,530,57.17
2021-06-20,530,57.17
2021-06-21,530,57.17
2021-06-22,530,57.17
2021-06-23,529,57.06
2021-06-24,529,57.06
2021-06-25,526,56.74
2021-06-26,527,56.85
2021-06-27,529,57.06
2021-06-28,529,57.06
2021-06-29,530,57.17
2021-06-30,530,57.17
2021-07-01,532,57.39
2021-07-02,532,57.39
2021-07-03,532,57.39
2021-07-04,531,57.28
2021-07-05,531,57.28
2021-07-06,531,57.28
2021-07-07,531,57.28
2021-07-08,531,57.28
2021-07-09,531,57.28
2021-07-10,531,57.28
2021-07-11,530,57.17
2021-07-12,530,57.17
2021-07-13,530,57.17
2021-07-14,529,57.06
2021-07-15,529,57.06
2021-07-16,531,57.28
2021-07-17,532,57.39
2021-07-18,529,57.06
2021-07-19,529,57.06
2021-07-20,529,57.06
2021-07-21,528,56.95
2021-07-22,529,57.06
2021-07-23,529,57.06
2021-07-24,529,57.06
2021-07-25,529,57.06
2021-07-26,529,57.06
2021-07-27,529,57.06
2021-07-28,529,57.06
2021-07-29,529,57.06
2021-07-30,529,57.06
2021-07-31,529,57.06
2021-08-01,529,57.06
2021-08-02,530,57.17
2021-08-03,530,57.17
2021-08-04,530,57.17
2021-08-05,529,57.06
2021-08-06,529,57.06
2021-08-07,529,57.06
2021-08-08,529,57.06
2021-08-09,529,57.06
2021-08-10,529,57.06
2021-08-11,530,57.17
2021-08-12,530,57.17
2021-08-13,530,57.17
2021-08-14,530,57.17
2021-08-15,530,57.17
2021-08-16,530,57.17
2021-08-17,530,57.17
2021-08-18,530,57.17
2021-08-19,530,57.17
2021-08-20,531,57.28
2021-08-21,530,57.17
2021-08-22,530,57.17
2021-08-23,530,57.17
2021-08-24,530,57.17
2021-08-25,530,57.17
2021-08-26,530,57.17
2021-08-27,530,57.17
2021-08-28,530,57.17
2021-08-29,530,57.17
2021-08-30,530,57.17
2021-08-31,530,57.17
2021-09-01,530,57.17
2021-09-02,530,57.17
2021-09-03,530,57.17
2021-09-04,530,57.17
2021-09-05,530,57.17
2021-09-06,530,57.17
2021-09-07,530,57.17
2021-09-08,531,57.28
2021-09-09,532,57.39
2021-09-10,532,57.39
2021-09-11,532,57.39
2021-09-12,532,57.39
2021-09-13,532,5.74
2021-09-14,532,5.74
2021-09-15,532,5.74
2021-09-16,532,5.74
2021-09-17,533,5.75
2021-09-18,533,5.75
2021-09-19,533,5.75
2021-09-20,533,5.75
2021-09-21,533,5.75
2021-09-22,533,5.75
2021-09-23,533,5.75
2021-09-24,533,5.75
2021-09-25,533,5.75
2021-09-26,533,5.75
2021-09-27,533,5.75
2021-09-28,533,5.75
2021-09-29,533,5.75
2021-09-30,533,5.75
2021-10-01,533,5.75
2021-10-02,534,5.76
2021-10-03,534,5.76
2021-10-04,534,5.76
2021-10-05,534,5.76
2021-10-06,535,5.77
2021-10-07,535,5.77
2021-10-08,535,5.77
2021-10-09,535,5.77
2021-10-10,535,5.77
2021-10-11,535,5.77
2021-10-12,535,5.77
