Dia,Muertes_Totales,Tasa_Mortalidad
2021-04-05,146,22.19
2021-04-06,147,22.34
2021-04-07,150,22.79
2021-04-08,151,22.95
2021-04-09,151,22.95
2021-04-10,152,23.1
2021-04-11,154,23.4
2021-04-12,154,23.4
2021-04-13,155,23.55
2021-04-14,156,23.71
2021-04-15,158,24.01
2021-04-16,161,24.47
2021-04-17,161,24.47
2021-04-18,162,24.62
2021-04-19,163,24.77
2021-04-20,164,24.92
2021-04-21,165,25.07
2021-04-22,165,25.07
2021-04-23,166,25.23
2021-04-24,167,25.38
2021-04-25,169,25.68
2021-04-26,170,25.83
2021-04-27,172,26.14
2021-04-28,173,26.29
2021-04-29,175,26.59
2021-04-30,175,26.59
2021-05-01,175,26.59
2021-05-02,176,26.74
2021-05-03,176,26.74
2021-05-04,179,27.2
2021-05-05,179,27.2
2021-05-06,184,27.96
2021-05-07,187,28.42
2021-05-08,188,28.57
2021-05-09,188,28.57
2021-05-10,188,28.57
2021-05-11,190,28.87
2021-05-12,192,29.18
2021-05-13,194,29.48
2021-05-14,196,29.78
2021-05-15,197,29.94
2021-05-16,197,29.94
2021-05-17,197,29.94
2021-05-18,198,30.09
2021-05-19,198,30.09
2021-05-20,198,30.09
2021-05-21,198,30.09
2021-05-22,200,30.39
2021-05-23,200,30.39
2021-05-24,200,30.39
2021-05-25,201,30.54
2021-05-26,202,30.7
2021-05-27,204,31
2021-05-28,204,31
2021-05-29,204,31
2021-05-30,204,31
2021-05-31,544,82.67
2021-06-01,545,82.82
2021-06-02,543,82.51
2021-06-03,543,82.51
2021-06-04,545,82.82
2021-06-05,547,83.12
2021-06-06,548,83.27
2021-06-07,549,83.43
2021-06-08,550,83.58
2021-06-09,550,83.58
2021-06-10,551,83.73
2021-06-11,553,84.03
2021-06-12,556,84.49
2021-06-13,556,84.49
2021-06-14,556,84.49
2021-06-15,557,84.64
2021-06-16,558,84.79
2021-06-17,559,84.95
2021-06-18,558,84.79
2021-06-19,558,84.79
2021-06-20,559,84.95
2021-06-21,560,85.1
2021-06-22,560,85.1
2021-06-23,560,85.1
2021-06-24,560,85.1
2021-06-25,560,85.1
2021-06-26,561,85.25
2021-06-27,562,85.4
2021-06-28,564,85.71
2021-06-29,563,85.55
2021-06-30,564,85.71
2021-07-01,565,85.86
2021-07-02,564,85.71
2021-07-03,564,85.71
2021-07-04,564,85.71
2021-07-05,563,85.55
2021-07-06,564,85.71
2021-07-07,564,85.71
2021-07-08,566,86.01
2021-07-09,566,86.01
2021-07-10,568,86.31
2021-07-11,568,86.31
2021-07-12,568,86.31
2021-07-13,569,86.47
2021-07-14,569,86.47
2021-07-15,569,86.47
2021-07-16,569,86.47
2021-07-17,569,86.47
2021-07-18,569,86.47
2021-07-19,569,86.47
2021-07-20,569,86.47
2021-07-21,569,86.47
2021-07-22,569,86.47
2021-07-23,569,86.47
2021-07-24,569,86.47
2021-07-25,569,86.47
2021-07-26,570,86.62
2021-07-27,569,86.47
2021-07-28,569,86.47
2021-07-29,569,86.47
2021-07-30,569,86.47
2021-07-31,569,86.47
2021-08-01,569,86.47
2021-08-02,569,86.47
2021-08-03,569,86.47
2021-08-04,569,86.47
2021-08-05,569,86.47
2021-08-06,570,86.62
2021-08-07,570,86.62
2021-08-08,570,86.62
2021-08-09,570,86.62
2021-08-10,571,86.77
2021-08-11,570,86.62
2021-08-12,571,86.77
2021-08-13,571,86.77
2021-08-14,571,86.77
2021-08-15,571,86.77
2021-08-16,572,86.92
2021-08-17,571,86.77
2021-08-18,571,86.77
2021-08-19,571,86.77
2021-08-20,570,86.62
2021-08-21,571,86.77
2021-08-22,571,86.77
2021-08-23,571,86.77
2021-08-24,571,86.77
2021-08-25,571,86.77
2021-08-26,571,86.77
2021-08-27,571,86.77
2021-08-28,571,86.77
2021-08-29,571,86.77
2021-08-30,571,86.77
2021-08-31,571,86.77
2021-09-01,571,86.77
2021-09-02,571,86.77
2021-09-03,571,86.77
2021-09-04,571,86.77
2021-09-05,571,86.77
2021-09-06,571,86.77
2021-09-07,571,86.77
2021-09-08,571,86.77
2021-09-09,572,86.92
2021-09-10,572,86.92
2021-09-11,572,86.92
2021-09-12,572,86.92
2021-09-13,572,8.69
2021-09-14,572,8.69
2021-09-15,572,8.69
2021-09-16,573,8.71
2021-09-17,573,8.71
2021-09-18,573,8.71
2021-09-19,573,8.71
2021-09-20,573,8.71
2021-09-21,573,8.71
2021-09-22,574,8.72
2021-09-23,574,8.72
2021-09-24,574,8.72
2021-09-25,574,8.72
2021-09-26,574,8.72
2021-09-27,574,8.72
2021-09-28,574,8.72
2021-09-29,574,8.72
2021-09-30,574,8.72
2021-10-01,574,8.72
2021-10-02,574,8.72
2021-10-03,574,8.72
2021-10-04,574,8.72
2021-10-05,574,8.72
2021-10-06,575,8.74
2021-10-07,575,8.74
2021-10-08,575,8.74
2021-10-09,575,8.74
2021-10-10,575,8.74
2021-10-11,575,8.74
2021-10-12,575,8.74
2021-10-13,576,8.75
2021-10-14,576,8.75
2021-10-15,576,8.75
2021-10-16,576,8.75
2021-10-17,576,8.75
2021-10-18,576,8.75
2021-10-19,576,8.75
2021-10-20,577,8.77
2021-10-21,578,8.78
