Dia,Muertes_Totales,Tasa_Mortalidad
2021-07-12,880,85.38
2021-07-13,880,85.38
2021-07-14,880,85.38
2021-07-15,881,85.48
2021-07-16,880,85.38
2021-07-17,882,85.58
2021-07-18,883,85.68
2021-07-19,883,85.68
2021-07-20,883,85.68
2021-07-21,885,85.87
2021-07-22,884,85.77
2021-07-23,884,85.77
2021-07-24,884,85.77
2021-07-25,885,85.87
2021-07-26,885,85.87
2021-07-27,886,85.97
2021-07-28,886,85.97
2021-07-29,886,85.97
2021-07-30,886,85.97
2021-07-31,886,85.97
2021-08-01,888,86.16
2021-08-02,888,86.16
2021-08-03,887,86.06
2021-08-04,888,86.16
2021-08-05,888,86.16
2021-08-06,888,86.16
2021-08-07,888,86.16
2021-08-08,888,86.16
2021-08-09,888,86.16
2021-08-10,888,86.16
2021-08-11,888,86.16
2021-08-12,888,86.16
2021-08-13,887,86.06
2021-08-14,889,86.26
2021-08-15,890,86.35
2021-08-16,889,86.26
2021-08-17,887,86.06
2021-08-18,887,86.06
2021-08-19,887,86.06
2021-08-20,888,86.16
2021-08-21,888,86.16
2021-08-22,888,86.16
2021-08-23,888,86.16
2021-08-24,888,86.16
2021-08-25,888,86.16
2021-08-26,888,86.16
2021-08-27,892,86.55
2021-08-28,892,86.55
2021-08-29,892,86.55
2021-08-30,892,86.55
2021-08-31,892,86.55
2021-09-01,892,86.55
2021-09-02,893,86.65
2021-09-03,893,86.65
2021-09-04,895,86.84
2021-09-05,896,86.94
2021-09-06,896,86.94
2021-09-07,896,86.94
2021-09-08,896,86.94
2021-09-09,898,87.13
2021-09-10,898,87.13
2021-09-11,899,87.23
2021-09-12,899,87.23
2021-09-13,899,8.72
2021-09-14,899,8.72
2021-09-15,899,8.72
2021-09-16,899,8.72
2021-09-17,899,8.72
2021-09-18,899,8.72
2021-09-19,899,8.72
2021-09-20,899,8.72
2021-09-21,899,8.72
2021-09-22,899,8.72
2021-09-23,900,8.73
2021-09-24,900,8.73
2021-09-25,900,8.73
2021-09-26,900,8.73
2021-09-27,900,8.73
2021-09-28,902,8.75
2021-09-29,904,8.77
2021-09-30,904,8.77
2021-10-01,903,8.76
2021-10-02,903,8.76
2021-10-03,903,8.76
2021-10-04,903,8.76
2021-10-05,903,8.76
2021-10-06,903,8.76
2021-10-07,904,8.77
2021-10-08,904,8.77
2021-10-09,903,8.76
2021-10-10,903,8.76
2021-10-11,903,8.76
2021-10-12,904,8.77
