Dia,Muertes_Totales,Tasa_Mortalidad
2021-06-11,94,52.16
2021-06-12,94,52.16
2021-06-13,94,52.16
2021-06-14,94,52.16
2021-06-15,94,52.16
2021-06-16,94,52.16
2021-06-17,94,52.16
2021-06-18,95,52.72
2021-06-19,95,52.72
2021-06-20,95,52.72
2021-06-21,95,52.72
2021-06-22,95,52.72
2021-06-23,95,52.72
2021-06-24,95,52.72
2021-06-25,95,52.72
2021-06-26,95,52.72
2021-06-27,95,52.72
2021-06-28,95,52.72
2021-06-29,95,52.72
2021-06-30,95,52.72
2021-07-01,95,52.72
2021-07-02,95,52.72
2021-07-03,95,52.72
2021-07-04,95,52.72
2021-07-05,95,52.72
2021-07-06,95,52.72
2021-07-07,95,52.72
2021-07-08,94,52.16
2021-07-09,94,52.16
2021-07-10,94,52.16
2021-07-11,95,52.72
2021-07-12,95,52.72
2021-07-13,95,52.72
2021-07-14,95,52.72
2021-07-15,95,52.72
2021-07-16,95,52.72
2021-07-17,95,52.72
2021-07-18,95,52.72
2021-07-19,95,52.72
2021-07-20,95,52.72
2021-07-21,95,52.72
2021-07-22,95,52.72
2021-07-23,95,52.72
2021-07-24,95,52.72
2021-07-25,95,52.72
2021-07-26,95,52.72
2021-07-27,95,52.72
2021-07-28,95,52.72
2021-07-29,95,52.72
2021-07-30,95,52.72
2021-07-31,95,52.72
2021-08-01,95,52.72
2021-08-02,95,52.72
2021-08-03,95,52.72
2021-08-04,95,52.72
2021-08-05,95,52.72
2021-08-06,95,52.72
2021-08-07,95,52.72
2021-08-08,95,52.72
2021-08-09,95,52.72
2021-08-10,95,52.72
2021-08-11,95,52.72
2021-08-12,95,52.72
2021-08-13,95,52.72
2021-08-14,95,52.72
2021-08-15,95,52.72
2021-08-16,95,52.72
2021-08-17,95,52.72
2021-08-18,95,52.72
2021-08-19,95,52.72
2021-08-20,95,52.72
2021-08-21,95,52.72
2021-08-22,95,52.72
2021-08-23,95,52.72
2021-08-24,95,52.72
2021-08-25,95,52.72
2021-08-26,95,52.72
2021-08-27,95,52.72
2021-08-28,95,52.72
2021-08-29,95,52.72
2021-08-30,95,52.72
2021-08-31,95,52.72
2021-09-01,95,52.72
2021-09-02,95,52.72
2021-09-03,95,52.72
2021-09-04,95,52.72
2021-09-05,95,52.72
2021-09-06,95,52.72
2021-09-07,95,52.72
2021-09-08,95,52.72
2021-09-09,95,52.72
2021-09-10,95,52.72
2021-09-11,95,52.72
2021-09-12,95,52.72
2021-09-13,95,5.27
2021-09-14,95,5.27
2021-09-15,95,5.27
2021-09-16,95,5.27
2021-09-17,95,5.27
2021-09-18,95,5.27
2021-09-19,95,5.27
2021-09-20,95,5.27
2021-09-21,95,5.27
2021-09-22,95,5.27
2021-09-23,95,5.27
2021-09-24,95,5.27
2021-09-25,95,5.27
2021-09-26,95,5.27
2021-09-27,95,5.27
2021-09-28,95,5.27
2021-09-29,95,5.27
2021-09-30,95,5.27
2021-10-01,95,5.27
2021-10-02,95,5.27
2021-10-03,95,5.27
2021-10-04,95,5.27
2021-10-05,95,5.27
2021-10-06,95,5.27
2021-10-07,95,5.27
2021-10-08,95,5.27
2021-10-09,95,5.27
2021-10-10,95,5.27
2021-10-11,96,5.33
2021-10-12,96,5.33
