Dia,Muertes_Totales,Tasa_Mortalidad
2021-09-01,802,87.74
2021-09-02,805,88.07
2021-09-03,804,87.96
2021-09-04,804,87.96
2021-09-05,804,87.96
2021-09-06,805,88.07
2021-09-07,805,88.07
2021-09-08,805,88.07
2021-09-09,804,87.96
2021-09-10,804,87.96
2021-09-11,804,87.96
2021-09-12,806,88.18
2021-09-13,806,8.82
2021-09-14,806,8.82
2021-09-15,805,8.81
2021-09-16,804,8.8
2021-09-17,805,8.81
2021-09-18,806,8.82
2021-09-19,806,8.82
2021-09-20,805,8.81
2021-09-21,805,8.81
2021-09-22,806,8.82
2021-09-23,806,8.82
2021-09-24,806,8.82
2021-09-25,806,8.82
2021-09-26,807,8.83
2021-09-27,807,8.83
2021-09-28,808,8.84
