Dia,Muertes_Totales,Tasa_Mortalidad
2021-08-19,2021,53.62
2021-08-20,2019,53.57
2021-08-21,2020,53.6
2021-08-22,2021,53.62
2021-08-23,2024,53.7
2021-08-24,2025,53.73
2021-08-25,2025,53.73
2021-08-26,2026,53.76
2021-08-27,2025,53.73
2021-08-28,2026,53.76
2021-08-29,2026,53.76
2021-08-30,2025,53.73
2021-08-31,2025,53.73
2021-09-01,2027,53.78
2021-09-02,2028,53.81
2021-09-03,2028,53.81
2021-09-04,2028,53.81
2021-09-05,2028,53.81
2021-09-06,2028,53.81
2021-09-07,2028,53.81
2021-09-08,2031,53.89
2021-09-09,2033,53.94
2021-09-10,2034,53.97
2021-09-11,2033,53.94
2021-09-12,2034,53.97
2021-09-13,2033,5.39
2021-09-14,2035,5.4
2021-09-15,2033,5.39
2021-09-16,2035,5.4
2021-09-17,2036,5.4
2021-09-18,2036,5.4
2021-09-19,2036,5.4
2021-09-20,2036,5.4
2021-09-21,2037,5.4
2021-09-22,2037,5.4
2021-09-23,2037,5.4
2021-09-24,2037,5.4
2021-09-25,2037,5.4
2021-09-26,2036,5.4
2021-09-27,2035,5.4
2021-09-28,2035,5.4
2021-09-29,2038,5.41
2021-09-30,2038,5.41
2021-10-01,2036,5.4
2021-10-02,2037,5.4
2021-10-03,2039,5.41
2021-10-04,2038,5.41
2021-10-05,2037,5.4
2021-10-06,2038,5.41
2021-10-07,2040,5.41
2021-10-08,2041,5.42
2021-10-09,2041,5.42
2021-10-10,2040,5.41
2021-10-11,2041,5.42
2021-10-12,2041,5.42
