Dia,Muertes_Totales,Tasa_Mortalidad
2021-04-05,10,11.87
2021-04-06,10,11.87
2021-04-07,10,11.87
2021-04-08,10,11.87
2021-04-09,10,11.87
2021-04-10,10,11.87
2021-04-11,10,11.87
2021-04-12,10,11.87
2021-04-13,10,11.87
2021-04-14,10,11.87
2021-04-15,10,11.87
2021-04-16,10,11.87
2021-04-17,10,11.87
2021-04-18,10,11.87
2021-04-19,10,11.87
2021-04-20,10,11.87
2021-04-21,10,11.87
2021-04-22,10,11.87
2021-04-23,10,11.87
2021-04-24,10,11.87
2021-04-25,10,11.87
2021-04-26,10,11.87
2021-04-27,10,11.87
2021-04-28,10,11.87
2021-04-29,10,11.87
2021-04-30,10,11.87
2021-05-01,10,11.87
2021-05-02,10,11.87
2021-05-03,10,11.87
2021-05-04,11,13.05
2021-05-05,11,13.05
2021-05-06,11,13.05
2021-05-07,11,13.05
2021-05-08,11,13.05
2021-05-09,11,13.05
2021-05-10,11,13.05
2021-05-11,11,13.05
2021-05-12,11,13.05
2021-05-13,11,13.05
2021-05-14,11,13.05
2021-05-15,11,13.05
2021-05-16,11,13.05
2021-05-17,11,13.05
2021-05-18,11,13.05
2021-05-19,11,13.05
2021-05-20,11,13.05
2021-05-21,11,13.05
2021-05-22,11,13.05
2021-05-23,11,13.05
2021-05-24,11,13.05
2021-05-25,11,13.05
2021-05-26,11,13.05
2021-05-27,11,13.05
2021-05-28,11,13.05
2021-05-29,11,13.05
2021-05-30,11,13.05
2021-05-31,45,53.4
2021-06-01,45,53.4
2021-06-02,45,53.4
2021-06-03,46,54.59
2021-06-04,46,54.59
2021-06-05,46,54.59
2021-06-06,46,54.59
2021-06-07,46,54.59
2021-06-08,46,54.59
2021-06-09,46,54.59
2021-06-10,46,54.59
2021-06-11,46,54.59
2021-06-12,46,54.59
2021-06-13,46,54.59
2021-06-14,46,54.59
2021-06-15,46,54.59
2021-06-16,46,54.59
2021-06-17,46,54.59
2021-06-18,46,54.59
2021-06-19,46,54.59
2021-06-20,46,54.59
2021-06-21,46,54.59
2021-06-22,46,54.59
2021-06-23,46,54.59
2021-06-24,46,54.59
2021-06-25,46,54.59
2021-06-26,46,54.59
2021-06-27,46,54.59
2021-06-28,46,54.59
2021-06-29,46,54.59
2021-06-30,46,54.59
2021-07-01,46,54.59
2021-07-02,46,54.59
2021-07-03,46,54.59
2021-07-04,46,54.59
2021-07-05,46,54.59
2021-07-06,46,54.59
2021-07-07,46,54.59
2021-07-08,46,54.59
2021-07-09,47,55.77
2021-07-10,47,55.77
2021-07-11,47,55.77
2021-07-12,47,55.77
2021-07-13,47,55.77
2021-07-14,47,55.77
2021-07-15,47,55.77
2021-07-16,47,55.77
2021-07-17,47,55.77
2021-07-18,47,55.77
2021-07-19,46,54.59
2021-07-20,46,54.59
2021-07-21,46,54.59
2021-07-22,46,54.59
2021-07-23,46,54.59
2021-07-24,46,54.59
2021-07-25,46,54.59
2021-07-26,46,54.59
2021-07-27,46,54.59
2021-07-28,47,55.77
2021-07-29,47,55.77
2021-07-30,47,55.77
2021-07-31,46,54.59
2021-08-01,47,55.77
2021-08-02,47,55.77
2021-08-03,47,55.77
2021-08-04,47,55.77
2021-08-05,47,55.77
