Dia,Muertes_Totales,Tasa_Mortalidad
2021-08-29,43,49.44
2021-08-30,43,49.44
2021-08-31,43,49.44
2021-09-01,43,49.44
2021-09-02,43,49.44
2021-09-03,43,49.44
2021-09-04,43,49.44
2021-09-05,43,49.44
2021-09-06,44,50.59
2021-09-07,44,50.59
2021-09-08,44,50.59
2021-09-09,44,50.59
2021-09-10,44,50.59
2021-09-11,44,50.59
2021-09-12,44,50.59
2021-09-13,44,5.06
2021-09-14,44,5.06
2021-09-15,44,5.06
2021-09-16,44,5.06
2021-09-17,44,5.06
2021-09-18,44,5.06
2021-09-19,44,5.06
2021-09-20,44,5.06
2021-09-21,44,5.06
2021-09-22,44,5.06
2021-09-23,44,5.06
2021-09-24,44,5.06
2021-09-25,44,5.06
2021-09-26,44,5.06
2021-09-27,44,5.06
2021-09-28,44,5.06
2021-09-29,44,5.06
2021-09-30,44,5.06
2021-10-01,44,5.06
2021-10-02,44,5.06
2021-10-03,44,5.06
2021-10-04,45,5.17
2021-10-05,45,5.17
2021-10-06,45,5.17
2021-10-07,45,5.17
2021-10-08,45,5.17
2021-10-09,45,5.17
2021-10-10,45,5.17
2021-10-11,45,5.17
2021-10-12,45,5.17
