Dia,Muertes_Totales,Tasa_Mortalidad
2021-04-05,598,31.58
2021-04-06,601,31.74
2021-04-07,603,31.84
2021-04-08,610,32.21
2021-04-09,611,32.26
2021-04-10,613,32.37
2021-04-11,618,32.63
2021-04-12,619,32.69
2021-04-13,623,32.9
2021-04-14,625,33
2021-04-15,629,33.22
2021-04-16,630,33.27
2021-04-17,634,33.48
2021-04-18,638,33.69
2021-04-19,645,34.06
2021-04-20,646,34.11
2021-04-21,652,34.43
2021-04-22,657,34.69
2021-04-23,658,34.75
2021-04-24,661,34.91
2021-04-25,665,35.12
2021-04-26,670,35.38
2021-04-27,673,35.54
2021-04-28,674,35.59
2021-04-29,680,35.91
2021-04-30,681,35.96
2021-05-01,682,36.01
2021-05-02,684,36.12
2021-05-03,686,36.23
2021-05-04,690,36.44
2021-05-05,690,36.44
2021-05-06,695,36.7
2021-05-07,696,36.75
2021-05-08,699,36.91
2021-05-09,701,37.02
2021-05-10,703,37.12
2021-05-11,706,37.28
2021-05-12,707,37.33
2021-05-13,710,37.49
2021-05-14,712,37.6
2021-05-15,715,37.76
2021-05-16,715,37.76
2021-05-17,715,37.76
2021-05-18,715,37.76
2021-05-19,715,37.76
2021-05-20,718,37.92
2021-05-21,721,38.07
2021-05-22,725,38.28
2021-05-23,729,38.5
2021-05-24,729,38.5
2021-05-25,731,38.6
2021-05-26,732,38.65
2021-05-27,732,38.65
2021-05-28,732,38.65
2021-05-29,732,38.65
2021-05-30,732,38.65
2021-05-31,1989,105.03
2021-06-01,1992,105.19
2021-06-02,1996,105.4
2021-06-03,1996,105.4
2021-06-04,1995,105.35
2021-06-05,1997,105.45
2021-06-06,2000,105.61
2021-06-07,2000,105.61
2021-06-08,2001,105.67
2021-06-09,2005,105.88
2021-06-10,2009,106.09
2021-06-11,2007,105.98
2021-06-12,2009,106.09
2021-06-13,2008,106.04
2021-06-14,2009,106.09
2021-06-15,2007,105.98
2021-06-16,2010,106.14
2021-06-17,2013,106.3
2021-06-18,2014,106.35
2021-06-19,2016,106.46
2021-06-20,2016,106.46
2021-06-21,2014,106.35
2021-06-22,2013,106.3
2021-06-23,2011,106.19
2021-06-24,2008,106.04
2021-06-25,2007,105.98
2021-06-26,2008,106.04
2021-06-27,2011,106.19
2021-06-28,2010,106.14
2021-06-29,2010,106.14
2021-06-30,2012,106.25
2021-07-01,2015,106.41
2021-07-02,2016,106.46
2021-07-03,2014,106.35
2021-07-04,2016,106.46
2021-07-05,2014,106.35
2021-07-06,2014,106.35
2021-07-07,2015,106.41
2021-07-08,2014,106.35
2021-07-09,2018,106.56
2021-07-10,2018,106.56
2021-07-11,2019,106.62
2021-07-12,2019,106.62
2021-07-13,2020,106.67
2021-07-14,2022,106.78
2021-07-15,2022,106.78
2021-07-16,2022,106.78
2021-07-17,2021,106.72
2021-07-18,2022,106.78
2021-07-19,2023,106.83
2021-07-20,2023,106.83
2021-07-21,2024,106.88
2021-07-22,2025,106.93
2021-07-23,2027,107.04
2021-07-24,2027,107.04
2021-07-25,2026,106.99
2021-07-26,2025,106.93
2021-07-27,2026,106.99
2021-07-28,2027,107.04
2021-07-29,2028,107.09
2021-07-30,2027,107.04
2021-07-31,2028,107.09
2021-08-01,2028,107.09
2021-08-02,2029,107.14
2021-08-03,2029,107.14
2021-08-04,2028,107.09
2021-08-05,2028,107.09
2021-08-06,2028,107.09
2021-08-07,2027,107.04
2021-08-08,2028,107.09
2021-08-09,2028,107.09
2021-08-10,2028,107.09
2021-08-11,2028,107.09
2021-08-12,2027,107.04
2021-08-13,2025,106.93
2021-08-14,2027,107.04
2021-08-15,2027,107.04
2021-08-16,2027,107.04
2021-08-17,2026,106.99
2021-08-18,2026,106.99
2021-08-19,2027,107.04
2021-08-20,2025,106.93
2021-08-21,2026,106.99
2021-08-22,2027,107.04
2021-08-23,2027,107.04
2021-08-24,2027,107.04
2021-08-25,2027,107.04
2021-08-26,2027,107.04
2021-08-27,2028,107.09
2021-08-28,2028,107.09
2021-08-29,2028,107.09
2021-08-30,2029,107.14
2021-08-31,2030,107.2
2021-09-01,2030,107.2
2021-09-02,2031,107.25
2021-09-03,2030,107.2
2021-09-04,2031,107.25
2021-09-05,2033,107.36
2021-09-06,2033,107.36
2021-09-07,2033,107.36
2021-09-08,2033,107.36
2021-09-09,2032,107.3
2021-09-10,2034,107.41
2021-09-11,2034,107.41
2021-09-12,2034,107.41
2021-09-13,2035,10.75
2021-09-14,2035,10.75
2021-09-15,2036,10.75
2021-09-16,2035,10.75
2021-09-17,2036,10.75
2021-09-18,2036,10.75
2021-09-19,2037,10.76
2021-09-20,2036,10.75
2021-09-21,2036,10.75
2021-09-22,2038,10.76
2021-09-23,2037,10.76
2021-09-24,2037,10.76
2021-09-25,2037,10.76
2021-09-26,2038,10.76
2021-09-27,2038,10.76
2021-09-28,2039,10.77
2021-09-29,2039,10.77
2021-09-30,2040,10.77
2021-10-01,2039,10.77
2021-10-02,2039,10.77
2021-10-03,2040,10.77
2021-10-04,2040,10.77
2021-10-05,2040,10.77
2021-10-06,2040,10.77
2021-10-07,2041,10.78
2021-10-08,2041,10.78
2021-10-09,2042,10.78
2021-10-10,2042,10.78
2021-10-11,2042,10.78
2021-10-12,2040,10.77
2021-10-13,2042,10.78
2021-10-14,2041,10.78
2021-10-15,2041,10.78
2021-10-16,2042,10.78
2021-10-17,2042,10.78
2021-10-18,2042,10.78
2021-10-19,2042,10.78
2021-10-20,2045,10.8
2021-10-21,2046,10.8
2021-10-22,2045,10.8
2021-10-23,2044,10.79
2021-10-24,2045,10.8
2021-10-25,2045,10.8
2021-10-26,2045,10.8
2021-10-27,2045,10.8
2021-10-28,2045,10.8
2021-10-29,2044,10.79
2021-10-30,2045,10.8
2021-10-31,2044,10.79
2021-11-01,2045,10.8
2021-11-02,2045,10.8
2021-11-03,2045,10.8
2021-11-04,2044,10.79
2021-11-05,2045,10.8
2021-11-06,2045,10.8
2021-11-07,2048,10.81
2021-11-08,2048,10.81
2021-11-09,2048,10.81
2021-11-10,2047,10.81
2021-11-11,2049,10.82
2021-11-12,2050,10.83
2021-11-13,2051,10.83
2021-11-14,2050,10.83
2021-11-15,2051,10.83
2021-11-16,2052,10.84
2021-11-17,2053,10.84
2021-11-18,2053,10.84
2021-11-19,2053,10.84
2021-11-20,2053,10.84
2021-11-21,2053,10.84
2021-11-22,2054,10.85
2021-11-23,2053,10.84
2021-11-24,2052,10.84
2021-11-25,2053,10.84
2021-11-26,2052,10.84
2021-11-27,2053,10.84
2021-11-28,2055,10.85
2021-11-29,2053,10.84
