Dia,Muertes_Totales,Tasa_Mortalidad
2021-04-05,16,18.82
2021-04-06,16,18.82
2021-04-07,16,18.82
2021-04-08,16,18.82
2021-04-09,16,18.82
2021-04-10,17,19.99
2021-04-11,17,19.99
2021-04-12,17,19.99
2021-04-13,17,19.99
2021-04-14,17,19.99
2021-04-15,17,19.99
2021-04-16,18,21.17
2021-04-17,18,21.17
2021-04-18,19,22.35
2021-04-19,19,22.35
2021-04-20,19,22.35
2021-04-21,19,22.35
2021-04-22,19,22.35
2021-04-23,19,22.35
2021-04-24,19,22.35
2021-04-25,19,22.35
2021-04-26,19,22.35
2021-04-27,19,22.35
2021-04-28,19,22.35
2021-04-29,19,22.35
2021-04-30,19,22.35
2021-05-01,19,22.35
2021-05-02,19,22.35
2021-05-03,19,22.35
2021-05-04,19,22.35
2021-05-05,19,22.35
2021-05-06,19,22.35
2021-05-07,19,22.35
2021-05-08,19,22.35
2021-05-09,20,23.52
2021-05-10,20,23.52
2021-05-11,20,23.52
2021-05-12,20,23.52
2021-05-13,20,23.52
2021-05-14,20,23.52
2021-05-15,20,23.52
2021-05-16,20,23.52
2021-05-17,21,24.7
2021-05-18,21,24.7
2021-05-19,21,24.7
2021-05-20,21,24.7
2021-05-21,21,24.7
2021-05-22,21,24.7
2021-05-23,21,24.7
2021-05-24,21,24.7
2021-05-25,21,24.7
2021-05-26,21,24.7
2021-05-27,21,24.7
2021-05-28,21,24.7
2021-05-29,21,24.7
2021-05-30,21,24.7
2021-05-31,53,62.33
2021-06-01,53,62.33
2021-06-02,53,62.33
2021-06-03,53,62.33
2021-06-04,53,62.33
2021-06-05,53,62.33
2021-06-06,53,62.33
2021-06-07,54,63.51
2021-06-08,54,63.51
2021-06-09,54,63.51
2021-06-10,54,63.51
2021-06-11,54,63.51
2021-06-12,54,63.51
2021-06-13,54,63.51
2021-06-14,54,63.51
2021-06-15,54,63.51
2021-06-16,54,63.51
2021-06-17,55,64.68
2021-06-18,55,64.68
2021-06-19,55,64.68
2021-06-20,55,64.68
2021-06-21,55,64.68
2021-06-22,55,64.68
2021-06-23,55,64.68
2021-06-24,55,64.68
2021-06-25,55,64.68
2021-06-26,55,64.68
2021-06-27,55,64.68
2021-06-28,55,64.68
2021-06-29,55,64.68
2021-06-30,55,64.68
2021-07-01,55,64.68
2021-07-02,55,64.68
2021-07-03,56,65.86
2021-07-04,56,65.86
2021-07-05,56,65.86
2021-07-06,56,65.86
2021-07-07,56,65.86
2021-07-08,56,65.86
2021-07-09,56,65.86
2021-07-10,56,65.86
2021-07-11,56,65.86
2021-07-12,56,65.86
2021-07-13,56,65.86
2021-07-14,56,65.86
2021-07-15,56,65.86
2021-07-16,56,65.86
2021-07-17,56,65.86
2021-07-18,56,65.86
2021-07-19,56,65.86
2021-07-20,56,65.86
2021-07-21,56,65.86
2021-07-22,56,65.86
2021-07-23,56,65.86
2021-07-24,56,65.86
2021-07-25,56,65.86
2021-07-26,56,65.86
2021-07-27,56,65.86
2021-07-28,56,65.86
2021-07-29,56,65.86
2021-07-30,56,65.86
2021-07-31,56,65.86
2021-08-01,56,65.86
2021-08-02,56,65.86
2021-08-03,56,65.86
2021-08-04,56,65.86
2021-08-05,56,65.86
2021-08-06,56,65.86
2021-08-07,56,65.86
2021-08-08,56,65.86
2021-08-09,56,65.86
2021-08-10,56,65.86
2021-08-11,56,65.86
2021-08-12,56,65.86
2021-08-13,56,65.86
2021-08-14,56,65.86
2021-08-15,56,65.86
2021-08-16,56,65.86
2021-08-17,56,65.86
2021-08-18,56,65.86
2021-08-19,56,65.86
2021-08-20,56,65.86
2021-08-21,56,65.86
2021-08-22,56,65.86
2021-08-23,56,65.86
2021-08-24,56,65.86
2021-08-25,56,65.86
2021-08-26,56,65.86
2021-08-27,56,65.86
2021-08-28,56,65.86
2021-08-29,56,65.86
2021-08-30,56,65.86
2021-08-31,56,65.86
2021-09-01,56,65.86
2021-09-02,56,65.86
2021-09-03,56,65.86
2021-09-04,56,65.86
2021-09-05,56,65.86
2021-09-06,56,65.86
2021-09-07,56,65.86
2021-09-08,56,65.86
2021-09-09,56,65.86
2021-09-10,56,65.86
2021-09-11,56,65.86
2021-09-12,56,65.86
2021-09-13,56,6.59
2021-09-14,56,6.59
2021-09-15,56,6.59
2021-09-16,56,6.59
2021-09-17,56,6.59
2021-09-18,56,6.59
2021-09-19,56,6.59
2021-09-20,56,6.59
2021-09-21,56,6.59
