Dia,Muertes_Totales,Tasa_Mortalidad
2021-04-05,192,14.5
2021-04-06,195,14.73
2021-04-07,195,14.73
2021-04-08,195,14.73
2021-04-09,197,14.88
2021-04-10,200,15.1
2021-04-11,201,15.18
2021-04-12,202,15.25
2021-04-13,202,15.25
2021-04-14,204,15.4
2021-04-15,207,15.63
2021-04-16,209,15.78
2021-04-17,216,16.31
2021-04-18,218,16.46
2021-04-19,220,16.61
2021-04-20,221,16.69
2021-04-21,221,16.69
2021-04-22,225,16.99
2021-04-23,226,17.07
2021-04-24,226,17.07
2021-04-25,228,17.22
2021-04-26,229,17.29
2021-04-27,232,17.52
2021-04-28,233,17.59
2021-04-29,234,17.67
2021-04-30,235,17.75
2021-05-01,238,17.97
2021-05-02,238,17.97
2021-05-03,240,18.12
2021-05-04,245,18.5
2021-05-05,245,18.5
2021-05-06,251,18.95
2021-05-07,252,19.03
2021-05-08,253,19.1
2021-05-09,253,19.1
2021-05-10,253,19.1
2021-05-11,253,19.1
2021-05-12,254,19.18
2021-05-13,255,19.26
2021-05-14,256,19.33
2021-05-15,257,19.41
2021-05-16,257,19.41
2021-05-17,258,19.48
2021-05-18,259,19.56
2021-05-19,259,19.56
2021-05-20,259,19.56
2021-05-21,260,19.63
2021-05-22,261,19.71
2021-05-23,261,19.71
2021-05-24,261,19.71
2021-05-25,261,19.71
2021-05-26,262,19.78
2021-05-27,262,19.78
2021-05-28,262,19.78
2021-05-29,262,19.78
2021-05-30,262,19.78
2021-05-31,669,50.52
2021-06-01,668,50.44
2021-06-02,670,50.59
2021-06-03,671,50.67
2021-06-04,670,50.59
2021-06-05,672,50.74
2021-06-06,672,50.74
2021-06-07,672,50.74
2021-06-08,674,50.9
2021-06-09,674,50.9
2021-06-10,674,50.9
2021-06-11,676,51.05
2021-06-12,678,51.2
2021-06-13,678,51.2
2021-06-14,680,51.35
2021-06-15,677,51.12
2021-06-16,679,51.27
2021-06-17,677,51.12
2021-06-18,677,51.12
2021-06-19,678,51.2
2021-06-20,678,51.2
2021-06-21,678,51.2
2021-06-22,678,51.2
2021-06-23,677,51.12
2021-06-24,675,50.97
2021-06-25,680,51.35
2021-06-26,681,51.42
2021-06-27,681,51.42
2021-06-28,682,51.5
2021-06-29,682,51.5
2021-06-30,685,51.73
2021-07-01,684,51.65
2021-07-02,685,51.73
2021-07-03,685,51.73
2021-07-04,685,51.73
2021-07-05,687,51.88
2021-07-06,686,51.8
2021-07-07,686,51.8
2021-07-08,688,51.95
2021-07-09,689,52.03
2021-07-10,689,52.03
2021-07-11,690,52.1
2021-07-12,691,52.18
2021-07-13,692,52.26
2021-07-14,691,52.18
2021-07-15,691,52.18
2021-07-16,691,52.18
2021-07-17,691,52.18
2021-07-18,692,52.26
2021-07-19,690,52.1
2021-07-20,690,52.1
2021-07-21,691,52.18
2021-07-22,692,52.26
2021-07-23,693,52.33
2021-07-24,692,52.26
2021-07-25,693,52.33
2021-07-26,693,52.33
2021-07-27,693,52.33
2021-07-28,693,52.33
2021-07-29,693,52.33
2021-07-30,693,52.33
2021-07-31,693,52.33
2021-08-01,693,52.33
2021-08-02,693,52.33
2021-08-03,694,52.41
2021-08-04,697,52.63
2021-08-05,696,52.56
2021-08-06,696,52.56
2021-08-07,696,52.56
2021-08-08,696,52.56
2021-08-09,698,52.71
2021-08-10,699,52.78
2021-08-11,699,52.78
2021-08-12,699,52.78
2021-08-13,699,52.78
2021-08-14,699,52.78
2021-08-15,699,52.78
2021-08-16,698,52.71
2021-08-17,695,52.48
2021-08-18,695,52.48
2021-08-19,695,52.48
2021-08-20,695,52.48
2021-08-21,695,52.48
2021-08-22,695,52.48
2021-08-23,695,52.48
2021-08-24,695,52.48
2021-08-25,695,52.48
2021-08-26,695,52.48
2021-08-27,696,52.56
2021-08-28,697,52.63
2021-08-29,698,52.71
2021-08-30,698,52.71
2021-08-31,698,52.71
2021-09-01,698,52.71
2021-09-02,698,52.71
2021-09-03,698,52.71
2021-09-04,698,52.71
2021-09-05,698,52.71
2021-09-06,699,52.78
2021-09-07,699,52.78
2021-09-08,701,52.93
2021-09-09,700,52.86
2021-09-10,701,52.93
2021-09-11,701,52.93
2021-09-12,702,53.01
2021-09-13,701,5.29
2021-09-14,702,5.3
2021-09-15,702,5.3
2021-09-16,703,5.31
2021-09-17,704,5.32
2021-09-18,707,5.34
2021-09-19,708,5.35
2021-09-20,707,5.34
2021-09-21,707,5.34
2021-09-22,707,5.34
2021-09-23,707,5.34
2021-09-24,708,5.35
2021-09-25,708,5.35
2021-09-26,709,5.35
2021-09-27,708,5.35
2021-09-28,708,5.35
2021-09-29,708,5.35
2021-09-30,709,5.35
2021-10-01,709,5.35
2021-10-02,709,5.35
2021-10-03,709,5.35
2021-10-04,710,5.36
2021-10-05,710,5.36
2021-10-06,710,5.36
2021-10-07,709,5.35
2021-10-08,710,5.36
2021-10-09,710,5.36
2021-10-10,712,5.38
2021-10-11,712,5.38
2021-10-12,712,5.38
2021-10-13,711,5.37
2021-10-14,711,5.37
2021-10-15,711,5.37
2021-10-16,711,5.37
2021-10-17,711,5.37
2021-10-18,712,5.38
2021-10-19,712,5.38
2021-10-20,712,5.38
2021-10-21,713,5.38
2021-10-22,713,5.38
2021-10-23,714,5.39
2021-10-24,713,5.38
2021-10-25,713,5.38
2021-10-26,714,5.39
2021-10-27,715,5.4
2021-10-28,716,5.41
2021-10-29,716,5.41
2021-10-30,715,5.4
2021-10-31,715,5.4
2021-11-01,715,5.4
2021-11-02,716,5.41
2021-11-03,716,5.41
2021-11-04,716,5.41
2021-11-05,717,5.41
2021-11-06,717,5.41
2021-11-07,718,5.42
2021-11-08,718,5.42
2021-11-09,718,5.42
2021-11-10,718,5.42
2021-11-11,718,5.42
2021-11-12,717,5.41
2021-11-13,717,5.41
2021-11-14,718,5.42
2021-11-15,717,5.41
