Dia,Muertes_Totales,Tasa_Mortalidad
2021-08-20,428,63.96
2021-08-21,428,63.96
2021-08-22,428,63.96
2021-08-23,428,63.96
2021-08-24,429,64.11
2021-08-25,429,64.11
2021-08-26,430,64.26
2021-08-27,431,64.41
2021-08-28,431,64.41
2021-08-29,431,64.41
2021-08-30,431,64.41
2021-08-31,431,64.41
2021-09-01,431,64.41
2021-09-02,431,64.41
2021-09-03,431,64.41
2021-09-04,431,64.41
2021-09-05,432,64.56
2021-09-06,432,64.56
2021-09-07,432,64.56
2021-09-08,432,64.56
2021-09-09,432,64.56
2021-09-10,432,64.56
2021-09-11,432,64.56
2021-09-12,434,64.86
2021-09-13,434,6.49
2021-09-14,434,6.49
2021-09-15,434,6.49
2021-09-16,434,6.49
2021-09-17,434,6.49
2021-09-18,434,6.49
2021-09-19,435,6.5
2021-09-20,435,6.5
2021-09-21,435,6.5
2021-09-22,435,6.5
2021-09-23,435,6.5
2021-09-24,435,6.5
2021-09-25,435,6.5
2021-09-26,435,6.5
2021-09-27,435,6.5
2021-09-28,435,6.5
2021-09-29,435,6.5
2021-09-30,435,6.5
2021-10-01,436,6.52
2021-10-02,436,6.52
2021-10-03,436,6.52
2021-10-04,436,6.52
2021-10-05,436,6.52
2021-10-06,436,6.52
2021-10-07,436,6.52
2021-10-08,436,6.52
2021-10-09,436,6.52
2021-10-10,437,6.53
2021-10-11,437,6.53
2021-10-12,436,6.52
