Dia,Muertes_Totales,Tasa_Mortalidad
2021-06-08,8013,67.7
2021-06-09,8023,67.78
2021-06-10,8030,67.84
2021-06-11,8035,67.89
2021-06-12,8041,67.94
2021-06-13,8045,67.97
2021-06-14,8047,67.99
2021-06-15,8053,68.04
2021-06-16,8055,68.05
2021-06-17,8059,68.09
2021-06-18,8060,68.1
2021-06-19,8062,68.11
2021-06-20,8065,68.14
2021-06-21,8069,68.17
2021-06-22,8066,68.15
2021-06-23,8066,68.15
2021-06-24,8069,68.17
2021-06-25,8075,68.22
2021-06-26,8078,68.25
2021-06-27,8079,68.26
2021-06-28,8083,68.29
2021-06-29,8083,68.29
2021-06-30,8099,68.43
2021-07-01,8097,68.41
2021-07-02,8098,68.42
2021-07-03,8100,68.43
2021-07-04,8102,68.45
2021-07-05,8112,68.54
2021-07-06,8113,68.54
2021-07-07,8117,68.58
2021-07-08,8118,68.59
2021-07-09,8115,68.56
2021-07-10,8118,68.59
2021-07-11,8121,68.61
2021-07-12,8124,68.64
2021-07-13,8119,68.6
2021-07-14,8122,68.62
2021-07-15,8123,68.63
2021-07-16,8122,68.62
2021-07-17,8123,68.63
2021-07-18,8123,68.63
2021-07-19,8123,68.63
2021-07-20,8115,68.56
2021-07-21,8122,68.62
2021-07-22,8126,68.65
2021-07-23,8123,68.63
2021-07-24,8128,68.67
2021-07-25,8130,68.69
2021-07-26,8128,68.67
2021-07-27,8131,68.7
2021-07-28,8131,68.7
2021-07-29,8132,68.71
2021-07-30,8134,68.72
2021-07-31,8129,68.68
2021-08-01,8128,68.67
2021-08-02,8133,68.71
2021-08-03,8134,68.72
2021-08-04,8135,68.73
2021-08-05,8134,68.72
2021-08-06,8134,68.72
2021-08-07,8137,68.75
2021-08-08,8139,68.76
2021-08-09,8142,68.79
2021-08-10,8144,68.81
2021-08-11,8146,68.82
2021-08-12,8144,68.81
2021-08-13,8148,68.84
2021-08-14,8144,68.81
2021-08-15,8145,68.81
2021-08-16,8151,68.87
2021-08-17,8145,68.81
2021-08-18,8147,68.83
2021-08-19,8150,68.86
2021-08-20,8151,68.87
2021-08-21,8152,68.87
2021-08-22,8154,68.89
2021-08-23,8155,68.9
2021-08-24,8157,68.92
2021-08-25,8156,68.91
2021-08-26,8154,68.89
2021-08-27,8153,68.88
2021-08-28,8153,68.88
2021-08-29,8155,68.9
2021-08-30,8157,68.92
2021-08-31,8157,68.92
2021-09-01,8158,68.92
2021-09-02,8159,68.93
2021-09-03,8162,68.96
2021-09-04,8162,68.96
2021-09-05,8164,68.98
2021-09-06,8165,68.98
2021-09-07,8166,68.99
2021-09-08,8167,69
2021-09-09,8167,69
2021-09-10,8167,69
2021-09-11,8169,69.02
2021-09-12,8168,69.01
2021-09-13,8170,6.9
2021-09-14,8171,6.9
2021-09-15,8169,6.9
2021-09-16,8169,6.9
2021-09-17,8170,6.9
2021-09-18,8171,6.9
2021-09-19,8173,6.91
2021-09-20,8174,6.91
2021-09-21,8174,6.91
2021-09-22,8173,6.91
2021-09-23,8174,6.91
2021-09-24,8174,6.91
2021-09-25,8175,6.91
2021-09-26,8173,6.91
2021-09-27,8176,6.91
2021-09-28,8177,6.91
2021-09-29,8182,6.91
2021-09-30,8184,6.91
2021-10-01,8183,6.91
2021-10-02,8184,6.91
2021-10-03,8187,6.92
2021-10-04,8189,6.92
2021-10-05,8190,6.92
2021-10-06,8189,6.92
2021-10-07,8188,6.92
2021-10-08,8188,6.92
2021-10-09,8191,6.92
2021-10-10,8196,6.92
2021-10-11,8198,6.93
2021-10-12,8199,6.93
