Dia,Muertes_Totales,Tasa_Mortalidad
2021-04-06,948,21.2
2021-04-07,952,21.28
2021-04-08,956,21.37
2021-04-09,962,21.51
2021-04-10,965,21.58
2021-04-11,969,21.66
2021-04-12,973,21.75
2021-04-13,977,21.84
2021-04-14,982,21.96
2021-04-15,986,22.04
2021-04-16,992,22.18
2021-04-17,994,22.22
2021-04-18,1000,22.36
2021-04-19,1011,22.6
2021-04-20,1016,22.72
2021-04-21,1019,22.78
2021-04-22,1021,22.83
2021-04-23,1025,22.92
2021-04-24,1033,23.1
2021-04-25,1035,23.14
2021-04-26,1041,23.27
2021-04-27,1048,23.43
2021-04-28,1053,23.54
2021-04-29,1056,23.61
2021-04-30,1062,23.74
2021-05-01,1065,23.81
2021-05-02,1069,23.9
2021-05-03,1071,23.95
2021-05-04,1083,24.21
2021-05-05,1083,24.21
2021-05-06,1094,24.46
2021-05-07,1099,24.57
2021-05-08,1102,24.64
2021-05-09,1106,24.73
2021-05-10,1111,24.84
2021-05-11,1119,25.02
2021-05-12,1128,25.22
2021-05-13,1136,25.4
2021-05-14,1141,25.51
2021-05-15,1143,25.56
2021-05-16,1146,25.62
2021-05-17,1152,25.76
2021-05-18,1154,25.8
2021-05-19,1158,25.89
2021-05-20,1167,26.09
2021-05-21,1170,26.16
2021-05-22,1172,26.2
2021-05-23,1177,26.32
2021-05-24,1181,26.4
2021-05-25,1182,26.43
2021-05-26,1183,26.45
2021-05-27,1185,26.49
2021-05-28,1185,26.49
2021-05-29,1187,26.54
2021-05-30,1187,26.54
2021-05-31,3091,69.11
2021-06-01,3096,69.22
2021-06-02,3099,69.29
2021-06-03,3095,69.2
2021-06-04,3099,69.29
2021-06-05,3103,69.38
2021-06-06,3102,69.35
2021-06-07,3111,69.56
2021-06-08,3114,69.62
2021-06-09,3119,69.73
2021-06-10,3119,69.73
2021-06-11,3121,69.78
2021-06-12,3126,69.89
2021-06-13,3130,69.98
2021-06-14,3133,70.05
2021-06-15,3134,70.07
2021-06-16,3139,70.18
2021-06-17,3138,70.16
2021-06-18,3140,70.2
2021-06-19,3142,70.25
2021-06-20,3141,70.23
2021-06-21,3144,70.29
2021-06-22,3148,70.38
2021-06-23,3149,70.4
2021-06-24,3149,70.4
2021-06-25,3144,70.29
2021-06-26,3149,70.4
2021-06-27,3155,70.54
2021-06-28,3155,70.54
2021-06-29,3152,70.47
2021-06-30,3150,70.43
2021-07-01,3159,70.63
2021-07-02,3159,70.63
2021-07-03,3161,70.67
2021-07-04,3162,70.7
2021-07-05,3158,70.61
2021-07-06,3163,70.72
2021-07-07,3168,70.83
2021-07-08,3169,70.85
2021-07-09,3170,70.87
2021-07-10,3166,70.78
2021-07-11,3165,70.76
2021-07-12,3162,70.7
2021-07-13,3160,70.65
2021-07-14,3165,70.76
2021-07-15,3166,70.78
2021-07-16,3161,70.67
2021-07-17,3164,70.74
2021-07-18,3164,70.74
2021-07-19,3161,70.67
2021-07-20,3155,70.54
2021-07-21,3156,70.56
2021-07-22,3158,70.61
2021-07-23,3165,70.76
2021-07-24,3157,70.58
2021-07-25,3167,70.81
2021-07-26,3165,70.76
2021-07-27,3166,70.78
2021-07-28,3170,70.87
2021-07-29,3169,70.85
2021-07-30,3173,70.94
2021-07-31,3167,70.81
2021-08-01,3170,70.87
2021-08-02,3175,70.99
2021-08-03,3174,70.96
2021-08-04,3173,70.94
2021-08-05,3175,70.99
2021-08-06,3176,71.01
2021-08-07,3180,71.1
2021-08-08,3174,70.96
2021-08-09,3179,71.08
2021-08-10,3181,71.12
2021-08-11,3180,71.1
2021-08-12,3181,71.12
2021-08-13,3179,71.08
2021-08-14,3181,71.12
2021-08-15,3178,71.05
2021-08-16,3180,71.1
2021-08-17,3183,71.16
2021-08-18,3183,71.16
2021-08-19,3183,71.16
2021-08-20,3183,71.16
2021-08-21,3182,71.14
2021-08-22,3182,71.14
2021-08-23,3183,71.16
2021-08-24,3183,71.16
2021-08-25,3184,71.19
2021-08-26,3183,71.16
2021-08-27,3184,71.19
2021-08-28,3184,71.19
2021-08-29,3189,71.3
2021-08-30,3186,71.23
2021-08-31,3188,71.28
2021-09-01,3189,71.3
2021-09-02,3188,71.28
2021-09-03,3193,71.39
2021-09-04,3193,71.39
2021-09-05,3190,71.32
2021-09-06,3193,71.39
2021-09-07,3193,71.39
2021-09-08,3193,71.39
2021-09-09,3194,71.41
2021-09-10,3195,71.43
2021-09-11,3193,71.39
2021-09-12,3194,71.41
2021-09-13,3197,7.15
2021-09-14,3194,7.14
2021-09-15,3197,7.15
2021-09-16,3200,7.15
2021-09-17,3199,7.15
2021-09-18,3201,7.16
2021-09-19,3201,7.16
2021-09-20,3199,7.15
2021-09-21,3202,7.16
2021-09-22,3204,7.16
2021-09-23,3204,7.16
2021-09-24,3204,7.16
2021-09-25,3207,7.17
2021-09-26,3204,7.16
2021-09-27,3206,7.17
2021-09-28,3210,7.18
2021-09-29,3209,7.17
2021-09-30,3211,7.18
2021-10-01,3212,7.18
2021-10-02,3215,7.19
2021-10-03,3214,7.19
2021-10-04,3214,7.19
2021-10-05,3215,7.19
2021-10-06,3214,7.19
2021-10-07,3215,7.19
2021-10-08,3216,7.19
2021-10-09,3215,7.19
2021-10-10,3216,7.19
2021-10-11,3216,7.19
2021-10-12,3216,7.19
