Dia,Muertes_Totales,Tasa_Mortalidad
2021-07-15,489,74.04
2021-07-16,489,74.04
2021-07-17,490,74.19
2021-07-18,492,74.5
2021-07-19,492,74.5
2021-07-20,491,74.35
2021-07-21,490,74.19
2021-07-22,491,74.35
2021-07-23,491,74.35
2021-07-24,492,74.5
2021-07-25,491,74.35
2021-07-26,491,74.35
2021-07-27,492,74.5
2021-07-28,491,74.35
2021-07-29,491,74.35
2021-07-30,491,74.35
2021-07-31,491,74.35
2021-08-01,491,74.35
2021-08-02,491,74.35
2021-08-03,493,74.65
2021-08-04,494,74.8
2021-08-05,493,74.65
2021-08-06,493,74.65
2021-08-07,493,74.65
2021-08-08,493,74.65
2021-08-09,494,74.8
2021-08-10,495,74.95
2021-08-11,494,74.8
2021-08-12,494,74.8
2021-08-13,493,74.65
2021-08-14,494,74.8
2021-08-15,493,74.65
2021-08-16,493,74.65
2021-08-17,493,74.65
2021-08-18,493,74.65
2021-08-19,493,74.65
2021-08-20,493,74.65
2021-08-21,493,74.65
2021-08-22,493,74.65
2021-08-23,493,74.65
2021-08-24,493,74.65
2021-08-25,493,74.65
2021-08-26,493,74.65
2021-08-27,493,74.65
2021-08-28,493,74.65
2021-08-29,493,74.65
2021-08-30,493,74.65
2021-08-31,495,74.95
2021-09-01,495,74.95
2021-09-02,494,74.8
2021-09-03,494,74.8
2021-09-04,494,74.8
2021-09-05,494,74.8
2021-09-06,495,74.95
2021-09-07,495,74.95
2021-09-08,494,74.8
2021-09-09,494,74.8
2021-09-10,494,74.8
2021-09-11,495,74.95
2021-09-12,495,74.95
2021-09-13,497,7.53
2021-09-14,497,7.53
2021-09-15,497,7.53
2021-09-16,497,7.53
2021-09-17,497,7.53
2021-09-18,497,7.53
2021-09-19,498,7.54
2021-09-20,498,7.54
2021-09-21,498,7.54
2021-09-22,498,7.54
2021-09-23,499,7.56
2021-09-24,499,7.56
2021-09-25,499,7.56
2021-09-26,498,7.54
2021-09-27,499,7.56
2021-09-28,499,7.56
2021-09-29,498,7.54
2021-09-30,498,7.54
2021-10-01,499,7.56
2021-10-02,498,7.54
2021-10-03,499,7.56
2021-10-04,499,7.56
2021-10-05,498,7.54
2021-10-06,499,7.56
2021-10-07,499,7.56
2021-10-08,500,7.57
2021-10-09,500,7.57
2021-10-10,500,7.57
2021-10-11,500,7.57
2021-10-12,499,7.56
