Dia,Muertes_Totales,Tasa_Mortalidad
2021-07-05,6220,80.39
2021-07-06,6224,80.45
2021-07-07,6226,80.47
2021-07-08,6234,80.57
2021-07-09,6235,80.59
2021-07-10,6235,80.59
2021-07-11,6236,80.6
2021-07-12,6233,80.56
2021-07-13,6240,80.65
2021-07-14,6237,80.61
2021-07-15,6238,80.63
2021-07-16,6241,80.67
2021-07-17,6245,80.72
2021-07-18,6250,80.78
2021-07-19,6255,80.85
2021-07-20,6253,80.82
2021-07-21,6254,80.83
2021-07-22,6255,80.85
2021-07-23,6257,80.87
2021-07-24,6262,80.94
2021-07-25,6266,80.99
2021-07-26,6266,80.99
2021-07-27,6268,81.01
2021-07-28,6268,81.01
2021-07-29,6270,81.04
2021-07-30,6272,81.07
2021-07-31,6271,81.05
2021-08-01,6271,81.05
2021-08-02,6274,81.09
2021-08-03,6278,81.14
2021-08-04,6277,81.13
2021-08-05,6276,81.12
2021-08-06,6275,81.1
2021-08-07,6276,81.12
2021-08-08,6282,81.2
2021-08-09,6282,81.2
2021-08-10,6278,81.14
2021-08-11,6282,81.2
2021-08-12,6283,81.21
2021-08-13,6287,81.26
2021-08-14,6285,81.23
2021-08-15,6289,81.29
2021-08-16,6288,81.27
2021-08-17,6293,81.34
2021-08-18,6291,81.31
2021-08-19,6291,81.31
2021-08-20,6293,81.34
2021-08-21,6294,81.35
2021-08-22,6294,81.35
2021-08-23,6295,81.36
2021-08-24,6297,81.39
2021-08-25,6300,81.43
2021-08-26,6300,81.43
2021-08-27,6298,81.4
2021-08-28,6298,81.4
2021-08-29,6301,81.44
2021-08-30,6297,81.39
2021-08-31,6299,81.42
2021-09-01,6299,81.42
2021-09-02,6302,81.45
2021-09-03,6302,81.45
2021-09-04,6302,81.45
2021-09-05,6301,81.44
2021-09-06,6303,81.47
2021-09-07,6303,81.47
2021-09-08,6305,81.49
2021-09-09,6303,81.47
2021-09-10,6306,81.51
2021-09-11,6307,81.52
2021-09-12,6307,81.52
2021-09-13,6308,8.15
2021-09-14,6307,8.15
2021-09-15,6307,8.15
2021-09-16,6309,8.15
2021-09-17,6310,8.16
2021-09-18,6311,8.16
2021-09-19,6311,8.16
2021-09-20,6310,8.16
2021-09-21,6310,8.16
2021-09-22,6311,8.16
2021-09-23,6309,8.15
2021-09-24,6311,8.16
2021-09-25,6312,8.16
2021-09-26,6314,8.16
2021-09-27,6316,8.16
2021-09-28,6316,8.16
2021-09-29,6317,8.16
2021-09-30,6315,8.16
2021-10-01,6318,8.17
2021-10-02,6318,8.17
2021-10-03,6320,8.17
2021-10-04,6322,8.17
2021-10-05,6322,8.17
2021-10-06,6321,8.17
2021-10-07,6322,8.17
2021-10-08,6323,8.17
2021-10-09,6323,8.17
2021-10-10,6327,8.18
2021-10-11,6328,8.18
2021-10-12,6327,8.18
