Dia,Muertes_Totales,Tasa_Mortalidad
2021-09-01,1334,83.97
2021-09-02,1333,83.91
2021-09-03,1334,83.97
2021-09-04,1334,83.97
2021-09-05,1335,84.04
2021-09-06,1335,84.04
2021-09-07,1336,84.1
2021-09-08,1336,84.1
2021-09-09,1336,84.1
2021-09-10,1337,84.16
2021-09-11,1338,84.23
2021-09-12,1338,84.23
2021-09-13,1340,8.44
2021-09-14,1340,8.44
2021-09-15,1340,8.44
2021-09-16,1343,8.45
2021-09-17,1343,8.45
2021-09-18,1343,8.45
2021-09-19,1343,8.45
2021-09-20,1345,8.47
2021-09-21,1345,8.47
2021-09-22,1346,8.47
2021-09-23,1346,8.47
2021-09-24,1346,8.47
2021-09-25,1346,8.47
2021-09-26,1345,8.47
2021-09-27,1347,8.48
2021-09-28,1347,8.48
2021-09-29,1348,8.49
2021-09-30,1349,8.49
2021-10-01,1349,8.49
