Dia,Muertes_Totales,Tasa_Mortalidad
2021-07-14,1978,79.06
2021-07-15,1979,79.1
2021-07-16,1982,79.22
2021-07-17,1982,79.22
2021-07-18,1981,79.18
2021-07-19,1983,79.26
2021-07-20,1985,79.33
2021-07-21,1983,79.26
2021-07-22,1985,79.33
2021-07-23,1985,79.33
2021-07-24,1987,79.41
2021-07-25,1985,79.33
2021-07-26,1984,79.3
2021-07-27,1983,79.26
2021-07-28,1985,79.33
2021-07-29,1984,79.3
2021-07-30,1983,79.26
2021-07-31,1986,79.37
2021-08-01,1987,79.41
2021-08-02,1986,79.37
2021-08-03,1983,79.26
2021-08-04,1984,79.3
2021-08-05,1983,79.26
2021-08-06,1984,79.3
2021-08-07,1985,79.33
2021-08-08,1988,79.45
2021-08-09,1988,79.45
2021-08-10,1987,79.41
2021-08-11,1986,79.37
2021-08-12,1988,79.45
2021-08-13,1985,79.33
2021-08-14,1985,79.33
2021-08-15,1985,79.33
2021-08-16,1986,79.37
2021-08-17,1984,79.3
2021-08-18,1985,79.33
2021-08-19,1986,79.37
2021-08-20,1985,79.33
2021-08-21,1985,79.33
2021-08-22,1986,79.37
2021-08-23,1986,79.37
2021-08-24,1987,79.41
2021-08-25,1987,79.41
2021-08-26,1987,79.41
2021-08-27,1987,79.41
2021-08-28,1987,79.41
2021-08-29,1988,79.45
2021-08-30,1988,79.45
2021-08-31,1989,79.49
2021-09-01,1989,79.49
2021-09-02,1990,79.53
2021-09-03,1991,79.57
2021-09-04,1993,79.65
2021-09-05,1992,79.61
2021-09-06,1992,79.61
2021-09-07,1992,79.61
2021-09-08,1992,79.61
2021-09-09,1994,79.69
2021-09-10,1994,79.69
2021-09-11,1993,79.65
2021-09-12,1992,79.61
2021-09-13,1993,7.97
2021-09-14,1992,7.96
2021-09-15,1993,7.97
2021-09-16,1993,7.97
2021-09-17,1994,7.97
2021-09-18,1993,7.97
2021-09-19,1993,7.97
2021-09-20,1994,7.97
2021-09-21,1994,7.97
2021-09-22,1993,7.97
2021-09-23,1993,7.97
2021-09-24,1993,7.97
2021-09-25,1993,7.97
2021-09-26,1996,7.98
2021-09-27,1993,7.97
2021-09-28,1994,7.97
2021-09-29,1996,7.98
2021-09-30,1994,7.97
2021-10-01,1995,7.97
2021-10-02,1995,7.97
2021-10-03,1994,7.97
2021-10-04,1994,7.97
2021-10-05,1995,7.97
2021-10-06,1996,7.98
2021-10-07,1996,7.98
2021-10-08,1996,7.98
2021-10-09,1996,7.98
2021-10-10,1998,7.99
2021-10-11,1998,7.99
2021-10-12,1997,7.98
