Dia,Muertes_Totales,Tasa_Mortalidad
2021-09-01,12,61.01
2021-09-02,12,61.01
2021-09-03,12,61.01
2021-09-04,12,61.01
2021-09-05,12,61.01
2021-09-06,12,61.01
2021-09-07,12,61.01
2021-09-08,12,61.01
2021-09-09,12,61.01
2021-09-10,12,61.01
2021-09-11,12,61.01
2021-09-12,12,61.01
2021-09-13,12,6.1
2021-09-14,12,6.1
2021-09-15,12,6.1
2021-09-16,12,6.1
2021-09-17,12,6.1
2021-09-18,12,6.1
2021-09-19,12,6.1
2021-09-20,12,6.1
2021-09-21,12,6.1
2021-09-22,12,6.1
2021-09-23,12,6.1
2021-09-24,12,6.1
2021-09-25,12,6.1
2021-09-26,12,6.1
2021-09-27,12,6.1
2021-09-28,12,6.1
2021-09-29,12,6.1
2021-09-30,12,6.1
2021-10-01,12,6.1
2021-10-02,12,6.1
2021-10-03,12,6.1
2021-10-04,12,6.1
2021-10-05,12,6.1
2021-10-06,12,6.1
2021-10-07,12,6.1
