Dia,Muertes_Totales,Tasa_Mortalidad
2021-07-08,80,37.23
2021-07-09,79,36.76
2021-07-10,79,36.76
2021-07-11,79,36.76
2021-07-12,79,36.76
2021-07-13,79,36.76
2021-07-14,79,36.76
2021-07-15,79,36.76
2021-07-16,79,36.76
2021-07-17,79,36.76
2021-07-18,79,36.76
2021-07-19,79,36.76
2021-07-20,78,36.3
2021-07-21,78,36.3
2021-07-22,78,36.3
2021-07-23,78,36.3
2021-07-24,78,36.3
2021-07-25,78,36.3
2021-07-26,78,36.3
2021-07-27,78,36.3
2021-07-28,78,36.3
2021-07-29,78,36.3
2021-07-30,78,36.3
2021-07-31,78,36.3
2021-08-01,78,36.3
2021-08-02,78,36.3
2021-08-03,78,36.3
2021-08-04,78,36.3
2021-08-05,78,36.3
2021-08-06,78,36.3
2021-08-07,78,36.3
2021-08-08,78,36.3
2021-08-09,78,36.3
2021-08-10,78,36.3
2021-08-11,78,36.3
2021-08-12,78,36.3
2021-08-13,78,36.3
2021-08-14,78,36.3
2021-08-15,78,36.3
2021-08-16,78,36.3
2021-08-17,78,36.3
2021-08-18,78,36.3
2021-08-19,78,36.3
2021-08-20,77,35.83
2021-08-21,77,35.83
2021-08-22,77,35.83
2021-08-23,77,35.83
2021-08-24,77,35.83
2021-08-25,77,35.83
2021-08-26,77,35.83
2021-08-27,77,35.83
2021-08-28,77,35.83
2021-08-29,77,35.83
2021-08-30,77,35.83
2021-08-31,77,35.83
2021-09-01,77,35.83
2021-09-02,77,35.83
2021-09-03,77,35.83
2021-09-04,77,35.83
2021-09-05,77,35.83
2021-09-06,77,35.83
2021-09-07,77,35.83
2021-09-08,77,35.83
2021-09-09,77,35.83
2021-09-10,77,35.83
2021-09-11,77,35.83
2021-09-12,77,35.83
2021-09-13,77,3.58
2021-09-14,77,3.58
2021-09-15,77,3.58
2021-09-16,77,3.58
2021-09-17,77,3.58
2021-09-18,77,3.58
2021-09-19,78,3.63
2021-09-20,78,3.63
2021-09-21,78,3.63
2021-09-22,78,3.63
2021-09-23,78,3.63
2021-09-24,78,3.63
2021-09-25,78,3.63
2021-09-26,78,3.63
2021-09-27,78,3.63
2021-09-28,78,3.63
2021-09-29,78,3.63
2021-09-30,78,3.63
2021-10-01,78,3.63
2021-10-02,78,3.63
2021-10-03,78,3.63
2021-10-04,78,3.63
2021-10-05,78,3.63
2021-10-06,78,3.63
2021-10-07,78,3.63
2021-10-08,78,3.63
2021-10-09,78,3.63
2021-10-10,78,3.63
2021-10-11,78,3.63
2021-10-12,78,3.63
