Dia,Muertes_Totales,Tasa_Mortalidad
2021-09-01,2231,56.25
2021-09-02,2233,56.3
2021-09-03,2233,56.3
2021-09-04,2235,56.35
2021-09-05,2236,56.38
2021-09-06,2237,56.4
2021-09-07,2237,56.4
2021-09-08,2237,56.4
2021-09-09,2237,56.4
2021-09-10,2239,56.46
2021-09-11,2239,56.46
2021-09-12,2240,56.48
2021-09-13,2241,5.65
2021-09-14,2240,5.65
2021-09-15,2240,5.65
2021-09-16,2241,5.65
2021-09-17,2241,5.65
2021-09-18,2243,5.66
2021-09-19,2245,5.66
2021-09-20,2245,5.66
2021-09-21,2245,5.66
2021-09-22,2245,5.66
2021-09-23,2246,5.66
2021-09-24,2247,5.67
2021-09-25,2248,5.67
2021-09-26,2248,5.67
2021-09-27,2248,5.67
