Dia,Muertes_Totales,Tasa_Mortalidad
2021-04-13,284,26.68
2021-04-14,289,27.15
2021-04-15,292,27.43
2021-04-16,294,27.62
2021-04-17,296,27.81
2021-04-18,297,27.9
2021-04-19,298,27.99
2021-04-20,298,27.99
2021-04-21,300,28.18
2021-04-22,303,28.46
2021-04-23,307,28.84
2021-04-24,309,29.03
2021-04-25,312,29.31
2021-04-26,313,29.4
2021-04-27,313,29.4
2021-04-28,315,29.59
2021-04-29,318,29.87
2021-04-30,320,30.06
2021-05-01,321,30.16
2021-05-02,326,30.62
2021-05-03,326,30.62
2021-05-04,332,31.19
2021-05-05,332,31.19
2021-05-06,333,31.28
2021-05-07,335,31.47
2021-05-08,336,31.56
2021-05-09,345,32.41
2021-05-10,346,32.5
2021-05-11,346,32.5
2021-05-12,348,32.69
2021-05-13,349,32.79
2021-05-14,351,32.97
2021-05-15,351,32.97
2021-05-16,353,33.16
2021-05-17,354,33.26
2021-05-18,354,33.26
2021-05-19,355,33.35
2021-05-20,356,33.44
2021-05-21,358,33.63
2021-05-22,358,33.63
2021-05-23,362,34.01
2021-05-24,362,34.01
2021-05-25,363,34.1
2021-05-26,365,34.29
2021-05-27,365,34.29
2021-05-28,365,34.29
2021-05-29,365,34.29
2021-05-30,365,34.29
2021-05-31,925,86.9
2021-06-01,924,86.8
2021-06-02,925,86.9
2021-06-03,929,87.27
2021-06-04,931,87.46
2021-06-05,933,87.65
2021-06-06,935,87.83
2021-06-07,933,87.65
2021-06-08,936,87.93
2021-06-09,939,88.21
2021-06-10,941,88.4
2021-06-11,942,88.49
2021-06-12,941,88.4
2021-06-13,940,88.3
2021-06-14,944,88.68
2021-06-15,944,88.68
2021-06-16,944,88.68
2021-06-17,944,88.68
2021-06-18,946,88.87
2021-06-19,947,88.96
2021-06-20,947,88.96
2021-06-21,947,88.96
2021-06-22,948,89.06
2021-06-23,948,89.06
2021-06-24,948,89.06
2021-06-25,947,88.96
2021-06-26,947,88.96
2021-06-27,949,89.15
2021-06-28,948,89.06
2021-06-29,948,89.06
2021-06-30,949,89.15
2021-07-01,950,89.24
2021-07-02,948,89.06
2021-07-03,949,89.15
2021-07-04,949,89.15
2021-07-05,948,89.06
2021-07-06,948,89.06
2021-07-07,948,89.06
2021-07-08,948,89.06
2021-07-09,948,89.06
2021-07-10,951,89.34
2021-07-11,952,89.43
2021-07-12,952,89.43
2021-07-13,955,89.71
2021-07-14,955,89.71
2021-07-15,952,89.43
2021-07-16,952,89.43
2021-07-17,953,89.53
2021-07-18,954,89.62
2021-07-19,954,89.62
2021-07-20,955,89.71
2021-07-21,955,89.71
2021-07-22,955,89.71
2021-07-23,955,89.71
2021-07-24,956,89.81
2021-07-25,956,89.81
2021-07-26,957,89.9
2021-07-27,956,89.81
2021-07-28,959,90.09
2021-07-29,959,90.09
2021-07-30,959,90.09
2021-07-31,960,90.18
2021-08-01,962,90.37
2021-08-02,963,90.47
2021-08-03,965,90.65
2021-08-04,964,90.56
2021-08-05,965,90.65
2021-08-06,965,90.65
2021-08-07,965,90.65
2021-08-08,966,90.75
2021-08-09,965,90.65
2021-08-10,966,90.75
2021-08-11,966,90.75
2021-08-12,969,91.03
2021-08-13,970,91.12
2021-08-14,970,91.12
2021-08-15,971,91.22
2021-08-16,972,91.31
2021-08-17,973,91.4
2021-08-18,972,91.31
2021-08-19,972,91.31
2021-08-20,972,91.31
2021-08-21,972,91.31
2021-08-22,972,91.31
2021-08-23,972,91.31
2021-08-24,973,91.4
2021-08-25,972,91.31
2021-08-26,972,91.31
2021-08-27,972,91.31
2021-08-28,972,91.31
2021-08-29,975,91.59
2021-08-30,974,91.5
2021-08-31,975,91.59
2021-09-01,975,91.59
2021-09-02,974,91.5
2021-09-03,975,91.59
2021-09-04,975,91.59
2021-09-05,975,91.59
2021-09-06,976,91.69
2021-09-07,976,91.69
2021-09-08,973,91.4
2021-09-09,975,91.59
2021-09-10,976,91.69
2021-09-11,974,91.5
2021-09-12,975,91.59
2021-09-13,976,9.17
2021-09-14,976,9.17
2021-09-15,976,9.17
2021-09-16,975,9.16
2021-09-17,974,9.15
2021-09-18,977,9.18
2021-09-19,977,9.18
2021-09-20,977,9.18
2021-09-21,977,9.18
2021-09-22,976,9.17
2021-09-23,975,9.16
2021-09-24,975,9.16
2021-09-25,975,9.16
2021-09-26,976,9.17
2021-09-27,976,9.17
2021-09-28,976,9.17
2021-09-29,976,9.17
2021-09-30,975,9.16
2021-10-01,976,9.17
2021-10-02,976,9.17
2021-10-03,976,9.17
2021-10-04,975,9.16
2021-10-05,975,9.16
2021-10-06,977,9.18
2021-10-07,977,9.18
2021-10-08,977,9.18
2021-10-09,976,9.17
2021-10-10,977,9.18
2021-10-11,977,9.18
2021-10-12,976,9.17
