Dia,Muertes_Totales,Tasa_Mortalidad
2021-09-01,4230,85.49
2021-09-02,4232,85.53
2021-09-03,4233,85.55
2021-09-04,4233,85.55
2021-09-05,4233,85.55
2021-09-06,4233,85.55
2021-09-07,4234,85.57
2021-09-08,4235,85.59
2021-09-09,4234,85.57
2021-09-10,4235,85.59
2021-09-11,4237,85.63
2021-09-12,4236,85.61
2021-09-13,4235,8.56
2021-09-14,4237,8.56
2021-09-15,4240,8.57
2021-09-16,4240,8.57
2021-09-17,4240,8.57
2021-09-18,4240,8.57
2021-09-19,4240,8.57
2021-09-20,4240,8.57
2021-09-21,4243,8.58
2021-09-22,4244,8.58
2021-09-23,4245,8.58
2021-09-24,4245,8.58
2021-09-25,4245,8.58
2021-09-26,4245,8.58
2021-09-27,4244,8.58
2021-09-28,4246,8.58
2021-09-29,4246,8.58
2021-09-30,4248,8.59
2021-10-01,4247,8.58
