Dia,Muertes_Totales,Tasa_Mortalidad
2021-09-01,3632,74.57
2021-09-02,3633,74.59
2021-09-03,3635,74.63
2021-09-04,3635,74.63
2021-09-05,3634,74.61
2021-09-06,3635,74.63
2021-09-07,3636,74.65
2021-09-08,3638,74.69
2021-09-09,3638,74.69
2021-09-10,3639,74.71
2021-09-11,3640,74.73
2021-09-12,3640,74.73
2021-09-13,3642,7.48
2021-09-14,3642,7.48
2021-09-15,3642,7.48
2021-09-16,3643,7.48
2021-09-17,3642,7.48
2021-09-18,3643,7.48
2021-09-19,3643,7.48
2021-09-20,3642,7.48
2021-09-21,3644,7.48
2021-09-22,3644,7.48
