Dia,Muertes_Totales,Muertes_Dia
2021-05-31,6181,16
2021-06-01,6199,13
2021-06-02,6219,15
2021-06-03,6234,16
2021-06-04,6249,11
2021-06-05,6265,9
2021-06-06,6274,8
2021-06-07,6283,9
2021-06-08,6295,6
2021-06-09,6309,11
2021-06-10,6312,0
2021-06-11,6332,8
2021-06-12,6342,7
2021-06-13,6344,3
2021-06-14,6355,7
2021-06-15,6368,9
2021-06-16,6369,3
2021-06-17,6374,5
2021-06-18,6381,5
2021-06-19,6384,3
2021-06-20,6391,5
2021-06-21,6394,4
2021-06-22,6400,4
2021-06-23,6407,2
2021-06-24,6412,4
2021-06-25,6417,4
2021-06-26,6426,6
2021-06-27,6432,2
2021-06-28,6432,2
2021-06-29,6434,1
2021-06-30,6444,4
2021-07-01,6448,4
2021-07-02,6453,4
2021-07-03,6455,0
2021-07-04,6461,2
2021-07-05,6466,3
2021-07-06,6473,4
2021-07-07,6476,3
2021-07-08,6482,2
2021-07-09,6487,3
2021-07-10,6486,1
2021-07-11,6490,1
2021-07-12,6492,2
2021-07-13,6501,4
2021-07-14,6503,1
2021-07-15,6505,1
2021-07-16,6504,1
2021-07-17,6508,2
2021-07-18,6510,0
2021-07-19,6514,1
2021-07-20,6517,0
2021-07-21,6523,1
2021-07-22,6525,1
2021-07-23,6532,4
2021-07-24,6536,1
2021-07-25,6536,2
2021-07-26,6542,3
2021-07-27,6544,1
2021-07-28,6544,0
2021-07-29,6544,0
2021-07-30,6547,0
2021-07-31,6548,1
2021-08-01,6549,0
2021-08-02,6553,1
2021-08-03,6553,0
2021-08-04,6555,2
2021-08-05,6557,0
2021-08-06,6559,0
2021-08-07,6562,1
2021-08-08,6559,1
2021-08-09,6561,0
2021-08-10,6563,1
2021-08-11,6565,0
2021-08-12,6566,1
2021-08-13,6566,1
2021-08-14,6567,0
2021-08-15,6570,3
2021-08-16,6569,0
2021-08-17,6573,2
2021-08-18,6584,0
2021-08-19,6583,0
2021-08-20,6581,1
2021-08-21,6584,2
2021-08-22,6584,0
2021-08-23,6584,1
2021-08-24,6588,1
2021-08-25,6590,2
2021-08-26,6591,0
2021-08-27,6595,3
2021-08-28,6596,0
2021-08-29,6599,0
2021-08-30,6603,3
2021-08-31,6603,0
2021-09-01,6604,1
2021-09-02,6604,0
2021-09-03,6606,3
2021-09-04,6610,1
2021-09-05,6613,0
2021-09-06,6615,1
2021-09-07,6615,0
2021-09-08,6617,1
2021-09-09,6617,1
2021-09-10,6617,0
2021-09-11,6622,0
2021-09-12,6621,0
2021-09-13,6620,0
2021-09-14,6623,1
2021-09-15,6624,0
2021-09-16,6624,0
2021-09-17,6626,1
2021-09-18,6625,0
2021-09-19,6627,1
2021-09-20,6628,0
2021-09-21,6629,0
2021-09-22,6634,1
2021-09-23,6636,0
2021-09-24,6636,0
2021-09-25,6638,1
2021-09-26,6637,0
2021-09-27,6636,0
2021-09-28,6636,0
2021-09-29,6637,0
2021-09-30,6641,0
2021-10-01,6644,2
2021-10-02,6644,1
2021-10-03,6646,0
2021-10-04,6645,0
2021-10-05,6653,1
2021-10-06,6652,0
2021-10-07,6654,0
2021-10-08,6654,0
2021-10-09,6651,0
2021-10-10,6656,0
2021-10-11,6657,0
2021-10-12,6657,2
2021-10-13,6657,2
2021-10-14,6657,0
2021-10-15,6660,0
2021-10-16,6661,0
2021-10-17,6663,1
2021-10-18,6665,1
2021-10-19,6665,1
2021-10-20,6667,0
2021-10-21,6667,0
2021-10-22,6669,0
2021-10-23,6671,1
2021-10-24,6668,0
2021-10-25,6670,0
2021-10-26,6672,0
2021-10-27,6676,0
2021-10-28,6676,0
2021-10-29,6673,0
2021-10-30,6674,0
2021-10-31,6678,1
