Dia,Muertes_Totales,Muertes_Dia
2021-05-31,1332,3
2021-06-01,1339,4
2021-06-02,1343,3
2021-06-03,1351,5
2021-06-04,1355,4
2021-06-05,1364,4
2021-06-06,1366,1
2021-06-07,1373,2
2021-06-08,1378,1
2021-06-09,1378,1
2021-06-10,1381,3
2021-06-11,1382,1
2021-06-12,1383,1
2021-06-13,1384,0
2021-06-14,1387,0
2021-06-15,1390,3
2021-06-16,1389,0
2021-06-17,1390,1
2021-06-18,1396,2
2021-06-19,1397,1
2021-06-20,1400,3
2021-06-21,1406,3
2021-06-22,1409,1
2021-06-23,1412,0
2021-06-24,1414,0
2021-06-25,1415,0
2021-06-26,1416,0
2021-06-27,1418,0
2021-06-28,1418,0
2021-06-29,1418,1
2021-06-30,1422,1
2021-07-01,1425,0
2021-07-02,1428,3
2021-07-03,1428,0
2021-07-04,1430,1
2021-07-05,1434,4
2021-07-06,1436,2
2021-07-07,1436,1
2021-07-08,1435,0
2021-07-09,1442,4
2021-07-10,1443,1
2021-07-11,1445,0
2021-07-12,1445,0
2021-07-13,1446,1
2021-07-14,1446,0
2021-07-15,1448,1
2021-07-16,1448,0
2021-07-17,1452,0
2021-07-18,1455,1
2021-07-19,1458,2
2021-07-20,1457,0
2021-07-21,1459,2
2021-07-22,1458,0
2021-07-23,1458,0
2021-07-24,1459,1
2021-07-25,1461,1
2021-07-26,1461,0
2021-07-27,1460,0
2021-07-28,1461,0
2021-07-29,1463,0
2021-07-30,1464,1
2021-07-31,1464,0
2021-08-01,1466,1
2021-08-02,1466,0
2021-08-03,1468,1
2021-08-04,1468,0
2021-08-05,1468,0
2021-08-06,1469,1
2021-08-07,1470,0
2021-08-08,1471,1
2021-08-09,1472,1
2021-08-10,1472,0
2021-08-11,1473,0
2021-08-12,1473,0
2021-08-13,1473,0
2021-08-14,1474,1
2021-08-15,1474,0
2021-08-16,1475,1
2021-08-17,1475,0
2021-08-18,1476,1
2021-08-19,1477,1
2021-08-20,1478,0
2021-08-21,1478,0
2021-08-22,1478,0
2021-08-23,1479,0
2021-08-24,1480,1
2021-08-25,1480,0
2021-08-26,1479,0
2021-08-27,1480,1
2021-08-28,1481,0
2021-08-29,1481,0
2021-08-30,1481,0
2021-08-31,1482,0
2021-09-01,1483,0
2021-09-02,1484,1
2021-09-03,1484,0
2021-09-04,1484,0
2021-09-05,1484,0
2021-09-06,1485,0
2021-09-07,1485,0
2021-09-08,1485,0
2021-09-09,1485,0
2021-09-10,1487,1
2021-09-11,1488,0
2021-09-12,1491,1
2021-09-13,1492,1
2021-09-14,1492,0
2021-09-15,1493,1
2021-09-16,1494,0
2021-09-17,1494,1
2021-09-18,1494,0
2021-09-19,1495,1
2021-09-20,1496,0
2021-09-21,1497,1
2021-09-22,1499,1
2021-09-23,1500,1
2021-09-24,1500,0
2021-09-25,1500,0
2021-09-26,1500,0
2021-09-27,1501,1
2021-09-28,1501,0
2021-09-29,1501,0
2021-09-30,1501,0
2021-10-01,1501,0
2021-10-02,1501,0
2021-10-03,1501,0
2021-10-04,1501,0
2021-10-05,1501,0
2021-10-06,1501,0
2021-10-07,1501,0
2021-10-08,1502,1
2021-10-09,1503,1
2021-10-10,1504,0
2021-10-11,1504,0
2021-10-12,1504,0
2021-10-13,1504,0
2021-10-14,1505,0
2021-10-15,1505,0
2021-10-16,1505,0
2021-10-17,1505,0
2021-10-18,1506,0
2021-10-19,1506,0
2021-10-20,1506,0
2021-10-21,1506,0
