Dia,Muertes_Totales,Muertes_Dia
2021-09-01,9599,1
2021-09-02,9600,1
2021-09-03,9600,2
2021-09-04,9604,1
2021-09-05,9606,0
2021-09-06,9611,0
2021-09-07,9613,2
2021-09-08,9610,1
2021-09-09,9610,1
2021-09-10,9616,0
2021-09-11,9620,2
2021-09-12,9623,1
2021-09-13,9625,0
2021-09-14,9622,1
2021-09-15,9625,1
2021-09-16,9625,1
2021-09-17,9628,1
2021-09-18,9630,0
2021-09-19,9632,1
2021-09-20,9632,2
2021-09-21,9634,1
2021-09-22,9636,0
2021-09-23,9638,1
2021-09-24,9639,0
2021-09-25,9640,1
2021-09-26,9644,3
2021-09-27,9641,0
2021-09-28,9644,1
2021-09-29,9650,1
2021-09-30,9652,2
2021-10-01,9656,1
2021-10-02,9660,1
2021-10-03,9662,0
2021-10-04,9661,0
2021-10-05,9662,1
2021-10-06,9664,0
2021-10-07,9663,0
2021-10-08,9665,1
2021-10-09,9665,0
2021-10-10,9666,0
2021-10-11,9666,0
2021-10-12,9667,0
