Dia,Muertes_Totales,Muertes_Dia
2021-06-25,1966,1
2021-06-26,1970,2
2021-06-27,1978,4
2021-06-28,1978,4
2021-06-29,1985,3
2021-06-30,1993,5
2021-07-01,1999,4
2021-07-02,1998,1
2021-07-03,1998,0
2021-07-04,2003,2
2021-07-05,2006,2
2021-07-06,2007,1
2021-07-07,2009,1
2021-07-08,2011,1
2021-07-09,2010,0
2021-07-10,2012,1
2021-07-11,2014,2
2021-07-12,2015,0
2021-07-13,2022,2
2021-07-14,2018,0
2021-07-15,2021,2
2021-07-16,2023,1
2021-07-17,2023,0
2021-07-18,2025,2
2021-07-19,2027,0
2021-07-20,2029,2
2021-07-21,2033,0
2021-07-22,2039,3
2021-07-23,2038,0
2021-07-24,2042,2
2021-07-25,2043,0
2021-07-26,2043,0
2021-07-27,2046,1
2021-07-28,2047,1
2021-07-29,2050,0
2021-07-30,2052,1
2021-07-31,2051,1
2021-08-01,2051,0
2021-08-02,2054,2
2021-08-03,2055,1
2021-08-04,2059,2
2021-08-05,2057,0
2021-08-06,2058,0
2021-08-07,2061,1
2021-08-08,2062,1
2021-08-09,2062,1
2021-08-10,2062,0
2021-08-11,2065,2
2021-08-12,2064,0
2021-08-13,2065,0
2021-08-14,2068,1
2021-08-15,2067,0
2021-08-16,2069,1
2021-08-17,2068,0
2021-08-18,2071,1
2021-08-19,2071,0
2021-08-20,2071,0
2021-08-21,2072,0
2021-08-22,2072,0
2021-08-23,2073,0
2021-08-24,2076,1
2021-08-25,2077,0
2021-08-26,2076,0
2021-08-27,2080,1
2021-08-28,2081,1
2021-08-29,2081,0
2021-08-30,2080,0
2021-08-31,2083,1
2021-09-01,2083,0
2021-09-02,2085,1
2021-09-03,2085,0
2021-09-04,2086,0
2021-09-05,2085,0
2021-09-06,2085,0
2021-09-07,2085,0
2021-09-08,2085,0
2021-09-09,2085,0
2021-09-10,2085,0
2021-09-11,2085,0
2021-09-12,2087,0
2021-09-13,2087,0
2021-09-14,2087,0
2021-09-15,2090,1
2021-09-16,2092,0
2021-09-17,2093,0
2021-09-18,2094,1
2021-09-19,2094,0
2021-09-20,2096,0
2021-09-21,2096,0
2021-09-22,2095,0
2021-09-23,2096,0
2021-09-24,2096,0
2021-09-25,2096,0
2021-09-26,2096,0
2021-09-27,2095,0
2021-09-28,2095,0
2021-09-29,2097,1
2021-09-30,2097,0
2021-10-01,2098,1
2021-10-02,2100,1
2021-10-03,2099,0
2021-10-04,2102,1
2021-10-05,2103,0
2021-10-06,2103,1
2021-10-07,2104,0
2021-10-08,2105,1
2021-10-09,2105,0
2021-10-10,2105,0
2021-10-11,2105,0
2021-10-12,2105,1
