Dia,Muertes_Totales,Muertes_Dia
2021-08-19,4060,1
2021-08-20,4061,1
2021-08-21,4063,0
2021-08-22,4065,2
2021-08-23,4067,0
2021-08-24,4071,3
2021-08-25,4070,0
2021-08-26,4071,1
2021-08-27,4075,0
2021-08-28,4077,0
2021-08-29,4076,0
2021-08-30,4080,1
2021-08-31,4081,0
2021-09-01,4083,1
2021-09-02,4084,1
2021-09-03,4083,0
2021-09-04,4084,0
2021-09-05,4084,0
2021-09-06,4089,1
2021-09-07,4090,1
2021-09-08,4091,0
2021-09-09,4091,0
2021-09-10,4092,1
2021-09-11,4092,0
2021-09-12,4095,0
2021-09-13,4094,0
2021-09-14,4093,0
2021-09-15,4096,0
2021-09-16,4098,0
2021-09-17,4095,0
2021-09-18,4095,1
2021-09-19,4096,1
2021-09-20,4100,1
2021-09-21,4101,0
2021-09-22,4104,1
2021-09-23,4104,1
2021-09-24,4105,1
2021-09-25,4106,0
2021-09-26,4107,1
2021-09-27,4110,0
2021-09-28,4111,0
2021-09-29,4111,0
2021-09-30,4112,0
2021-10-01,4113,0
2021-10-02,4118,1
2021-10-03,4114,0
2021-10-04,4115,0
2021-10-05,4120,1
2021-10-06,4118,0
2021-10-07,4120,0
2021-10-08,4120,0
2021-10-09,4123,1
2021-10-10,4122,0
2021-10-11,4125,3
2021-10-12,4124,1
