Dia,Muertes_Totales,Muertes_Dia
2021-06-07,9591,4
2021-06-08,9603,2
2021-06-09,9617,11
2021-06-10,9627,7
2021-06-11,9636,2
2021-06-12,9641,4
2021-06-13,9645,5
2021-06-14,9659,5
2021-06-15,9669,6
2021-06-16,9666,0
2021-06-17,9674,2
2021-06-18,9677,3
2021-06-19,9681,4
2021-06-20,9686,4
2021-06-21,9690,4
2021-06-22,9695,2
2021-06-23,9693,2
2021-06-24,9700,1
2021-06-25,9712,5
2021-06-26,9718,2
2021-06-27,9726,0
2021-06-28,9726,0
2021-06-29,9729,2
2021-06-30,9734,3
2021-07-01,9735,2
2021-07-02,9741,1
2021-07-03,9742,2
2021-07-04,9743,1
2021-07-05,9751,2
2021-07-06,9754,1
2021-07-07,9754,1
2021-07-08,9759,2
2021-07-09,9768,3
2021-07-10,9775,5
2021-07-11,9777,2
2021-07-12,9785,2
2021-07-13,9789,1
2021-07-14,9792,2
2021-07-15,9796,0
2021-07-16,9805,2
2021-07-17,9811,1
2021-07-18,9809,1
2021-07-19,9808,1
2021-07-20,9816,1
2021-07-21,9815,2
2021-07-22,9818,2
2021-07-23,9824,1
2021-07-24,9826,1
2021-07-25,9830,2
2021-07-26,9829,0
2021-07-27,9824,0
2021-07-28,9825,0
2021-07-29,9834,2
2021-07-30,9829,0
2021-07-31,9838,2
2021-08-01,9838,0
2021-08-02,9843,2
2021-08-03,9846,3
2021-08-04,9848,2
2021-08-05,9851,0
2021-08-06,9851,0
2021-08-07,9854,1
2021-08-08,9852,0
2021-08-09,9856,1
2021-08-10,9860,2
2021-08-11,9861,2
2021-08-12,9862,0
2021-08-13,9862,0
2021-08-14,9863,0
2021-08-15,9868,3
2021-08-16,9871,1
2021-08-17,9872,2
2021-08-18,9877,2
2021-08-19,9877,1
2021-08-20,9896,3
2021-08-21,9897,0
2021-08-22,9898,1
2021-08-23,9898,0
2021-08-24,9904,0
2021-08-25,9901,1
2021-08-26,9905,0
2021-08-27,9903,0
2021-08-28,9904,0
2021-08-29,9908,2
2021-08-30,9907,0
2021-08-31,9907,0
2021-09-01,9907,0
2021-09-02,9909,0
2021-09-03,9908,0
2021-09-04,9909,0
2021-09-05,9911,1
2021-09-06,9911,0
2021-09-07,9911,0
2021-09-08,9910,0
2021-09-09,9910,0
2021-09-10,9914,1
2021-09-11,9915,0
2021-09-12,9917,0
2021-09-13,9922,0
2021-09-14,9922,0
2021-09-15,9923,1
2021-09-16,9926,2
2021-09-17,9927,0
2021-09-18,9928,1
2021-09-19,9931,3
2021-09-20,9930,2
2021-09-21,9933,0
2021-09-22,9939,1
2021-09-23,9936,2
2021-09-24,9937,1
2021-09-25,9940,0
2021-09-26,9943,0
2021-09-27,9944,0
2021-09-28,9945,0
2021-09-29,9945,0
2021-09-30,9944,0
2021-10-01,9942,1
2021-10-02,9944,0
2021-10-03,9946,0
2021-10-04,9947,0
2021-10-05,9948,1
2021-10-06,9951,2
2021-10-07,9952,0
2021-10-08,9954,2
2021-10-09,9957,2
2021-10-10,9958,2
2021-10-11,9958,0
2021-10-12,9967,1
