Dia,Muertes_Totales,Muertes_Dia
2021-09-01,4703,0
2021-09-02,4705,0
2021-09-03,4705,2
2021-09-04,4707,1
2021-09-05,4708,0
2021-09-06,4712,0
2021-09-07,4714,2
2021-09-08,4715,1
2021-09-09,4715,1
2021-09-10,4720,0
2021-09-11,4722,0
2021-09-12,4723,0
2021-09-13,4727,1
2021-09-14,4727,1
2021-09-15,4729,0
2021-09-16,4731,0
2021-09-17,4735,2
2021-09-18,4737,1
2021-09-19,4738,0
2021-09-20,4739,0
2021-09-21,4741,0
2021-09-22,4744,1
2021-09-23,4743,0
2021-09-24,4745,0
2021-09-25,4745,0
2021-09-26,4746,0
2021-09-27,4748,1
2021-09-28,4750,1
2021-09-29,4752,1
2021-09-30,4750,0
2021-10-01,4754,1
2021-10-02,4755,1
2021-10-03,4757,2
2021-10-04,4757,1
2021-10-05,4760,0
2021-10-06,4759,0
2021-10-07,4760,1
2021-10-08,4760,0
2021-10-09,4763,1
2021-10-10,4764,0
2021-10-11,4764,0
