Dia,Muertes_Totales,Muertes_Dia
2021-08-10,2659,1
2021-08-11,2659,1
2021-08-12,2658,1
2021-08-13,2660,1
2021-08-14,2663,0
2021-08-15,2664,0
2021-08-16,2665,0
2021-08-17,2668,1
2021-08-18,2669,1
2021-08-19,2669,0
2021-08-20,2669,1
2021-08-21,2670,1
2021-08-22,2670,0
2021-08-23,2670,0
2021-08-24,2673,1
2021-08-25,2672,0
2021-08-26,2671,0
2021-08-27,2671,0
2021-08-28,2671,0
2021-08-29,2673,1
2021-08-30,2673,1
2021-08-31,2674,0
2021-09-01,2674,0
2021-09-02,2674,1
2021-09-03,2676,0
2021-09-04,2676,0
2021-09-05,2677,0
2021-09-06,2675,0
2021-09-07,2675,0
2021-09-08,2676,0
2021-09-09,2676,0
2021-09-10,2680,0
2021-09-11,2679,0
2021-09-12,2681,1
2021-09-13,2681,0
2021-09-14,2682,0
2021-09-15,2682,1
2021-09-16,2685,1
2021-09-17,2686,0
2021-09-18,2684,0
2021-09-19,2684,0
2021-09-20,2686,0
2021-09-21,2687,0
2021-09-22,2687,0
2021-09-23,2687,0
2021-09-24,2687,0
2021-09-25,2689,1
2021-09-26,2691,0
2021-09-27,2689,0
2021-09-28,2689,0
2021-09-29,2690,0
2021-09-30,2689,0
2021-10-01,2690,0
2021-10-02,2689,0
2021-10-03,2690,0
2021-10-04,2689,0
2021-10-05,2691,1
2021-10-06,2692,0
2021-10-07,2691,0
2021-10-08,2691,0
2021-10-09,2693,0
2021-10-10,2691,0
2021-10-11,2691,0
2021-10-12,2692,0
