Dia,Muertes_Totales,Muertes_Dia
2021-05-31,7585,12
2021-06-01,7604,12
2021-06-02,7616,7
2021-06-03,7646,14
2021-06-04,7661,7
2021-06-05,7676,7
2021-06-06,7690,8
2021-06-07,7697,5
2021-06-08,7717,5
2021-06-09,7729,6
2021-06-10,7739,8
2021-06-11,7756,13
2021-06-12,7768,6
2021-06-13,7781,7
2021-06-14,7793,2
2021-06-15,7807,10
2021-06-16,7821,11
2021-06-17,7831,5
2021-06-18,7852,12
2021-06-19,7862,6
2021-06-20,7876,6
2021-06-21,7887,6
2021-06-22,7899,8
2021-06-23,7900,4
2021-06-24,7906,6
2021-06-25,7914,3
2021-06-26,7925,7
2021-06-27,7934,2
2021-06-28,7934,2
2021-06-29,7958,0
2021-06-30,7972,5
2021-07-01,7978,4
2021-07-02,7983,3
2021-07-03,7985,2
2021-07-04,7986,1
2021-07-05,7995,4
2021-07-06,8003,4
2021-07-07,8016,5
2021-07-08,8024,6
2021-07-09,8030,3
2021-07-10,8034,1
2021-07-11,8038,3
2021-07-12,8053,7
2021-07-13,8060,4
2021-07-14,8061,2
2021-07-15,8065,3
2021-07-16,8084,3
2021-07-17,8090,4
2021-07-18,8094,0
2021-07-19,8106,2
2021-07-20,8115,4
2021-07-21,8120,2
2021-07-22,8127,3
2021-07-23,8132,2
2021-07-24,8136,1
2021-07-25,8138,1
2021-07-26,8141,0
2021-07-27,8154,4
2021-07-28,8156,0
2021-07-29,8157,0
2021-07-30,8160,0
2021-07-31,8169,1
2021-08-01,8175,1
2021-08-02,8176,0
2021-08-03,8179,0
2021-08-04,8185,2
2021-08-05,8189,2
2021-08-06,8191,0
2021-08-07,8196,4
2021-08-08,8204,4
2021-08-09,8204,3
2021-08-10,8210,3
2021-08-11,8215,2
2021-08-12,8222,0
2021-08-13,8226,3
2021-08-14,8226,1
2021-08-15,8228,1
2021-08-16,8231,1
2021-08-17,8250,1
2021-08-18,8249,2
2021-08-19,8251,0
2021-08-20,8259,4
2021-08-21,8262,4
2021-08-22,8265,3
2021-08-23,8265,1
2021-08-24,8268,0
2021-08-25,8271,1
2021-08-26,8271,0
2021-08-27,8272,0
2021-08-28,8273,0
2021-08-29,8279,3
2021-08-30,8281,2
2021-08-31,8282,1
2021-09-01,8284,1
2021-09-02,8289,3
2021-09-03,8289,0
2021-09-04,8292,1
2021-09-05,8293,0
2021-09-06,8293,0
2021-09-07,8295,2
2021-09-08,8298,2
2021-09-09,8298,2
2021-09-10,8303,0
2021-09-11,8307,1
2021-09-12,8308,1
2021-09-13,8309,0
2021-09-14,8308,0
2021-09-15,8308,1
2021-09-16,8311,0
2021-09-17,8312,0
2021-09-18,8313,0
2021-09-19,8313,0
2021-09-20,8310,0
2021-09-21,8311,0
2021-09-22,8313,1
2021-09-23,8318,2
2021-09-24,8322,3
2021-09-25,8323,0
2021-09-26,8325,1
2021-09-27,8325,0
2021-09-28,8327,1
2021-09-29,8327,1
2021-09-30,8328,0
2021-10-01,8328,0
2021-10-02,8329,1
2021-10-03,8332,0
2021-10-04,8336,4
2021-10-05,8336,1
2021-10-06,8338,1
2021-10-07,8340,3
2021-10-08,8341,0
2021-10-09,8340,0
2021-10-10,8342,0
2021-10-11,8343,0
2021-10-12,8343,1
2021-10-13,8343,1
2021-10-14,8348,0
2021-10-15,8351,1
2021-10-16,8350,0
2021-10-17,8350,0
2021-10-18,8353,1
2021-10-19,8354,2
2021-10-20,8358,3
2021-10-21,8358,0
2021-10-22,8358,0
2021-10-23,8359,1
2021-10-24,8362,0
2021-10-25,8362,1
2021-10-26,8363,0
2021-10-27,8363,1
2021-10-28,8366,1
2021-10-29,8368,1
2021-10-30,8367,0
2021-10-31,8369,0
2021-11-01,8370,0
2021-11-02,8370,1
2021-11-03,8369,0
2021-11-04,8370,1
2021-11-05,8374,2
2021-11-06,8374,0
2021-11-07,8379,2
2021-11-08,8383,1
2021-11-09,8386,2
2021-11-10,8385,2
2021-11-11,8386,0
2021-11-12,8388,1
2021-11-13,8389,1
2021-11-14,8389,1
2021-11-15,8388,0
2021-11-16,8391,1
2021-11-17,8394,1
2021-11-18,8394,1
2021-11-19,8395,0
2021-11-20,8395,0
2021-11-21,8397,0
2021-11-22,8397,0
2021-11-23,8546,1
2021-11-24,8551,2
2021-11-25,8555,3
2021-11-26,8553,0
