Dia,Muertes_Totales,Muertes_Dia
2021-09-01,6943,0
2021-09-02,6944,1
2021-09-03,6948,0
2021-09-04,6948,0
2021-09-05,6950,1
2021-09-06,6952,0
2021-09-07,6954,2
2021-09-08,6954,1
2021-09-09,6954,1
2021-09-10,6956,0
2021-09-11,6958,0
2021-09-12,6958,2
2021-09-13,6960,0
2021-09-14,6962,1
2021-09-15,6963,0
2021-09-16,6964,0
2021-09-17,6964,0
2021-09-18,6966,1
2021-09-19,6967,1
2021-09-20,6972,1
2021-09-21,6972,0
2021-09-22,6969,0
2021-09-23,6973,1
2021-09-24,6976,0
2021-09-25,6977,1
2021-09-26,6976,3
2021-09-27,6979,0
2021-09-28,6984,5
2021-09-29,6984,0
2021-09-30,6985,0
2021-10-01,6989,1
2021-10-02,6989,1
2021-10-03,6990,0
2021-10-04,6993,0
2021-10-05,6991,0
2021-10-06,6992,0
2021-10-07,6996,2
2021-10-08,6998,2
2021-10-09,7001,1
