Dia,Muertes_Totales,Muertes_Dia
2021-06-23,8104,4
2021-06-24,8115,6
2021-06-25,8125,5
2021-06-26,8135,4
2021-06-27,8142,1
2021-06-28,8142,1
2021-06-29,8158,0
2021-06-30,8172,5
2021-07-01,8182,2
2021-07-02,8190,4
2021-07-03,8200,1
2021-07-04,8205,3
2021-07-05,8234,3
2021-07-06,8242,2
2021-07-07,8260,4
2021-07-08,8280,3
2021-07-09,8304,7
2021-07-10,8309,5
2021-07-11,8312,2
2021-07-12,8318,1
2021-07-13,8327,1
2021-07-14,8331,1
2021-07-15,8345,1
2021-07-16,8355,1
2021-07-17,8370,2
2021-07-18,8373,3
2021-07-19,8379,1
2021-07-20,8391,1
2021-07-21,8417,1
2021-07-22,8451,2
2021-07-23,8453,2
2021-07-24,8458,3
2021-07-25,8459,2
2021-07-26,8462,1
2021-07-27,8466,1
2021-07-28,8470,0
2021-07-29,8473,3
2021-07-30,8474,0
2021-07-31,8479,2
2021-08-01,8491,0
2021-08-02,8492,2
2021-08-03,8494,1
2021-08-04,8496,0
2021-08-05,8500,0
2021-08-06,8502,1
2021-08-07,8507,1
2021-08-08,8515,2
2021-08-09,8517,2
2021-08-10,8518,0
2021-08-11,8518,1
2021-08-12,8528,0
2021-08-13,8530,0
2021-08-14,8532,1
2021-08-15,8533,1
2021-08-16,8535,0
2021-08-17,8539,0
2021-08-18,8539,1
2021-08-19,8540,0
2021-08-20,8541,2
2021-08-21,8547,3
2021-08-22,8547,0
2021-08-23,8548,0
2021-08-24,8549,1
2021-08-25,8549,0
2021-08-26,8554,2
2021-08-27,8554,0
2021-08-28,8555,1
2021-08-29,8557,1
2021-08-30,8556,0
2021-08-31,8557,1
2021-09-01,8557,0
2021-09-02,8558,0
2021-09-03,8560,1
2021-09-04,8563,3
2021-09-05,8563,0
2021-09-06,8565,1
2021-09-07,8565,0
2021-09-08,8566,0
2021-09-09,8566,0
2021-09-10,8571,1
2021-09-11,8573,1
2021-09-12,8573,0
2021-09-13,8573,0
2021-09-14,8575,1
2021-09-15,8576,0
2021-09-16,8577,2
2021-09-17,8577,0
2021-09-18,8580,2
2021-09-19,8580,0
2021-09-20,8579,0
2021-09-21,8579,0
2021-09-22,8583,2
2021-09-23,8583,0
2021-09-24,8583,0
2021-09-25,8584,1
2021-09-26,8584,0
2021-09-27,8584,0
2021-09-28,8585,0
2021-09-29,8586,0
2021-09-30,8586,0
2021-10-01,8586,0
2021-10-02,8586,0
2021-10-03,8588,1
2021-10-04,8591,0
2021-10-05,8593,2
2021-10-06,8594,0
2021-10-07,8593,0
2021-10-08,8593,0
2021-10-09,8595,1
2021-10-10,8598,2
2021-10-11,8599,1
2021-10-12,8599,0
