Dia,Muertes_Totales,Muertes_Dia
2021-08-13,7080,0
2021-08-14,7084,2
2021-08-15,7088,2
2021-08-16,7090,0
2021-08-17,7093,1
2021-08-18,7096,1
2021-08-19,7096,1
2021-08-20,7102,2
2021-08-21,7106,3
2021-08-22,7107,1
2021-08-23,7107,0
2021-08-24,7109,1
2021-08-25,7109,0
2021-08-26,7114,1
2021-08-27,7113,1
2021-08-28,7116,2
2021-08-29,7119,1
2021-08-30,7120,0
2021-08-31,7120,1
2021-09-01,7123,1
2021-09-02,7129,1
2021-09-03,7129,0
2021-09-04,7129,0
2021-09-05,7126,0
2021-09-06,7129,0
2021-09-07,7129,0
2021-09-08,7127,0
2021-09-09,7127,0
2021-09-10,7131,0
2021-09-11,7131,0
2021-09-12,7130,0
2021-09-13,7131,0
2021-09-14,7131,0
2021-09-15,7132,0
2021-09-16,7135,1
2021-09-17,7136,2
2021-09-18,7138,0
2021-09-19,7138,0
2021-09-20,7137,1
2021-09-21,7137,0
2021-09-22,7138,2
2021-09-23,7139,0
2021-09-24,7140,1
2021-09-25,7141,0
2021-09-26,7142,0
2021-09-27,7142,0
2021-09-28,7143,1
2021-09-29,7145,0
2021-09-30,7146,0
2021-10-01,7146,0
2021-10-02,7147,0
2021-10-03,7148,0
2021-10-04,7149,0
2021-10-05,7152,1
2021-10-06,7155,0
2021-10-07,7152,0
2021-10-08,7153,0
2021-10-09,7155,0
2021-10-10,7155,0
2021-10-11,7155,0
2021-10-12,7156,0
