Dia,Muertes_Totales,Muertes_Dia
2021-07-30,4131,2
2021-07-31,4133,1
2021-08-01,4133,0
2021-08-02,4134,0
2021-08-03,4136,1
2021-08-04,4137,1
2021-08-05,4138,0
2021-08-06,4138,0
2021-08-07,4140,1
2021-08-08,4144,0
2021-08-09,4141,1
2021-08-10,4142,0
2021-08-11,4144,1
2021-08-12,4144,2
2021-08-13,4148,0
2021-08-14,4150,0
2021-08-15,4147,0
2021-08-16,4149,0
2021-08-17,4150,1
2021-08-18,4150,1
2021-08-19,4154,1
2021-08-20,4153,0
2021-08-21,4153,0
2021-08-22,4154,1
2021-08-23,4154,0
2021-08-24,4157,1
2021-08-25,4159,0
2021-08-26,4160,0
2021-08-27,4160,1
2021-08-28,4160,0
2021-08-29,4158,0
2021-08-30,4160,0
2021-08-31,4160,0
2021-09-01,4160,0
2021-09-02,4163,2
2021-09-03,4165,0
2021-09-04,4165,0
2021-09-05,4164,0
2021-09-06,4165,0
2021-09-07,4165,0
2021-09-08,4164,0
2021-09-09,4164,0
2021-09-10,4164,0
2021-09-11,4167,1
2021-09-12,4167,0
2021-09-13,4167,0
2021-09-14,4166,1
2021-09-15,4168,0
2021-09-16,4168,0
2021-09-17,4169,0
2021-09-18,4168,1
2021-09-19,4168,0
2021-09-20,4169,0
2021-09-21,4169,0
2021-09-22,4168,0
2021-09-23,4170,0
2021-09-24,4171,1
2021-09-25,4171,0
2021-09-26,4171,0
2021-09-27,4169,0
2021-09-28,4169,0
2021-09-29,4171,1
2021-09-30,4170,0
2021-10-01,4173,1
2021-10-02,4173,0
2021-10-03,4172,0
2021-10-04,4174,0
2021-10-05,4175,0
2021-10-06,4173,0
2021-10-07,4172,0
2021-10-08,4172,0
2021-10-09,4173,0
2021-10-10,4174,0
2021-10-11,4174,0
2021-10-12,4174,0
