Dia,Muertes_Totales,Muertes_Dia
2021-09-01,761,0
2021-09-02,761,0
2021-09-03,761,0
2021-09-04,761,0
2021-09-05,761,0
2021-09-06,762,0
2021-09-07,763,1
2021-09-08,763,0
2021-09-09,763,0
2021-09-10,764,0
2021-09-11,765,0
2021-09-12,764,0
2021-09-13,764,0
2021-09-14,764,0
2021-09-15,764,0
2021-09-16,764,0
2021-09-17,765,0
2021-09-18,765,1
2021-09-19,765,0
2021-09-20,765,0
2021-09-21,767,1
2021-09-22,767,0
2021-09-23,767,0
2021-09-24,768,1
2021-09-25,768,0
2021-09-26,768,0
2021-09-27,768,0
2021-09-28,768,0
2021-09-29,768,0
2021-09-30,768,0
2021-10-01,768,0
2021-10-02,768,0
2021-10-03,768,0
2021-10-04,768,0
2021-10-05,768,0
