Dia,Muertes_Totales,Muertes_Dia
2021-07-12,1435,0
2021-07-13,1436,2
2021-07-14,1441,2
2021-07-15,1441,0
2021-07-16,1443,1
2021-07-17,1444,0
2021-07-18,1445,1
2021-07-19,1446,1
2021-07-20,1448,1
2021-07-21,1448,0
2021-07-22,1450,1
2021-07-23,1452,2
2021-07-24,1454,2
2021-07-25,1455,1
2021-07-26,1459,3
2021-07-27,1459,0
2021-07-28,1463,2
2021-07-29,1465,2
2021-07-30,1467,1
2021-07-31,1467,1
2021-08-01,1469,2
2021-08-02,1468,0
2021-08-03,1468,0
2021-08-04,1468,0
2021-08-05,1470,0
2021-08-06,1472,2
2021-08-07,1472,0
2021-08-08,1474,3
2021-08-09,1479,4
2021-08-10,1479,1
2021-08-11,1481,1
2021-08-12,1482,1
2021-08-13,1483,1
2021-08-14,1482,0
2021-08-15,1483,0
2021-08-16,1483,1
2021-08-17,1483,0
2021-08-18,1485,2
2021-08-19,1487,1
2021-08-20,1487,1
2021-08-21,1490,1
2021-08-22,1491,1
2021-08-23,1494,2
2021-08-24,1493,0
2021-08-25,1492,0
2021-08-26,1493,1
2021-08-27,1494,0
2021-08-28,1494,0
2021-08-29,1495,0
2021-08-30,1498,2
2021-08-31,1498,1
2021-09-01,1498,0
2021-09-02,1497,0
2021-09-03,1498,0
2021-09-04,1498,0
2021-09-05,1499,0
2021-09-06,1500,1
2021-09-07,1501,1
2021-09-08,1501,0
2021-09-09,1501,0
2021-09-10,1503,0
2021-09-11,1505,1
2021-09-12,1506,0
2021-09-13,1505,0
2021-09-14,1505,0
2021-09-15,1506,0
2021-09-16,1506,0
2021-09-17,1505,0
2021-09-18,1505,0
2021-09-19,1505,0
2021-09-20,1505,0
2021-09-21,1506,1
2021-09-22,1507,1
2021-09-23,1508,0
2021-09-24,1508,0
2021-09-25,1510,1
2021-09-26,1511,0
2021-09-27,1510,0
2021-09-28,1510,0
2021-09-29,1511,0
2021-09-30,1510,0
2021-10-01,1512,1
2021-10-02,1512,0
2021-10-03,1513,0
2021-10-04,1512,0
2021-10-05,1514,1
2021-10-06,1514,0
2021-10-07,1514,0
2021-10-08,1514,0
2021-10-09,1514,0
2021-10-10,1514,0
2021-10-11,1514,0
2021-10-12,1514,0
