Dia,Muertes_Totales,Muertes_Dia
2021-05-31,11125,11
2021-06-01,11144,5
2021-06-02,11170,8
2021-06-03,11202,17
2021-06-04,11221,13
2021-06-05,11252,14
2021-06-06,11264,7
2021-06-07,11292,11
2021-06-08,11301,3
2021-06-09,11328,15
2021-06-10,11338,9
2021-06-11,11356,7
2021-06-12,11365,7
2021-06-13,11373,3
2021-06-14,11394,8
2021-06-15,11412,10
2021-06-16,11422,6
2021-06-17,11436,4
2021-06-18,11456,9
2021-06-19,11467,9
2021-06-20,11471,2
2021-06-21,11485,9
2021-06-22,11493,4
2021-06-23,11507,7
2021-06-24,11512,5
2021-06-25,11523,3
2021-06-26,11541,10
2021-06-27,11549,3
2021-06-28,11549,3
2021-06-29,11555,0
2021-06-30,11565,5
2021-07-01,11577,4
2021-07-02,11580,0
2021-07-03,11583,2
2021-07-04,11591,3
2021-07-05,11602,4
2021-07-06,11610,5
2021-07-07,11617,3
2021-07-08,11622,1
2021-07-09,11623,1
2021-07-10,11631,8
2021-07-11,11633,1
2021-07-12,11640,4
2021-07-13,11649,4
2021-07-14,11654,3
2021-07-15,11657,0
2021-07-16,11665,3
2021-07-17,11668,2
2021-07-18,11672,0
2021-07-19,11675,5
2021-07-20,11678,1
2021-07-21,11684,3
2021-07-22,11690,2
2021-07-23,11694,1
2021-07-24,11698,3
2021-07-25,11699,0
2021-07-26,11703,2
2021-07-27,11710,2
2021-07-28,11714,0
2021-07-29,11719,4
2021-07-30,11725,2
2021-07-31,11737,7
2021-08-01,11741,2
2021-08-02,11744,3
2021-08-03,11751,1
2021-08-04,11763,7
2021-08-05,11768,3
2021-08-06,11773,2
2021-08-07,11776,1
2021-08-08,11779,4
2021-08-09,11787,5
2021-08-10,11791,4
2021-08-11,11789,0
2021-08-12,11793,1
2021-08-13,11794,2
2021-08-14,11799,2
2021-08-15,11807,3
2021-08-16,11807,0
2021-08-17,11819,2
2021-08-18,11824,3
2021-08-19,11825,1
2021-08-20,11825,0
2021-08-21,11827,2
2021-08-22,11832,4
2021-08-23,11832,0
2021-08-24,11841,3
2021-08-25,11838,0
2021-08-26,11839,0
2021-08-27,11845,1
2021-08-28,11852,3
2021-08-29,11854,2
2021-08-30,11853,0
2021-08-31,11857,1
2021-09-01,11864,4
2021-09-02,11870,2
2021-09-03,11867,0
2021-09-04,11870,1
2021-09-05,11874,1
2021-09-06,11878,1
2021-09-07,11882,3
2021-09-08,11884,0
2021-09-09,11884,0
2021-09-10,11886,1
2021-09-11,11888,3
2021-09-12,11886,0
2021-09-13,11891,0
2021-09-14,11893,2
2021-09-15,11897,2
2021-09-16,11902,1
2021-09-17,11903,0
2021-09-18,11905,2
2021-09-19,11907,1
2021-09-20,11909,2
2021-09-21,11913,1
2021-09-22,11916,1
2021-09-23,11920,0
2021-09-24,11920,0
2021-09-25,11921,1
2021-09-26,11923,0
2021-09-27,11925,3
2021-09-28,11928,0
2021-09-29,11933,3
2021-09-30,11937,1
2021-10-01,11941,3
2021-10-02,11943,2
2021-10-03,11943,0
2021-10-04,11944,0
2021-10-05,11944,1
2021-10-06,11946,0
2021-10-07,11950,4
2021-10-08,11951,1
2021-10-09,11954,0
2021-10-10,11956,1
2021-10-11,11957,0
2021-10-12,11957,0
2021-10-13,11957,0
2021-10-14,11961,0
2021-10-15,11962,1
2021-10-16,11962,1
2021-10-17,11966,1
2021-10-18,11972,2
2021-10-19,11977,1
2021-10-20,11977,1
2021-10-21,11978,1
2021-10-22,11979,0
2021-10-23,11982,0
2021-10-24,11984,1
2021-10-25,11989,3
2021-10-26,11990,0
2021-10-27,11993,2
2021-10-28,11993,0
2021-10-29,11997,0
2021-10-30,11996,1
2021-10-31,11999,0
2021-11-01,12001,1
2021-11-02,12006,1
2021-11-03,12009,3
2021-11-04,12011,3
2021-11-05,12014,0
2021-11-06,12018,0
2021-11-07,12022,2
