Dia,Muertes_Totales,Muertes_Dia
2021-07-04,3767,5
2021-07-05,3779,3
2021-07-06,3787,5
2021-07-07,3793,4
2021-07-08,3804,3
2021-07-09,3808,3
2021-07-10,3816,5
2021-07-11,3822,2
2021-07-12,3824,1
2021-07-13,3831,2
2021-07-14,3833,2
2021-07-15,3840,4
2021-07-16,3848,2
2021-07-17,3850,1
2021-07-18,3853,2
2021-07-19,3856,1
2021-07-20,3861,2
2021-07-21,3873,3
2021-07-22,3881,5
2021-07-23,3889,4
2021-07-24,3895,5
2021-07-25,3893,0
2021-07-26,3902,6
2021-07-27,3910,3
2021-07-28,3917,4
2021-07-29,3920,1
2021-07-30,3924,1
2021-07-31,3934,3
2021-08-01,3939,3
2021-08-02,3941,1
2021-08-03,3943,0
2021-08-04,3948,1
2021-08-05,3950,2
2021-08-06,3957,2
2021-08-07,3959,2
2021-08-08,3964,2
2021-08-09,3969,2
2021-08-10,3969,0
2021-08-11,3975,3
2021-08-12,3976,1
2021-08-13,3980,2
2021-08-14,3980,1
2021-08-15,3985,1
2021-08-16,3990,2
2021-08-17,3997,2
2021-08-18,4001,1
2021-08-19,4001,2
2021-08-20,4007,3
2021-08-21,4014,6
2021-08-22,4019,2
2021-08-23,4020,0
2021-08-24,4021,2
2021-08-25,4025,1
2021-08-26,4027,0
2021-08-27,4031,1
2021-08-28,4034,3
2021-08-29,4040,3
2021-08-30,4041,1
2021-08-31,4043,0
2021-09-01,4046,2
2021-09-02,4055,4
2021-09-03,4056,1
2021-09-04,4058,0
2021-09-05,4063,1
2021-09-06,4066,1
2021-09-07,4066,0
2021-09-08,4069,1
2021-09-09,4069,1
2021-09-10,4074,1
2021-09-11,4077,1
2021-09-12,4080,2
2021-09-13,4082,1
2021-09-14,4088,1
2021-09-15,4088,1
2021-09-16,4091,0
2021-09-17,4090,0
2021-09-18,4089,0
2021-09-19,4090,1
2021-09-20,4094,1
2021-09-21,4097,0
2021-09-22,4098,0
2021-09-23,4101,0
2021-09-24,4103,1
2021-09-25,4106,1
2021-09-26,4107,1
2021-09-27,4108,2
2021-09-28,4108,0
2021-09-29,4110,0
2021-09-30,4112,0
2021-10-01,4115,2
2021-10-02,4118,0
2021-10-03,4116,0
2021-10-04,4118,0
2021-10-05,4120,0
2021-10-06,4120,1
2021-10-07,4125,2
2021-10-08,4126,1
2021-10-09,4128,1
2021-10-10,4131,1
2021-10-11,4132,1
2021-10-12,4134,0
