Dia,Muertes_Totales,Muertes_Dia
2021-09-01,2970,0
2021-09-02,2970,1
2021-09-03,2972,0
2021-09-04,2972,0
2021-09-05,2975,1
2021-09-06,2972,0
2021-09-07,2973,1
2021-09-08,2974,0
2021-09-09,2974,0
2021-09-10,2979,1
2021-09-11,2978,1
2021-09-12,2980,2
2021-09-13,2983,0
2021-09-14,2983,0
2021-09-15,2984,0
2021-09-16,2983,0
2021-09-17,2985,1
2021-09-18,2988,1
2021-09-19,2990,0
2021-09-20,2994,0
2021-09-21,2998,0
2021-09-22,2996,0
2021-09-23,3007,1
2021-09-24,3023,0
2021-09-25,3055,0
2021-09-26,3050,1
2021-09-27,3053,1
2021-09-28,3052,0
2021-09-29,3031,0
2021-09-30,3029,0
2021-10-01,3029,0
2021-10-02,3027,0
