Dia,Muertes_Totales,Muertes_Dia
2021-08-28,1940,0
2021-08-29,1940,0
2021-08-30,1939,0
2021-08-31,1941,0
2021-09-01,1941,0
2021-09-02,1941,0
2021-09-03,1941,0
2021-09-04,1942,1
2021-09-05,1942,0
2021-09-06,1942,0
2021-09-07,1942,0
2021-09-08,1942,0
2021-09-09,1942,0
2021-09-10,1942,0
2021-09-11,1943,1
2021-09-12,1944,0
2021-09-13,1945,0
2021-09-14,1946,1
2021-09-15,1946,1
2021-09-16,1947,0
2021-09-17,1948,0
2021-09-18,1947,0
2021-09-19,1947,0
2021-09-20,1948,0
2021-09-21,1948,0
2021-09-22,1948,0
2021-09-23,1947,0
2021-09-24,1947,0
2021-09-25,1947,0
2021-09-26,1948,0
2021-09-27,1948,0
2021-09-28,1949,0
2021-09-29,1949,0
2021-09-30,1949,0
2021-10-01,1950,0
2021-10-02,1949,0
2021-10-03,1948,0
2021-10-04,1949,0
2021-10-05,1949,0
2021-10-06,1949,0
2021-10-07,1949,0
2021-10-08,1949,0
2021-10-09,1949,0
2021-10-10,1950,0
2021-10-11,1950,0
2021-10-12,1950,0
