Dia,Muertes_Totales,Muertes_Dia
2021-05-31,2945,3
2021-06-01,2949,3
2021-06-02,2955,4
2021-06-03,2957,0
2021-06-04,2961,1
2021-06-05,2967,5
2021-06-06,2966,0
2021-06-07,2966,0
2021-06-08,2970,2
2021-06-09,2978,4
2021-06-10,2980,0
2021-06-11,2983,3
2021-06-12,2987,1
2021-06-13,2987,0
2021-06-14,2989,1
2021-06-15,2992,2
2021-06-16,2996,3
2021-06-17,3000,1
2021-06-18,3002,2
2021-06-19,3003,1
2021-06-20,3005,2
2021-06-21,3004,0
2021-06-22,3006,2
2021-06-23,3009,0
2021-06-24,3009,0
2021-06-25,2992,2
2021-06-26,3008,1
2021-06-27,3014,0
2021-06-28,3014,0
2021-06-29,3013,0
2021-06-30,3013,0
2021-07-01,3013,0
2021-07-02,3015,1
2021-07-03,3020,0
2021-07-04,3021,2
2021-07-05,3020,1
2021-07-06,3022,0
2021-07-07,3024,0
2021-07-08,3029,2
2021-07-09,3029,0
2021-07-10,3032,0
2021-07-11,3033,0
2021-07-12,3031,0
2021-07-13,3033,1
2021-07-14,3035,0
2021-07-15,3035,0
2021-07-16,3038,0
2021-07-17,3038,0
2021-07-18,3037,0
2021-07-19,3037,0
2021-07-20,3039,1
2021-07-21,3040,1
2021-07-22,3041,2
2021-07-23,3042,0
2021-07-24,3041,0
2021-07-25,3042,1
2021-07-26,3046,3
2021-07-27,3047,0
2021-07-28,3047,0
2021-07-29,3047,0
2021-07-30,3050,1
2021-07-31,3050,0
2021-08-01,3051,0
2021-08-02,3051,0
2021-08-03,3052,0
2021-08-04,3052,0
2021-08-05,3054,1
2021-08-06,3054,0
2021-08-07,3056,0
2021-08-08,3055,0
2021-08-09,3057,1
2021-08-10,3057,1
2021-08-11,3057,1
2021-08-12,3059,0
2021-08-13,3063,0
2021-08-14,3064,0
2021-08-15,3064,0
2021-08-16,3067,1
2021-08-17,3072,0
2021-08-18,3071,0
2021-08-19,3071,1
2021-08-20,3073,1
2021-08-21,3074,1
2021-08-22,3075,1
2021-08-23,3075,0
2021-08-24,3078,2
2021-08-25,3078,1
2021-08-26,3082,0
2021-08-27,3082,0
2021-08-28,3082,0
2021-08-29,3083,0
2021-08-30,3083,0
2021-08-31,3083,1
2021-09-01,3083,0
2021-09-02,3083,0
2021-09-03,3083,0
2021-09-04,3083,0
2021-09-05,3083,0
2021-09-06,3083,0
2021-09-07,3084,1
2021-09-08,3085,1
2021-09-09,3085,1
2021-09-10,3089,0
2021-09-11,3087,0
2021-09-12,3088,1
2021-09-13,3090,0
2021-09-14,3089,1
2021-09-15,3089,0
2021-09-16,3090,1
2021-09-17,3090,0
2021-09-18,3089,0
2021-09-19,3090,1
2021-09-20,3091,0
2021-09-21,3091,0
2021-09-22,3091,0
2021-09-23,3090,0
2021-09-24,3090,0
2021-09-25,3090,0
2021-09-26,3091,0
2021-09-27,3091,0
2021-09-28,3091,0
2021-09-29,3090,0
2021-09-30,3091,0
2021-10-01,3090,0
2021-10-02,3091,0
2021-10-03,3090,0
2021-10-04,3090,0
2021-10-05,3091,0
2021-10-06,3090,0
2021-10-07,3092,0
2021-10-08,3092,0
2021-10-09,3092,0
2021-10-10,3091,0
2021-10-11,3091,0
2021-10-12,3091,0
2021-10-13,3091,0
2021-10-14,3091,0
2021-10-15,3090,0
2021-10-16,3090,0
2021-10-17,3090,0
2021-10-18,3091,0
2021-10-19,3090,0
2021-10-20,3090,0
2021-10-21,3089,0
2021-10-22,3092,0
2021-10-23,3092,0
2021-10-24,3091,0
2021-10-25,3090,0
2021-10-26,3090,0
2021-10-27,3089,0
2021-10-28,3091,0
2021-10-29,3090,0
2021-10-30,3091,0
2021-10-31,3091,0
2021-11-01,3090,0
2021-11-02,3090,0
2021-11-03,3091,0
2021-11-04,3092,0
