Dia,Muertes_Confirmadas,Muertes_Sospechosas,Total_Muertes_SisVig,Total_Muertes_SINADEF
2021-05-08,1331,95,1426,3680
2021-05-09,1339,95,1434,3693
2021-05-10,1347,96,1443,3715
2021-05-11,1353,95,1448,3728
2021-05-12,1367,95,1462,3756
2021-05-13,1380,104,1484,3776
2021-05-14,1391,104,1495,3801
2021-05-15,1405,103,1508,3824
2021-05-16,1416,104,1520,3841
2021-05-17,1425,104,1529,3621
2021-05-18,1443,107,1550,3547
2021-05-19,1452,108,1560,3559
2021-05-20,1462,109,1571,3583
2021-05-21,1464,109,1573,3594
2021-05-22,1467,110,1577,3604
2021-05-23,1476,110,1586,3618
2021-05-24,1480,110,1590,3628
2021-05-25,1486,110,1596,3649
2021-05-26,1491,110,1601,3661
2021-05-27,1495,110,1605,3673
2021-05-28,1505,110,1615,3693
2021-05-29,1511,110,1621,3701
2021-05-30,1511,110,1621,3701
