Dia,Muertes_Confirmadas,Muertes_Sospechosas,Total_Muertes_SisVig,Total_Muertes_SINADEF
2021-04-06,912,9,921,3167
2021-04-07,925,11,936,3189
2021-04-08,932,10,942,3209
2021-04-09,940,9,949,3237
2021-04-10,946,9,955,3241
2021-04-11,952,8,960,3286
2021-04-12,962,8,970,3306
2021-04-13,975,10,985,3331
2021-04-14,984,10,994,3354
2021-04-15,997,12,1009,3386
2021-04-16,1007,11,1018,3410
2021-04-17,1020,10,1030,4049
2021-04-18,1034,9,1043,4067
2021-04-19,1051,12,1063,4108
2021-04-20,1056,10,1066,4120
2021-04-21,1067,10,1077,4151
2021-04-22,1082,10,1092,4181
2021-04-23,1091,10,1101,4203
2021-04-24,1100,10,1110,4229
2021-04-25,1107,10,1117,4250
2021-04-26,1120,10,1130,4285
2021-04-27,1131,11,1142,4304
2021-04-28,1142,10,1152,4323
2021-04-29,1158,11,1169,4353
2021-04-30,1170,11,1181,4380
2021-05-01,1186,11,1197,4405
2021-05-02,1193,11,1204,4424
2021-05-03,1210,14,1224,4453
2021-05-04,1227,12,1239,4491
2021-05-05,1235,10,1245,4514
2021-05-06,1242,10,1252,4540
2021-05-07,1253,13,1266,4566
2021-05-08,1260,10,1270,4589
2021-05-09,1272,10,1282,4608
2021-05-10,1285,10,1295,4631
2021-05-11,1291,14,1305,4648
2021-05-12,1307,14,1321,4684
2021-05-13,1314,9,1323,4698
2021-05-14,1321,11,1332,4712
2021-05-15,1330,9,1339,4738
2021-05-16,1343,9,1352,4752
2021-05-17,1351,9,1360,4049
2021-05-18,1361,12,1373,3917
2021-05-19,1369,9,1378,3926
2021-05-20,1379,9,1388,3951
2021-05-21,1383,9,1392,3962
2021-05-22,1394,9,1403,3981
2021-05-23,1406,9,1415,4002
2021-05-24,1412,11,1423,4011
2021-05-25,1420,9,1429,4039
2021-05-26,1428,9,1437,4063
2021-05-27,1429,10,1439,4070
2021-05-28,1440,11,1451,4095
2021-05-29,1447,11,1458,4110
2021-05-30,1447,11,1458,4110
