Dia,Muertes_Confirmadas,Muertes_Sospechosas,Total_Muertes_SisVig,Total_Muertes_SINADEF
2021-05-11,401,57,458,1453
2021-05-12,406,57,463,1464
2021-05-13,409,54,463,1470
2021-05-14,412,55,467,1472
2021-05-15,416,55,471,1486
2021-05-16,417,55,472,1491
2021-05-17,418,55,473,1277
2021-05-18,422,55,477,1236
2021-05-19,424,55,479,1237
2021-05-20,426,55,481,1244
2021-05-21,426,55,481,1243
2021-05-22,428,55,483,1249
2021-05-23,433,55,488,1256
2021-05-24,433,55,488,1258
2021-05-25,436,56,492,1259
2021-05-26,437,56,493,1265
2021-05-27,439,55,494,1272
2021-05-28,442,55,497,1277
2021-05-29,442,55,497,1282
2021-05-30,442,55,497,1282
