Dia,Muertes_Confirmadas,Muertes_Sospechosas,Total_Muertes_SisVig,Total_Muertes_SINADEF
2021-05-04,3829,1330,5159,8459
2021-05-05,3844,1329,5173,8491
2021-05-06,3859,1335,5194,8544
2021-05-07,3880,1339,5219,8590
2021-05-08,3899,1343,5242,8628
2021-05-09,3921,1349,5270,8682
2021-05-10,3937,1348,5285,8714
2021-05-11,3949,1352,5301,8750
2021-05-12,3973,1352,5325,8797
2021-05-13,3986,1245,5231,8830
2021-05-14,4002,1249,5251,8861
2021-05-15,4019,1247,5266,8902
2021-05-16,4037,1254,5291,8931
2021-05-17,4050,1254,5304,8862
2021-05-18,4068,1257,5325,8546
2021-05-19,4085,1259,5344,8585
2021-05-20,4110,1265,5375,8633
2021-05-21,4125,1268,5393,8662
2021-05-22,4145,1270,5415,8690
2021-05-23,4163,1275,5438,8718
2021-05-24,4168,1280,5448,8736
2021-05-25,4184,1285,5469,8777
2021-05-26,4197,1286,5483,8810
2021-05-27,4212,1296,5508,8840
2021-05-28,4232,1304,5536,8885
2021-05-29,4244,1303,5547,8905
2021-05-30,4244,1303,5547,8905
