Dia,Muertes_Confirmadas,Muertes_Sospechosas,Total_Muertes_SisVig,Total_Muertes_SINADEF
2021-04-27,2510,1258,3768,5255
2021-04-28,2527,1261,3788,5291
2021-04-29,2543,1260,3803,5333
2021-04-30,2554,1261,3815,5364
2021-05-01,2572,1269,3841,5401
2021-05-02,2575,1274,3849,5420
2021-05-03,2584,1290,3874,5446
2021-05-04,2562,1291,3853,5486
2021-05-05,2566,1299,3865,5510
2021-05-06,2574,1301,3875,5546
2021-05-07,2582,1301,3883,5567
2021-05-08,2590,1302,3892,5602
2021-05-09,2596,1302,3898,5625
2021-05-10,2602,1310,3912,5654
2021-05-11,2612,1321,3933,5683
2021-05-12,2631,1321,3952,5727
2021-05-13,2643,1211,3854,5752
2021-05-14,2654,1214,3868,5781
2021-05-15,2665,1225,3890,5804
2021-05-16,2673,1225,3898,5829
2021-05-17,2686,1224,3910,5829
2021-05-18,2692,1232,3924,5795
2021-05-19,2701,1232,3933,5822
2021-05-20,2715,1234,3949,5853
2021-05-21,2729,1237,3966,5872
2021-05-22,2741,1239,3980,5894
2021-05-23,2750,1237,3987,5909
2021-05-24,2754,1237,3991,5923
2021-05-25,2758,1240,3998,5939
2021-05-26,2760,1239,3999,5956
2021-05-27,2767,1241,4008,5979
2021-05-28,2772,1244,4016,6003
2021-05-29,2776,1246,4022,6017
2021-05-30,2776,1246,4022,6017
