Dia,Muertes_Confirmadas,Muertes_Sospechosas,Total_Muertes_SisVig,Total_Muertes_SINADEF
2021-05-02,229,158,387,744
2021-05-03,229,158,387,745
2021-05-04,231,158,389,750
2021-05-05,231,158,389,750
2021-05-06,231,158,389,750
2021-05-07,231,158,389,750
2021-05-08,232,158,390,752
2021-05-09,232,158,390,752
2021-05-10,232,158,390,754
2021-05-11,233,158,391,756
2021-05-12,234,158,392,756
2021-05-13,234,151,385,756
2021-05-14,235,151,386,758
2021-05-15,235,151,386,759
2021-05-16,235,151,386,761
2021-05-17,235,151,386,765
2021-05-18,238,152,390,710
2021-05-19,238,152,390,711
2021-05-20,239,165,404,712
2021-05-21,239,165,404,712
2021-05-22,240,165,405,714
2021-05-23,241,165,406,716
2021-05-24,241,165,406,717
2021-05-25,242,165,407,718
2021-05-26,242,165,407,718
2021-05-27,242,165,407,718
2021-05-28,243,165,408,721
2021-05-29,244,165,409,723
2021-05-30,244,165,409,723
