Dia,Muertes_Confirmadas,Muertes_Sospechosas,Total_Muertes_SisVig,Total_Muertes_SINADEF
2021-04-14,501,323,824,1127
2021-04-15,504,323,827,1131
2021-04-16,506,323,829,1135
2021-04-17,509,323,832,1209
2021-04-18,513,323,836,1212
2021-04-19,516,323,839,1216
2021-04-20,517,323,840,1217
2021-04-21,520,323,843,1223
2021-04-22,520,323,843,1223
2021-04-23,521,323,844,1224
2021-04-24,522,323,845,1226
2021-04-25,524,323,847,1229
2021-04-26,527,323,850,1234
2021-04-27,529,323,852,1237
2021-04-28,532,323,855,1240
2021-04-29,535,323,858,1244
2021-04-30,537,323,860,1246
2021-05-01,540,323,863,1249
2021-05-02,541,323,864,1251
2021-05-03,543,323,866,1252
2021-05-04,538,323,861,1258
2021-05-05,544,323,867,1263
2021-05-06,546,323,869,1268
2021-05-07,549,324,873,1272
2021-05-08,550,324,874,1277
2021-05-09,550,324,874,1277
2021-05-10,555,324,879,1283
2021-05-11,556,324,880,1285
2021-05-12,559,324,883,1291
2021-05-13,561,305,866,1293
2021-05-14,565,307,872,1296
2021-05-15,567,305,872,1298
2021-05-16,568,305,873,1299
2021-05-17,572,306,878,1202
2021-05-18,575,306,881,1158
2021-05-19,577,306,883,1161
2021-05-20,580,306,886,1165
2021-05-21,584,307,891,1170
2021-05-22,587,306,893,1173
2021-05-23,589,306,895,1176
2021-05-24,590,306,896,1177
2021-05-25,594,307,901,1181
2021-05-26,600,307,907,1190
2021-05-27,602,307,909,1196
2021-05-28,606,307,913,1202
2021-05-29,609,309,918,1206
2021-05-30,609,309,918,1206
