Dia,Muertes_Confirmadas,Muertes_Sospechosas,Total_Muertes_SisVig,Total_Muertes_SINADEF
2021-04-15,1069,277,1346,2313
2021-04-16,1074,278,1352,2320
2021-04-17,1077,278,1355,2361
2021-04-18,1088,278,1366,2378
2021-04-19,1097,280,1377,2388
2021-04-20,1103,280,1383,2400
2021-04-21,1108,282,1390,2412
2021-04-22,1120,283,1403,2430
2021-04-23,1129,283,1412,2447
2021-04-24,1137,284,1421,2463
2021-04-25,1144,285,1429,2481
2021-04-26,1155,285,1440,2503
2021-04-27,1165,287,1452,2517
2021-04-28,1180,288,1468,2539
2021-04-29,1190,291,1481,2553
2021-04-30,1197,291,1488,2565
2021-05-01,1199,291,1490,2573
2021-05-02,1203,291,1494,2581
2021-05-03,1206,291,1497,2595
2021-05-04,1200,293,1493,2623
2021-05-05,1209,294,1503,2639
2021-05-06,1214,294,1508,2653
2021-05-07,1223,294,1517,2668
2021-05-08,1226,296,1522,2675
2021-05-09,1238,296,1534,2690
2021-05-10,1241,295,1536,2700
2021-05-11,1245,298,1543,2711
2021-05-12,1252,298,1550,2727
2021-05-13,1259,274,1533,2736
2021-05-14,1262,274,1536,2745
2021-05-15,1268,274,1542,2755
2021-05-16,1272,274,1546,2765
2021-05-17,1280,275,1555,2711
2021-05-18,1286,277,1563,2581
2021-05-19,1293,277,1570,2590
2021-05-20,1300,276,1576,2607
2021-05-21,1307,276,1583,2619
2021-05-22,1313,276,1589,2627
2021-05-23,1317,276,1593,2634
2021-05-24,1318,277,1595,2641
2021-05-25,1322,281,1603,2653
2021-05-26,1323,282,1605,2658
2021-05-27,1328,283,1611,2669
2021-05-28,1330,200,1530,2673
2021-05-29,1331,199,1530,2680
2021-05-30,1331,199,1530,2680
