Dia,Muertes_Confirmadas,Muertes_Sospechosas,Total_Muertes_SisVig,Total_Muertes_SINADEF
2021-05-12,959,1162,2121,1976
2021-05-13,961,986,1947,1976
2021-05-14,965,990,1955,1978
2021-05-15,970,987,1957,1982
2021-05-16,970,987,1957,1982
2021-05-17,972,988,1960,2100
2021-05-18,977,989,1966,1910
2021-05-19,978,992,1970,1912
2021-05-20,984,996,1980,1918
2021-05-21,989,998,1987,1920
2021-05-22,990,996,1986,1924
2021-05-23,992,995,1987,1928
2021-05-24,995,999,1994,1931
2021-05-25,999,1005,2004,1939
2021-05-26,999,1005,2004,1946
2021-05-27,1002,1003,2005,1951
2021-05-28,1002,1003,2005,1950
2021-05-29,1003,1004,2007,1953
2021-05-30,1003,1004,2007,1953
