Dia,PCR,PR,AG,Pruebas_Totales
2021-09-01,77620,176115,244546,498281
2021-09-02,77817,176123,245574,499514
2021-09-03,78077,176142,246586,500805
2021-09-04,78318,176151,247378,501847
2021-09-05,78338,176166,247803,502307
2021-09-06,78387,176177,248643,503207
2021-09-07,78695,176192,249675,504562
2021-09-08,78988,176207,250406,505601
2021-09-09,79146,176226,251271,506643
2021-09-10,80043,176268,252142,508453
2021-09-11,80179,176311,253046,509536
2021-09-12,80180,176457,253305,509942
2021-09-13,80257,176501,253913,510671
2021-09-14,80496,176519,255171,512186
2021-09-15,80700,176536,256087,513323
2021-09-16,80911,176548,257050,514509
2021-09-17,81150,176557,257964,515671
2021-09-18,81361,176561,258945,516867
2021-09-19,81515,176563,259318,517396
2021-09-20,81590,176577,260201,518368
2021-09-21,81719,176587,261248,519554
2021-09-22,81868,176612,262320,520800
