Dia,PCR,PR,AG,Pruebas_Totales
2021-07-28,303780,304330,412247,1020357
2021-07-29,303991,304356,413179,1021526
2021-07-30,304887,304410,415678,1024975
2021-07-31,305180,304481,417803,1027464
2021-08-01,305677,304524,418714,1028915
2021-08-02,306170,304593,421390,1032153
2021-08-03,307933,304652,423807,1036392
2021-08-04,309199,304699,426590,1040488
2021-08-05,309587,304769,429020,1043376
2021-08-06,310821,304842,431484,1047147
2021-08-07,311407,304882,433999,1050288
2021-08-08,311685,304901,434689,1051275
2021-08-09,312030,305066,437078,1054174
2021-08-10,313845,305204,440040,1059089
2021-08-11,314295,305252,442945,1062492
2021-08-12,317158,305324,445981,1068463
2021-08-13,320483,305350,448102,1073935
2021-08-14,321125,305404,450516,1077045
2021-08-15,321383,305419,451136,1077938
2021-08-16,321563,305440,452810,1079813
2021-08-17,322725,305486,455560,1083771
2021-08-18,323582,305585,458779,1087946
2021-08-19,324483,305703,461800,1091986
2021-08-20,327840,305760,464666,1098266
2021-08-21,329572,305798,466854,1102224
2021-08-22,329725,305819,467536,1103080
2021-08-23,329986,305864,469655,1105505
2021-08-24,331170,305960,472467,1109597
2021-08-25,332956,305985,475378,1114319
2021-08-26,334666,306077,478359,1119102
2021-08-27,335581,306102,481285,1122968
2021-08-28,336054,306117,482828,1124999
2021-08-29,336914,306130,483229,1126273
2021-08-30,337021,306147,484052,1127220
2021-08-31,338697,306209,486651,1131557
2021-09-01,340420,306239,489617,1136276
2021-09-02,342294,306272,492052,1140618
2021-09-03,343901,306329,494588,1144818
2021-09-04,344370,306362,496700,1147432
2021-09-05,344939,306368,497600,1148907
2021-09-06,345647,306385,499896,1151928
2021-09-07,347178,306476,502619,1156273
2021-09-08,348861,306595,504670,1160126
2021-09-09,350659,306614,507218,1164491
2021-09-10,352049,306634,510119,1168802
2021-09-11,352492,306658,512034,1171184
2021-09-12,352579,306671,512761,1172011
2021-09-13,353859,306764,515239,1175862
2021-09-14,356234,306832,517717,1180783
2021-09-15,357820,306889,520204,1184913
2021-09-16,359505,306917,522847,1189269
2021-09-17,360592,306961,525448,1193001
2021-09-18,360861,306979,527620,1195460
2021-09-19,362085,306989,528540,1197614
2021-09-20,362749,307017,531179,1200945
2021-09-21,364683,307051,533831,1205565
2021-09-22,365817,307122,536336,1209275
2021-09-23,367735,307186,538455,1213376
2021-09-24,368621,307241,540880,1216742
2021-09-25,369824,307260,542927,1220011
2021-09-26,371082,307275,543564,1221921
2021-09-27,371464,307316,545633,1224413
2021-09-28,373490,307340,548371,1229201
2021-09-29,374787,307389,550912,1233088
2021-09-30,377004,307442,553479,1237925
2021-10-01,377440,307480,555599,1240519
2021-10-02,378770,307520,557810,1244100
2021-10-03,379464,307534,558578,1245576
2021-10-04,380230,307559,561153,1248942
2021-10-05,381433,307660,563629,1252722
2021-10-06,382019,307696,566053,1255768
2021-10-07,385048,307799,568448,1261295
2021-10-08,385424,307807,569677,1262908
2021-10-09,386162,307817,571592,1265571
2021-10-10,387239,307829,572040,1267108
2021-10-11,388084,307879,574533,1270496
2021-10-12,390189,307912,576903,1275004
