Dia,PCR,PR,AG,Pruebas_Totales
2021-06-02,53793,193431,152019,399243
2021-06-03,53962,193507,153138,400607
2021-06-04,54062,193674,154283,402019
2021-06-05,54312,193942,155231,403485
2021-06-06,54312,193965,155661,403938
2021-06-07,54458,194178,156540,405176
2021-06-08,54670,194644,157491,406805
2021-06-09,54828,195088,158579,408495
2021-06-10,55048,195590,159958,410596
2021-06-11,55173,195866,160917,411956
2021-06-12,55333,196319,161938,413590
2021-06-13,55333,196541,162432,414306
2021-06-14,55448,196748,163310,415506
2021-06-15,55695,196914,165057,417666
2021-06-16,55829,197001,166423,419253
2021-06-17,55947,197169,167728,420844
2021-06-18,56150,197465,169033,422648
2021-06-19,56333,197576,169962,423871
2021-06-20,56334,197693,170426,424453
2021-06-21,56454,197878,171703,426035
2021-06-22,56611,198199,173143,427953
2021-06-23,56739,198266,174687,429692
2021-06-24,56855,198325,175610,430790
2021-06-25,57039,198392,177050,432481
2021-06-26,57233,198450,178472,434155
2021-06-27,57233,198514,179009,434756
2021-06-28,57443,198606,180206,436255
2021-06-29,57570,198648,181422,437640
2021-06-30,57721,198698,182822,439241
2021-07-01,58014,198761,184433,441208
2021-07-02,58140,198980,185560,442680
2021-07-03,58223,199029,186554,443806
2021-07-04,58278,199108,187314,444700
2021-07-05,58404,199145,188432,445981
2021-07-06,58731,199199,189854,447784
2021-07-07,58973,199244,191182,449399
2021-07-08,59253,199267,192676,451196
2021-07-09,59380,199335,193939,452654
2021-07-10,59589,199365,195182,454136
2021-07-11,59591,199384,195892,454867
2021-07-12,59773,199476,197206,456455
2021-07-13,59968,199520,198668,458156
2021-07-14,60171,199552,200008,459731
2021-07-15,60432,199615,201164,461211
2021-07-16,60634,199695,202271,462600
2021-07-17,60779,199760,203597,464136
2021-07-18,60782,199810,204171,464763
2021-07-19,60973,199849,205469,466291
2021-07-20,61107,199878,206472,467457
2021-07-21,61206,199927,207372,468505
2021-07-22,61447,200572,208871,470890
2021-07-23,61709,201316,210530,473555
2021-07-24,61915,202342,211882,476139
2021-07-25,61915,203313,212577,477805
2021-07-26,62053,203792,213708,479553
2021-07-27,62177,203989,214837,481003
2021-07-28,62177,204091,215469,481737
2021-07-29,62186,204174,216132,482492
2021-07-30,62397,204296,217181,483874
2021-07-31,62569,204563,218351,485483
2021-08-01,62571,204573,218852,485996
2021-08-02,62772,204633,219972,487377
2021-08-03,62981,204671,221501,489153
2021-08-04,63152,204708,222746,490606
2021-08-05,63338,204723,223939,492000
2021-08-06,63662,204755,225173,493590
2021-08-07,63816,204822,226352,494990
2021-08-08,63873,204852,226862,495587
2021-08-09,64138,204869,228125,497132
2021-08-10,64354,204887,229455,498696
2021-08-11,64577,204920,230591,500088
2021-08-12,64826,204940,231826,501592
2021-08-13,65004,204965,233042,503011
2021-08-14,65165,204978,234426,504569
2021-08-15,65252,204985,235053,505290
2021-08-16,65470,205007,236306,506783
2021-08-17,65696,205017,237555,508268
2021-08-18,65867,205198,239048,510113
2021-08-19,65994,206484,240398,512876
2021-08-20,66139,207673,241683,515495
2021-08-21,66222,208342,242961,517525
2021-08-22,66295,209026,243671,518992
2021-08-23,66374,209099,244930,520403
2021-08-24,66616,209228,246304,522148
2021-08-25,66742,209248,247756,523746
2021-08-26,66938,209275,248951,525164
2021-08-27,67029,209291,250225,526545
2021-08-28,67184,209299,251206,527689
2021-08-29,67185,209312,251569,528066
2021-08-30,67231,209317,252131,528679
2021-08-31,67396,209335,253426,530157
2021-09-01,67546,209343,254881,531770
2021-09-02,67856,209362,256124,533342
2021-09-03,68055,209417,257437,534909
2021-09-04,68101,209450,258789,536340
2021-09-05,68229,209455,259445,537129
2021-09-06,68378,209464,260716,538558
2021-09-07,68587,209478,261919,539984
2021-09-08,68766,209496,263035,541297
2021-09-09,69013,209509,264153,542675
2021-09-10,69238,209681,265820,544739
2021-09-11,69391,209931,266764,546086
2021-09-12,69435,209939,267357,546731
2021-09-13,69610,209963,268612,548185
2021-09-14,69862,209971,269849,549682
2021-09-15,70053,209981,270956,550990
2021-09-16,70261,210701,272203,553165
2021-09-17,70567,211364,273410,555341
2021-09-18,70828,211949,274619,557396
2021-09-19,71075,213285,275239,559599
2021-09-20,71103,213486,276384,560973
2021-09-21,71314,213516,277598,562428
2021-09-22,71441,213522,278970,563933
2021-09-23,71529,213529,280229,565287
2021-09-24,71763,213555,281454,566772
2021-09-25,71820,213562,282382,567764
2021-09-26,71820,213563,282782,568165
2021-09-27,71938,213571,283723,569232
2021-09-28,72166,213590,284944,570700
2021-09-29,72401,213607,286166,572174
2021-09-30,72610,213619,287247,573476
2021-10-01,72745,213632,288387,574764
2021-10-02,72820,213689,289534,576043
2021-10-03,72899,213692,290197,576788
2021-10-04,72997,213706,291564,578267
2021-10-05,73041,213725,292614,579380
2021-10-06,73102,213742,293788,580632
2021-10-07,73246,213768,295073,582087
2021-10-08,73395,213777,295812,582984
2021-10-09,73409,213779,296614,583802
2021-10-10,73409,213781,297151,584341
2021-10-11,73451,213784,298174,585409
2021-10-12,73623,213796,299272,586691
