Dia,PCR,PR,AG,Pruebas_Totales
2021-04-05,16891,108902,24661,150454
2021-04-06,16923,108985,25140,151048
2021-04-07,16954,109011,25773,151738
2021-04-08,17016,109097,26285,152398
2021-04-09,17083,109204,26739,153026
2021-04-10,17144,109354,27174,153672
2021-04-11,17222,109425,27381,154028
2021-04-12,17240,109573,27756,154569
2021-04-13,17364,109684,28308,155356
2021-04-14,17476,109754,28805,156035
2021-04-15,17618,109820,29388,156826
2021-04-16,17684,109897,30148,157729
2021-04-17,17851,110021,30715,158587
2021-04-18,17851,110105,31019,158975
2021-04-19,18028,110196,31471,159695
2021-04-20,18152,110229,31933,160314
2021-04-21,18337,110274,32434,161045
2021-04-22,18490,110350,33014,161854
2021-04-23,18624,110389,33649,162662
2021-04-24,18624,110430,34205,163259
2021-04-25,18624,110485,34532,163641
2021-04-26,18701,110513,34948,164162
2021-04-27,18747,110566,35553,164866
2021-04-28,18747,110618,35947,165312
2021-04-29,18821,110659,36537,166017
2021-04-30,18877,110683,37066,166626
2021-05-01,19043,110709,37384,167136
2021-05-02,19046,110746,37571,167363
2021-05-03,19046,110788,37916,167750
2021-05-04,19148,110833,38430,168411
2021-05-05,19148,110896,39069,169113
2021-05-06,19266,110933,39582,169781
2021-05-07,19341,110963,40150,170454
2021-05-08,19416,111012,40581,171009
2021-05-09,19496,111034,40790,171320
2021-05-10,19496,111066,41237,171799
2021-05-11,19650,111122,41833,172605
2021-05-12,19806,111159,42394,173359
2021-05-13,19960,111201,42934,174095
2021-05-14,20207,111264,43375,174846
2021-05-15,20360,111349,43801,175510
2021-05-16,20360,111405,44197,175962
2021-05-17,20380,111470,44714,176564
2021-05-18,20536,111544,45326,177406
2021-05-19,20923,111634,45802,178359
2021-05-20,21313,111746,46279,179338
2021-05-21,21625,111841,46733,180199
2021-05-22,21784,111904,47115,180803
2021-05-23,21784,111938,47308,181030
2021-05-24,21858,112001,47690,181549
2021-05-25,22091,112098,48166,182355
2021-05-26,22324,112272,48584,183180
2021-05-27,22557,112372,49076,184005
2021-05-28,22791,112706,49450,184947
2021-05-29,22871,112938,49795,185604
2021-05-30,22871,112938,49795,185604
2021-05-31,22871,113552,50349,186772
2021-06-01,23107,114055,50824,187986
2021-06-02,23241,114285,51234,188760
2021-06-03,23241,114507,51644,189392
2021-06-04,23337,114672,52012,190021
2021-06-05,23337,114718,52361,190416
2021-06-06,23337,114761,52510,190608
2021-06-07,23337,114849,52849,191035
2021-06-08,23337,114972,53178,191487
2021-06-09,23493,115102,53472,192067
2021-06-10,23726,115253,53874,192853
2021-06-11,24100,115338,54156,193594
2021-06-12,24188,115379,54471,194038
2021-06-13,24188,115407,54608,194203
2021-06-14,24188,115418,54898,194504
2021-06-15,24326,115470,55336,195132
2021-06-16,24326,115627,55962,195915
2021-06-17,24326,115699,56418,196443
2021-06-18,24419,115754,56806,196979
2021-06-19,24496,115816,57179,197491
2021-06-20,24496,115852,57400,197748
2021-06-21,24540,115870,57777,198187
2021-06-22,24562,115925,58213,198700
2021-06-23,24585,115961,58652,199198
2021-06-24,24607,116013,59065,199685
2021-06-25,24645,116061,59395,200101
2021-06-26,24645,116094,59753,200492
2021-06-27,24645,116108,59922,200675
2021-06-28,24681,116143,60328,201152
2021-06-29,24681,116162,60604,201447
2021-06-30,24719,116217,60989,201925
2021-07-01,24776,116336,61378,202490
2021-07-02,24819,116431,61746,202996
2021-07-03,24819,116524,62081,203424
2021-07-04,24819,116547,62253,203619
2021-07-05,24868,116624,62569,204061
2021-07-06,24900,116684,62991,204575
2021-07-07,24926,116721,63524,205171
2021-07-08,24972,116763,64027,205762
2021-07-09,25008,116786,64440,206234
2021-07-10,25008,116809,64903,206720
2021-07-11,25008,116834,65135,206977
2021-07-12,25049,116863,65523,207435
2021-07-13,25083,116899,66012,207994
2021-07-14,25137,116999,66476,208612
2021-07-15,25173,117082,66943,209198
2021-07-16,25202,117181,67348,209731
2021-07-17,25202,117209,67708,210119
2021-07-18,25202,117224,68070,210496
2021-07-19,25202,117261,68511,210974
2021-07-20,25302,117330,69000,211632
2021-07-21,25338,117401,69503,212242
2021-07-22,25378,117430,69965,212773
2021-07-23,25411,117494,70469,213374
2021-07-24,25411,117543,70862,213816
2021-07-25,25411,117548,71124,214083
2021-07-26,25472,117596,71597,214665
2021-07-27,25559,117633,72230,215422
2021-07-28,25559,117663,72509,215731
2021-07-29,25559,117685,72786,216030
2021-07-30,25598,117713,73088,216399
2021-07-31,25598,117749,73357,216704
2021-08-01,25598,117759,73562,216919
2021-08-02,25598,117798,73916,217312
2021-08-03,25598,117851,74392,217841
2021-08-04,25598,117874,74761,218233
2021-08-05,25793,117967,75155,218915
2021-08-06,25839,118001,75509,219349
2021-08-07,25866,118017,75840,219723
2021-08-08,25886,118035,76043,219964
2021-08-09,25887,118074,76349,220310
2021-08-10,25887,118132,76890,220909
2021-08-11,25933,118154,77293,221380
2021-08-12,25933,118175,77643,221751
2021-08-13,25965,118194,77951,222110
2021-08-14,25966,118219,78309,222494
2021-08-15,26043,118234,78512,222789
2021-08-16,26049,118289,78872,223210
2021-08-17,26049,118315,79332,223696
2021-08-18,26049,118340,79744,224133
2021-08-19,26099,118358,80203,224660
2021-08-20,26130,118382,80587,225099
2021-08-21,26155,118394,80994,225543
2021-08-22,26263,118398,81183,225844
2021-08-23,26266,118409,81701,226376
