Dia,PCR,PR,AG,Pruebas_Totales
2021-05-12,27071,153683,84406,265160
2021-05-13,27121,153757,85690,266568
2021-05-14,27222,153816,86529,267567
2021-05-15,27278,153876,87499,268653
2021-05-16,27356,153905,87891,269152
2021-05-17,27377,154043,88745,270165
2021-05-18,27403,154443,89842,271688
2021-05-19,27454,154741,90874,273069
2021-05-20,27516,155096,91869,274481
2021-05-21,27627,155238,92811,275676
2021-05-22,27727,155319,93785,276831
2021-05-23,27740,155355,94160,277255
2021-05-24,27749,155414,94958,278121
2021-05-25,27775,155539,95956,279270
2021-05-26,27823,155714,96812,280349
2021-05-27,27912,155955,97731,281598
2021-05-28,27949,156102,98367,282418
2021-05-29,28086,156205,99183,283474
2021-05-30,28086,156205,99183,283474
2021-05-31,28107,156382,100463,284952
2021-06-01,28128,156692,101525,286345
2021-06-02,28204,156908,102478,287590
2021-06-03,28355,157028,103269,288652
2021-06-04,28490,157173,103994,289657
2021-06-05,28560,157222,104638,290420
2021-06-06,28601,157235,104868,290704
2021-06-07,28605,157313,105550,291468
2021-06-08,28632,157435,106399,292466
2021-06-09,28772,157551,107250,293573
2021-06-10,28878,157603,108068,294549
2021-06-11,29018,157638,108978,295634
2021-06-12,29069,157674,109634,296377
2021-06-13,29081,157703,109837,296621
2021-06-14,29100,157747,110523,297370
2021-06-15,29143,157839,111480,298462
2021-06-16,29149,157891,112294,299334
2021-06-17,29162,157921,113184,300267
2021-06-18,29183,157975,114066,301224
2021-06-19,29202,158068,114718,301988
2021-06-20,29224,158088,114944,302256
2021-06-21,29231,158182,115623,303036
2021-06-22,29281,158254,116418,303953
2021-06-23,29321,158339,117471,305131
2021-06-24,29330,158386,118449,306165
2021-06-25,29368,158431,119368,307167
2021-06-26,29389,158506,120110,308005
2021-06-27,29408,158524,120441,308373
2021-06-28,29453,158572,121156,309181
2021-06-29,29460,158635,121755,309850
2021-06-30,29495,158672,122527,310694
2021-07-01,29540,158715,123437,311692
2021-07-02,29590,158800,124443,312833
2021-07-03,29665,158851,125192,313708
2021-07-04,29707,158882,125440,314029
2021-07-05,29719,158924,126169,314812
2021-07-06,29777,158970,126881,315628
2021-07-07,29806,159013,127900,316719
2021-07-08,29869,159090,129008,317967
2021-07-09,29881,159118,129774,318773
2021-07-10,29916,159171,130388,319475
2021-07-11,29970,159213,130666,319849
2021-07-12,29973,159281,131341,320595
2021-07-13,30013,159343,132194,321550
2021-07-14,30029,159406,133038,322473
2021-07-15,30060,159438,133733,323231
2021-07-16,30086,159498,134346,323930
2021-07-17,30189,159546,135078,324813
2021-07-18,30193,159569,135316,325078
2021-07-19,30209,159593,135780,325582
2021-07-20,30212,159639,136540,326391
2021-07-21,30240,159699,137231,327170
2021-07-22,30256,159739,137946,327941
2021-07-23,30316,159781,138794,328891
2021-07-24,30352,159825,139493,329670
2021-07-25,30392,159852,139823,330067
2021-07-26,30394,159886,140592,330872
2021-07-27,30445,159937,141366,331748
2021-07-28,30460,159957,141686,332103
2021-07-29,30469,159989,142006,332464
2021-07-30,30488,160018,142809,333315
2021-07-31,30543,160059,143422,334024
2021-08-01,30590,160086,143659,334335
2021-08-02,30594,160158,144314,335066
2021-08-03,30664,160219,145133,336016
2021-08-04,30666,160270,145969,336905
2021-08-05,30774,160299,146783,337856
2021-08-06,30802,160347,147497,338646
2021-08-07,30861,160383,148208,339452
2021-08-08,30889,160389,148367,339645
2021-08-09,30901,160435,148956,340292
2021-08-10,31015,160564,149860,341439
2021-08-11,31036,160614,150875,342525
2021-08-12,31129,160697,151675,343501
2021-08-13,31200,160785,152342,344327
2021-08-14,31287,160955,153036,345278
2021-08-15,31327,160956,153256,345539
2021-08-16,31357,160990,154039,346386
2021-08-17,31475,161035,154941,347451
2021-08-18,31525,161047,155867,348439
2021-08-19,31579,161085,156639,349303
2021-08-20,31661,161101,157465,350227
2021-08-21,31753,161114,158184,351051
2021-08-22,31776,161115,158373,351264
2021-08-23,31881,161145,159112,352138
2021-08-24,31948,161248,159923,353119
2021-08-25,32007,161272,160740,354019
2021-08-26,32056,161287,161506,354849
2021-08-27,32113,161335,162280,355728
2021-08-28,32145,161365,162787,356297
2021-08-29,32199,161365,163059,356623
2021-08-30,32200,161366,163238,356804
2021-08-31,32216,161373,164105,357694
2021-09-01,32245,161387,164941,358573
2021-09-02,32317,161404,165665,359386
2021-09-03,32328,161527,166416,360271
2021-09-04,32393,161538,166900,360831
2021-09-05,32404,161541,167122,361067
2021-09-06,32439,161558,167769,361766
2021-09-07,32488,161594,168481,362563
2021-09-08,32571,161640,168956,363167
2021-09-09,32592,161651,169499,363742
2021-09-10,32705,161723,170155,364583
2021-09-11,32856,161737,170577,365170
2021-09-12,32880,161738,170852,365470
2021-09-13,32936,161760,171499,366195
2021-09-14,32968,161778,172231,366977
2021-09-15,33011,161807,172834,367652
2021-09-16,33064,161898,173518,368480
2021-09-17,33091,161915,174506,369512
2021-09-18,33124,161926,175086,370136
2021-09-19,33141,161930,175326,370397
2021-09-20,33145,161940,175955,371040
2021-09-21,33189,161952,176579,371720
2021-09-22,33239,161967,177186,372392
2021-09-23,33292,162017,177925,373234
2021-09-24,33305,162034,178586,373925
2021-09-25,33356,162052,179080,374488
2021-09-26,33368,162055,179279,374702
2021-09-27,33383,162066,179873,375322
2021-09-28,33420,162134,180580,376134
2021-09-29,33464,162143,181298,376905
2021-09-30,33490,162195,181949,377634
2021-10-01,33533,162234,182657,378424
2021-10-02,33576,162250,183214,379040
2021-10-03,33600,162256,183474,379330
2021-10-04,33610,162268,184004,379882
2021-10-05,33642,162281,184792,380715
2021-10-06,33679,162285,185397,381361
2021-10-07,33730,162303,186067,382100
2021-10-08,33730,162307,186389,382426
2021-10-09,33741,162326,186909,382976
2021-10-10,33771,162328,187186,383285
2021-10-11,33780,162332,187739,383851
2021-10-12,33818,162376,188345,384539
