Dia,PCR,PR,AG,Pruebas_Totales
2021-04-05,128626,101966,61207,291799
2021-04-06,129112,102064,62513,293689
2021-04-07,129863,102144,63947,295954
2021-04-08,130732,102224,65229,298185
2021-04-09,131428,102326,66529,300283
2021-04-10,131994,102383,67661,302038
2021-04-11,132268,102407,68030,302705
2021-04-12,132691,102559,69123,304373
2021-04-13,133228,102674,70568,306470
2021-04-14,133776,102799,71927,308502
2021-04-15,134614,102915,73194,310723
2021-04-16,135734,103017,74589,313340
2021-04-17,136346,103088,75747,315181
2021-04-18,136650,103133,76120,315903
2021-04-19,137241,103254,77330,317825
2021-04-20,137979,103318,78368,319665
2021-04-21,138611,103394,79682,321687
2021-04-22,139438,103491,80983,323912
2021-04-23,140240,103586,82356,326182
2021-04-24,140976,103651,83482,328109
2021-04-25,141878,103695,83843,329416
2021-04-26,142616,103799,85036,331451
2021-04-27,143427,103902,86351,333680
2021-04-28,144340,103984,87229,335553
2021-04-29,145334,104084,88404,337822
2021-04-30,146332,104145,89198,339675
2021-05-01,147363,104180,89673,341216
2021-05-02,147923,104209,89855,341987
2021-05-03,148967,104294,90636,343897
2021-05-04,149997,104365,91558,345920
2021-05-05,150862,104456,92688,348006
2021-05-06,151649,104551,93980,350180
2021-05-07,152701,104621,95047,352369
2021-05-08,153502,104686,95992,354180
2021-05-09,153949,104710,96267,354926
2021-05-10,154524,104800,97287,356611
2021-05-11,155392,104914,98510,358816
2021-05-12,156242,105026,99622,360890
2021-05-13,157085,105108,100938,363131
2021-05-14,157684,105211,102007,364902
2021-05-15,158365,105288,102844,366497
2021-05-16,158936,105318,103101,367355
2021-05-17,159269,105423,104131,368823
2021-05-18,159903,105530,105287,370720
2021-05-19,160613,105643,106353,372609
2021-05-20,161363,105750,107328,374441
2021-05-21,162007,105836,108326,376169
2021-05-22,162644,105893,109174,377711
2021-05-23,162929,105918,109566,378413
2021-05-24,163223,105996,110448,379667
2021-05-25,163796,106099,111491,381386
2021-05-26,164350,106190,112544,383084
2021-05-27,164953,106287,113453,384693
2021-05-28,165579,106395,114305,386279
2021-05-29,166070,106474,115001,387545
2021-05-30,166070,106474,115001,387545
2021-05-31,166718,106597,116169,389484
2021-06-01,167248,106710,117195,391153
2021-06-02,167815,106808,118160,392783
2021-06-03,168325,106877,119008,394210
2021-06-04,168975,106950,119862,395787
2021-06-05,169543,106990,120490,397023
2021-06-06,169862,107002,120627,397491
2021-06-07,170212,107051,121409,398672
2021-06-08,170532,107110,122244,399886
2021-06-09,171129,107168,123118,401415
2021-06-10,171636,107221,123931,402788
2021-06-11,172269,107285,124673,404227
2021-06-12,172590,107327,125312,405229
