Dia,PCR,PR,AG,Pruebas_Totales
2021-04-05,1981856,1571075,943076,4496007
2021-04-06,1989332,1572585,963185,4525102
2021-04-07,2000904,1573820,985290,4560014
2021-04-08,2014306,1575057,1005043,4594406
2021-04-09,2025025,1576631,1025074,4626730
2021-04-10,2033742,1577511,1042506,4653759
2021-04-11,2037969,1577871,1048188,4664028
2021-04-12,2044475,1580209,1065041,4689725
2021-04-13,2052755,1581979,1087306,4722040
2021-04-14,2061208,1583905,1108241,4753354
2021-04-15,2074117,1585705,1127763,4787585
2021-04-16,2091366,1587278,1149253,4827897
2021-04-17,2100802,1588365,1167100,4856267
2021-04-18,2105480,1589059,1172843,4867382
2021-04-19,2114586,1590918,1191496,4897000
2021-04-20,2125956,1591903,1207485,4925344
2021-04-21,2135696,1593076,1227721,4956493
2021-04-22,2148433,1594580,1247780,4990793
2021-04-23,2160789,1596034,1268927,5025750
2021-04-24,2172132,1597047,1286277,5055456
2021-04-25,2186042,1597723,1291837,5075602
2021-04-26,2197399,1599323,1310224,5106946
2021-04-27,2209899,1600900,1330479,5141278
2021-04-28,2223969,1602175,1344016,5170160
2021-04-29,2239289,1603706,1362120,5205115
2021-04-30,2254667,1604658,1374343,5233668
2021-05-01,2270544,1605193,1381663,5257400
2021-05-02,2279182,1605641,1384464,5269287
2021-05-03,2295261,1606955,1396503,5298719
2021-05-04,2311126,1608041,1410709,5329876
2021-05-05,2324461,1609439,1428126,5362026
2021-05-06,2336584,1610899,1448026,5395509
2021-05-07,2352796,1611990,1464476,5429262
2021-05-08,2365140,1612985,1479023,5457148
2021-05-09,2372025,1613359,1483262,5468646
2021-05-10,2380874,1614747,1498977,5494598
2021-05-11,2394261,1616496,1517821,5528578
2021-05-12,2407358,1618233,1534967,5560558
2021-05-13,2420344,1619483,1555245,5595072
2021-05-14,2429574,1621070,1571713,5622357
2021-05-15,2440061,1622262,1584608,5646931
2021-05-16,2448864,1622717,1588568,5660149
2021-05-17,2453991,1624335,1604436,5682762
2021-05-18,2463753,1625999,1622239,5711991
2021-05-19,2474701,1627725,1638677,5741103
2021-05-20,2486263,1629387,1653688,5769338
2021-05-21,2496179,1630712,1669063,5795954
2021-05-22,2505994,1631582,1682131,5819707
2021-05-23,2510393,1631972,1688176,5830541
2021-05-24,2514921,1633167,1701762,5849850
2021-05-25,2523739,1634751,1717837,5876327
2021-05-26,2532282,1636166,1734053,5902501
2021-05-27,2541571,1637659,1748068,5927298
2021-05-28,2551210,1639321,1761194,5951725
2021-05-29,2558779,1640532,1771924,5971235
2021-05-30,2558779,1640532,1771924,5971235
2021-05-31,2568766,1642425,1789920,6001111
2021-06-01,2576935,1644175,1805720,6026830
2021-06-02,2585667,1645690,1820598,6051955
2021-06-03,2593521,1646738,1833664,6073923
2021-06-04,2603539,1647874,1846810,6098223
2021-06-05,2612285,1648481,1856496,6117262
2021-06-06,2617205,1648671,1858602,6124478
2021-06-07,2622593,1649431,1870646,6142670
2021-06-08,2627533,1650335,1883512,6161380
2021-06-09,2636733,1651235,1896989,6184957
2021-06-10,2644542,1652045,1909510,6206097
2021-06-11,2654301,1653024,1920936,6228261
2021-06-12,2659247,1653677,1930781,6243705
2021-06-13,2664465,1654193,1933057,6251715
2021-06-14,2670529,1655263,1942984,6268776
2021-06-15,2677757,1656586,1958193,6292536
2021-06-16,2685512,1658025,1975075,6318612
2021-06-17,2692197,1659050,1990836,6342083
2021-06-18,2702701,1660054,2005487,6368242
2021-06-19,2710971,1660758,2016540,6388269
2021-06-20,2716362,1660934,2019356,6396652
2021-06-21,2721751,1661841,2032976,6416568
2021-06-22,2728984,1662819,2046801,6438604
2021-06-23,2736763,1663568,2061123,6461454
2021-06-24,2745402,1664713,2075532,6485647
2021-06-25,2753158,1665543,2088399,6507100
2021-06-26,2760168,1665945,2098914,6525027
2021-06-27,2764542,1666226,2102452,6533220
2021-06-28,2769721,1666983,2114557,6551261
2021-06-29,2773658,1667346,2120967,6561971
2021-06-30,2780145,1668016,2134419,6582580
2021-07-01,2788420,1668621,2149080,6606121
2021-07-02,2797259,1669404,2164348,6631011
2021-07-03,2804304,1670078,2176277,6650659
2021-07-04,2808705,1670393,2179853,6658951
2021-07-05,2813899,1671064,2192864,6677827
2021-07-06,2819333,1671832,2206415,6697580
2021-07-07,2827587,1672748,2220809,6721144
2021-07-08,2835928,1673436,2235878,6745242
2021-07-09,2841381,1674347,2249547,6765275
2021-07-10,2848896,1674728,2261311,6784935
2021-07-11,2854181,1674901,2265347,6794429
2021-07-12,2859695,1675565,2278995,6814255
2021-07-13,2865297,1676248,2294155,6835700
2021-07-14,2873502,1676820,2309519,6859841
2021-07-15,2881783,1677299,2322817,6881899
2021-07-16,2888622,1677883,2336253,6902758
2021-07-17,2897742,1678376,2346778,6922896
2021-07-18,2901347,1678690,2350621,6930658
2021-07-19,2905385,1679172,2363096,6947653
2021-07-20,2911923,1679800,2377035,6968758
2021-07-21,2917257,1680486,2390136,6987879
2021-07-22,2926308,1681255,2404706,7012269
2021-07-23,2933225,1681858,2419503,7034586
2021-07-24,2939734,1682202,2430620,7052556
2021-07-25,2944663,1682388,2434820,7061871
2021-07-26,2948346,1683271,2448746,7080363
2021-07-27,2954612,1684334,2463477,7102423
2021-07-28,2959836,1684489,2467914,7112239
2021-07-29,2964531,1684696,2471298,7120525
2021-07-30,2971018,1685081,2483118,7139217
2021-07-31,2976311,1685582,2494902,7156795
2021-08-01,2980988,1685877,2500331,7167196
2021-08-02,2987627,1686706,2513131,7187464
2021-08-03,2994986,1687261,2528884,7211131
2021-08-04,3001352,1687665,2543945,7232962
2021-08-05,3009673,1688284,2558080,7256037
2021-08-06,3017555,1688758,2571101,7277414
2021-08-07,3023160,1689074,2581868,7294102
2021-08-08,3028656,1689189,2585679,7303524
2021-08-09,3033518,1689578,2597843,7320939
2021-08-10,3039823,1690218,2611745,7341786
2021-08-11,3047810,1690558,2626414,7364782
2021-08-12,3056920,1691120,2640468,7388508
2021-08-13,3064616,1691632,2653192,7409440
2021-08-14,3070646,1692093,2663590,7426329
2021-08-15,3074182,1692242,2666805,7433229
2021-08-16,3082586,1692759,2679418,7454763
2021-08-17,3091543,1693392,2692490,7477425
2021-08-18,3097477,1693898,2708179,7499554
2021-08-19,3105251,1694634,2722454,7522339
2021-08-20,3114438,1695408,2735649,7545495
2021-08-21,3121835,1695941,2747057,7564833
2021-08-22,3126065,1696102,2750428,7572595
2021-08-23,3132520,1696513,2763020,7592053
2021-08-24,3141193,1697175,2777945,7616313
2021-08-25,3150178,1697746,2791858,7639782
2021-08-26,3159446,1698567,2804396,7662409
2021-08-27,3167803,1698979,2818594,7685376
2021-08-28,3174358,1699230,2827267,7700855
2021-08-29,3182033,1699330,2830449,7711812
2021-08-30,3187098,1699547,2834146,7720791
2021-08-31,3191698,1699997,2847237,7738932
2021-09-01,3198567,1700296,2861541,7760404
2021-09-02,3206534,1700990,2874987,7782511
2021-09-03,3214376,1701397,2888011,7803784
2021-09-04,3221517,1701689,2898849,7822055
2021-09-05,3225781,1701952,2904696,7832429
2021-09-06,3230767,1702437,2917725,7850929
2021-09-07,3237664,1702947,2930662,7871273
2021-09-08,3245301,1703266,2940023,7888590
2021-09-09,3252816,1703572,2949376,7905764
2021-09-10,3260735,1703966,2961323,7926024
2021-09-11,3270152,1704272,2971418,7945842
2021-09-12,3274139,1704573,2975320,7954032
2021-09-13,3278993,1705042,2987143,7971178
2021-09-14,3286031,1705541,2999773,7991345
2021-09-15,3295429,1706078,3012460,8013967
2021-09-16,3302802,1706797,3025038,8034637
2021-09-17,3308531,1707769,3036721,8053021
2021-09-18,3314177,1708060,3047400,8069637
2021-09-19,3319557,1708266,3050911,8078734
2021-09-20,3322465,1708961,3062424,8093850
2021-09-21,3329719,1709615,3074822,8114156
2021-09-22,3337860,1710357,3086721,8134938
2021-09-23,3345648,1710777,3099312,8155737
2021-09-24,3354547,1711251,3110606,8176404
2021-09-25,3363328,1711482,3120581,8195391
2021-09-26,3368460,1711609,3123421,8203490
2021-09-27,3374496,1712138,3134039,8220673
2021-09-28,3382963,1712538,3146594,8242095
2021-09-29,3390365,1713107,3158334,8261806
2021-09-30,3399678,1713468,3171653,8284799
2021-10-01,3408650,1713836,3183800,8306286
2021-10-02,3417241,1713965,3195993,8327199
2021-10-03,3423555,1714096,3200309,8337960
2021-10-04,3428884,1714595,3212608,8356087
2021-10-05,3439595,1714990,3223757,8378342
2021-10-06,3447571,1715491,3236130,8399192
2021-10-07,3456128,1716024,3248614,8420766
2021-10-08,3462459,1716110,3253405,8431974
2021-10-09,3470417,1716196,3262238,8448851
2021-10-10,3474908,1716267,3265408,8456583
2021-10-11,3481891,1716605,3275807,8474303
2021-10-12,3489915,1716944,3287817,8494676
2021-10-13,3498262,1717393,3301309,8516964
2021-10-14,3507034,1717727,3313506,8538267
2021-10-15,3515856,1718104,3325740,8559700
2021-10-16,3523427,1718378,3336298,8578103
2021-10-17,3528907,1718459,3341318,8588684
2021-10-18,3535777,1718846,3352542,8607165
2021-10-19,3544145,1719093,3365482,8628720
2021-10-20,3551041,1719508,3378234,8648783
2021-10-21,3561023,1719701,3389786,8670510
2021-10-22,3570745,1719885,3401404,8692034
2021-10-23,3580889,1720287,3410855,8712031
2021-10-24,3587349,1720314,3415005,8722668
2021-10-25,3593359,1720617,3425373,8739349
2021-10-26,3600858,1720939,3437971,8759768
2021-10-27,3610466,1721558,3450276,8782300
2021-10-28,3617632,1722709,3461677,8802018
2021-10-29,3627077,1723729,3474454,8825260
2021-10-30,3637104,1723886,3486823,8847813
2021-10-31,3643498,1723935,3490705,8858138
2021-11-01,3650305,1724368,3494067,8868735
2021-11-02,3654029,1724976,3504786,8883791
2021-11-03,3660988,1725926,3517222,8904136
2021-11-04,3670665,1726868,3529004,8926537
2021-11-05,3681963,1727398,3541697,8951058
2021-11-06,3690134,1727713,3554801,8972648
2021-11-07,3694242,1727827,3558760,8980829
2021-11-08,3703432,1728323,3570134,9001889
2021-11-09,3712827,1728701,3583917,9025445
2021-11-10,3721854,1729233,3597692,9048779
2021-11-11,3732246,1729601,3609007,9070854
2021-11-12,3741952,1729846,3622773,9094571
2021-11-13,3750877,1730117,3633823,9114817
2021-11-14,3758251,1730245,3638320,9126816
2021-11-15,3766644,1730816,3649824,9147284
2021-11-16,3775038,1731131,3662878,9169047
2021-11-17,3784154,1731407,3675676,9191237
2021-11-18,3794976,1731719,3687814,9214509
2021-11-19,3805428,1732030,3700796,9238254
2021-11-20,3813840,1732212,3713271,9259323
2021-11-21,3822955,1732259,3717673,9272887
2021-11-22,3832559,1732530,3730507,9295596
2021-11-23,3841834,1732733,3746187,9320754
2021-11-24,3850603,1733118,3761186,9344907
2021-11-25,3859760,1733406,3774728,9367894
2021-11-26,3869598,1733649,3789064,9392311
2021-11-27,3876649,1733762,3802672,9413083
2021-11-28,3884184,1733794,3808280,9426258
2021-11-29,3891950,1734136,3819629,9445715
2021-11-30,3898810,1734392,3834656,9467858
