Dia,PCR,PR,AG,Pruebas_Totales
2021-07-20,87560,130627,60834,279021
2021-07-21,87922,130646,61268,279836
2021-07-22,88480,130647,61805,280932
2021-07-23,89398,130647,62404,282449
2021-07-24,89664,130648,62894,283206
2021-07-25,89980,130648,63128,283756
2021-07-26,90290,130655,63598,284543
2021-07-27,91052,130665,64183,285900
2021-07-28,91319,130681,64416,286416
2021-07-29,91642,130698,64604,286944
2021-07-30,92577,130728,64933,288238
2021-07-31,92813,130748,65346,288907
2021-08-01,93155,130764,65479,289398
2021-08-02,93458,130768,65904,290130
2021-08-03,94469,130792,66384,291645
2021-08-04,94971,130796,66895,292662
2021-08-05,95594,130812,67398,293804
2021-08-06,96467,130816,67966,295249
2021-08-07,96894,130818,68427,296139
2021-08-08,97216,130820,68582,296618
2021-08-09,97469,130827,68999,297295
2021-08-10,98338,130905,69466,298709
2021-08-11,98782,130917,69995,299694
2021-08-12,99228,130933,70481,300642
2021-08-13,100159,130963,70887,302009
2021-08-14,100340,131005,71269,302614
2021-08-15,100704,131005,71467,303176
2021-08-16,100973,131011,71933,303917
2021-08-17,101968,131012,72458,305438
2021-08-18,102545,131022,73108,306675
2021-08-19,103003,131023,73602,307628
2021-08-20,103802,131025,73981,308808
2021-08-21,103988,131026,74349,309363
2021-08-22,104224,131026,74511,309761
2021-08-23,104446,131028,74900,310374
2021-08-24,105039,131029,75392,311460
2021-08-25,106007,131031,75890,312928
2021-08-26,106325,131034,76339,313698
2021-08-27,107158,131034,76689,314881
2021-08-28,107424,131034,76895,315353
2021-08-29,107514,131034,77069,315617
2021-08-30,107645,131034,77166,315845
2021-08-31,108620,131036,77639,317295
2021-09-01,109053,131038,78095,318186
2021-09-02,109332,131038,78488,318858
2021-09-03,110102,131044,78853,319999
2021-09-04,110483,131048,79355,320886
2021-09-05,110612,131049,79732,321393
2021-09-06,110909,131050,80398,322357
2021-09-07,111818,131053,80968,323839
2021-09-08,112105,131053,81469,324627
2021-09-09,112402,131055,81790,325247
2021-09-10,112758,131064,82109,325931
2021-09-11,113430,131064,82543,327037
2021-09-12,113695,131066,82838,327599
2021-09-13,113938,131075,83193,328206
2021-09-14,114906,131080,83646,329632
2021-09-15,115197,131081,84177,330455
2021-09-16,115533,131082,84649,331264
2021-09-17,116320,131082,85024,332426
2021-09-18,116922,131084,85310,333316
2021-09-19,117348,131085,85444,333877
2021-09-20,117473,131090,85811,334374
2021-09-21,118219,131092,86173,335484
2021-09-22,118747,131097,86487,336331
2021-09-23,119505,131097,86876,337478
2021-09-24,119793,131098,87349,338240
2021-09-25,120368,131098,87622,339088
2021-09-26,120533,131098,87737,339368
2021-09-27,120811,131099,88044,339954
2021-09-28,121781,131100,88394,341275
2021-09-29,122017,131102,88764,341883
2021-09-30,122967,131104,89085,343156
2021-10-01,123320,131105,89425,343850
2021-10-02,123972,131105,89706,344783
2021-10-03,124321,131105,89786,345212
2021-10-04,124608,131106,90023,345737
2021-10-05,125317,131107,90375,346799
2021-10-06,125603,131109,90714,347426
2021-10-07,125678,131110,91002,347790
2021-10-08,126673,131112,91168,348953
2021-10-09,127694,131116,91364,350174
2021-10-10,127982,131116,91423,350521
2021-10-11,128287,131116,91691,351094
2021-10-12,128918,131117,92083,352118
