Dia,PCR,PR,AG,Pruebas_Totales
2021-07-26,47237,192454,226381,466072
2021-07-27,47384,192522,227767,467673
2021-07-28,47433,192544,228354,468331
2021-07-29,47450,192561,228815,468826
2021-07-30,47550,192593,229572,469715
2021-07-31,47616,192631,230497,470744
2021-08-01,47617,192646,230769,471032
2021-08-02,47779,192677,231715,472171
2021-08-03,47862,192718,232882,473462
2021-08-04,47893,192743,234169,474805
2021-08-05,47931,192896,235289,476116
2021-08-06,48039,193037,236324,477400
2021-08-07,48097,193061,237166,478324
2021-08-08,48114,193066,237490,478670
2021-08-09,48372,193131,238510,480013
2021-08-10,48581,193165,239602,481348
2021-08-11,48689,193209,240784,482682
2021-08-12,48865,193278,242397,484540
2021-08-13,48953,193320,243833,486106
2021-08-14,49114,193339,244888,487341
2021-08-15,49124,193344,245242,487710
2021-08-16,49315,193402,246401,489118
2021-08-17,49392,193499,247735,490626
2021-08-18,49482,193555,249142,492179
2021-08-19,49596,193654,250467,493717
2021-08-20,49739,193680,251842,495261
2021-08-21,49897,193720,253004,496621
2021-08-22,50017,193721,253327,497065
2021-08-23,50129,193778,254572,498479
2021-08-24,50328,193816,256164,500308
2021-08-25,50412,193910,257499,501821
2021-08-26,50493,194041,259045,503579
2021-08-27,50583,194084,260406,505073
2021-08-28,50788,194110,261331,506229
2021-08-29,50788,194123,261686,506597
2021-08-30,50890,194132,262087,507109
2021-08-31,51020,194215,263468,508703
2021-09-01,51275,194306,264541,510122
2021-09-02,51331,194390,265947,511668
2021-09-03,51387,194522,267224,513133
2021-09-04,51410,194565,268089,514064
2021-09-05,51410,194566,268569,514545
2021-09-06,51609,194617,270010,516236
2021-09-07,51684,194685,271596,517965
2021-09-08,51900,194738,272521,519159
2021-09-09,52174,194756,273541,520471
2021-09-10,52258,194777,274866,521901
2021-09-11,52345,194796,275903,523044
2021-09-12,52441,194809,276301,523551
2021-09-13,52555,194911,277203,524669
2021-09-14,52578,195020,278630,526228
2021-09-15,52674,195070,279747,527491
2021-09-16,52946,195198,280903,529047
2021-09-17,53143,195262,281919,530324
2021-09-18,53220,195310,283161,531691
2021-09-19,53254,195313,283494,532061
2021-09-20,53308,195341,284516,533165
2021-09-21,53519,195419,285694,534632
2021-09-22,53600,195459,286812,535871
2021-09-23,53800,195521,288057,537378
2021-09-24,53884,195545,288944,538373
2021-09-25,54002,195582,289794,539378
2021-09-26,54016,195582,290027,539625
2021-09-27,54041,195659,290857,540557
2021-09-28,54087,195768,291728,541583
2021-09-29,54256,195835,292749,542840
2021-09-30,54459,195853,293837,544149
2021-10-01,54600,195920,295118,545638
2021-10-02,54684,195981,296101,546766
2021-10-03,54733,196003,296464,547200
2021-10-04,54952,196045,297338,548335
2021-10-05,55109,196161,298178,549448
2021-10-06,55239,196231,299089,550559
2021-10-07,55360,196273,300090,551723
2021-10-08,55587,196275,300575,552437
2021-10-09,55800,196280,301149,553229
2021-10-10,55804,196295,301508,553607
2021-10-11,56003,196313,302326,554642
2021-10-12,56066,196394,303169,555629
