Dia,PCR,PR,AG,Pruebas_Totales
2021-09-01,21730,124403,110459,256592
2021-09-02,21822,124407,111015,257244
2021-09-03,21940,124418,111749,258107
2021-09-04,22003,124423,112462,258888
2021-09-05,22004,124423,112993,259420
2021-09-06,22004,124429,114088,260521
2021-09-07,22226,124439,114795,261460
2021-09-08,22325,124458,115341,262124
2021-09-09,22419,124466,115839,262724
2021-09-10,22536,124468,116561,263565
2021-09-11,22702,124489,117004,264195
2021-09-12,22702,124503,117424,264629
2021-09-13,22716,124507,117985,265208
2021-09-14,22921,124558,118565,266044
2021-09-15,22929,124598,119195,266722
2021-09-16,23204,124621,119856,267681
2021-09-17,23310,124721,120526,268557
2021-09-18,23403,124738,121101,269242
2021-09-19,23403,124760,121656,269819
2021-09-20,23408,124790,122351,270549
2021-09-21,23499,124854,122977,271330
2021-09-22,23500,124935,123628,272063
2021-09-23,23578,124990,124383,272951
2021-09-24,23772,124999,125017,273788
2021-09-25,23789,125006,125431,274226
2021-09-26,23789,125010,125681,274480
2021-09-27,23789,125052,126079,274920
2021-09-28,23990,125056,126666,275712
2021-09-29,24126,125060,127180,276366
2021-09-30,24137,125090,127715,276942
2021-10-01,24232,125098,128272,277602
2021-10-02,24232,125112,128798,278142
2021-10-03,24232,125113,129095,278440
2021-10-04,24330,125142,129570,279042
2021-10-05,24423,125149,130162,279734
2021-10-06,24535,125153,130623,280311
2021-10-07,24656,125193,131234,281083
2021-10-08,24739,125195,131713,281647
